time,closeAsk,closeBid,volume,BNP.EURUSD - EUR/USD_x
2015-08-14T07:27:00.000000Z,1.115234375,1.1142578125,76.0,1.115234375
2015-08-14T07:28:00.000000Z,1.1142578125,1.1142578125,63.0,1.1142578125
2015-08-14T07:29:00.000000Z,1.115234375,1.1142578125,99.0,1.115234375
2015-08-14T07:30:00.000000Z,1.1142578125,1.1142578125,86.0,1.1142578125
2015-08-14T07:31:00.000000Z,1.1142578125,1.1142578125,117.0,1.1142578125
2015-08-14T07:32:00.000000Z,1.1142578125,1.1142578125,83.0,1.1142578125
2015-08-14T07:33:00.000000Z,1.1142578125,1.1142578125,24.0,1.1142578125
2015-08-14T07:34:00.000000Z,1.115234375,1.115234375,91.0,1.115234375
2015-08-14T07:35:00.000000Z,1.115234375,1.115234375,79.0,1.115234375
2015-08-14T07:36:00.000000Z,1.115234375,1.115234375,72.0,1.115234375
2015-08-14T07:37:00.000000Z,1.1142578125,1.1142578125,119.0,1.1142578125
2015-08-14T07:38:00.000000Z,1.1142578125,1.1142578125,100.0,1.1142578125
2015-08-14T07:39:00.000000Z,1.1142578125,1.1142578125,100.0,1.1142578125
2015-08-14T07:40:00.000000Z,1.1142578125,1.1142578125,101.0,1.1142578125
2015-08-14T07:41:00.000000Z,1.1142578125,1.1142578125,114.0,1.1142578125
2015-08-14T07:42:00.000000Z,1.1142578125,1.1142578125,66.0,1.1142578125
2015-08-14T07:43:00.000000Z,1.1142578125,1.1142578125,67.0,1.1142578125
2015-08-14T07:44:00.000000Z,1.1142578125,1.1142578125,102.0,1.1142578125
2015-08-14T07:45:00.000000Z,1.115234375,1.1142578125,97.0,1.115234375
2015-08-14T07:46:00.000000Z,1.115234375,1.1142578125,110.0,1.115234375
2015-08-14T07:47:00.000000Z,1.115234375,1.1142578125,99.0,1.115234375
2015-08-14T07:48:00.000000Z,1.1142578125,1.1142578125,95.0,1.1142578125
2015-08-14T07:49:00.000000Z,1.11328125,1.11328125,258.0,1.11328125
2015-08-14T07:50:00.000000Z,1.11328125,1.11328125,161.0,1.11328125
2015-08-14T07:51:00.000000Z,1.11328125,1.11328125,162.0,1.11328125
2015-08-14T07:52:00.000000Z,1.11328125,1.11328125,99.0,1.11328125
2015-08-14T07:53:00.000000Z,1.11328125,1.11328125,187.0,1.11328125
2015-08-14T07:54:00.000000Z,1.11328125,1.11328125,88.0,1.11328125
2015-08-14T07:55:00.000000Z,1.11328125,1.11328125,111.0,1.11328125
2015-08-14T07:56:00.000000Z,1.11328125,1.11328125,107.0,1.11328125
2015-08-14T07:57:00.000000Z,1.11328125,1.1123046875,87.0,1.11328125
2015-08-14T07:58:00.000000Z,1.1123046875,1.1123046875,67.0,1.1123046875
2015-08-14T07:59:00.000000Z,1.11328125,1.11328125,108.0,1.11328125
2015-08-14T08:00:00.000000Z,1.11328125,1.11328125,141.0,1.11328125
2015-08-14T08:01:00.000000Z,1.11328125,1.11328125,84.0,1.11328125
2015-08-14T08:02:00.000000Z,1.11328125,1.11328125,92.0,1.11328125
2015-08-14T08:03:00.000000Z,1.11328125,1.11328125,86.0,1.11328125
2015-08-14T08:04:00.000000Z,1.11328125,1.11328125,110.0,1.11328125
2015-08-14T08:05:00.000000Z,1.1123046875,1.1123046875,97.0,1.1123046875
2015-08-14T08:06:00.000000Z,1.11328125,1.11328125,103.0,1.11328125
2015-08-14T08:07:00.000000Z,1.11328125,1.11328125,76.0,1.11328125
2015-08-14T08:08:00.000000Z,1.11328125,1.11328125,72.0,1.11328125
2015-08-14T08:09:00.000000Z,1.11328125,1.11328125,37.0,1.11328125
2015-08-14T08:10:00.000000Z,1.11328125,1.11328125,55.0,1.11328125
2015-08-14T08:11:00.000000Z,1.11328125,1.11328125,77.0,1.11328125
2015-08-14T08:12:00.000000Z,1.11328125,1.11328125,61.0,1.11328125
2015-08-14T08:13:00.000000Z,1.11328125,1.11328125,44.0,1.11328125
2015-08-14T08:14:00.000000Z,1.11328125,1.11328125,54.0,1.11328125
2015-08-14T08:15:00.000000Z,1.11328125,1.11328125,60.0,1.11328125
2015-08-14T08:16:00.000000Z,1.1142578125,1.11328125,55.0,1.11328125
2015-08-14T08:17:00.000000Z,1.1142578125,1.11328125,31.0,1.11328125
2015-08-14T08:18:00.000000Z,1.1142578125,1.11328125,52.0,1.11328125
2015-08-14T08:19:00.000000Z,1.1142578125,1.11328125,71.0,1.11328125
2015-08-14T08:20:00.000000Z,1.11328125,1.11328125,62.0,1.11328125
2015-08-14T08:21:00.000000Z,1.1142578125,1.1142578125,87.0,1.1142578125
