name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
Austria 6Y,0.007,Austria,Austria,6Y,0.383,1.92,0.346,27/08,0.364,0.371
Austria 7Y,0.033,Austria,Austria,7Y,0.697,5.57,0.553,3:34:29,0.575,0.607
Austria 8Y,0.005,Austria,Austria,8Y,0.729,0.70,0.686,27/08,0.714,0.719
Austria 10Y,0.007,Austria,Austria,10Y,1.069,0.66,1.023,27/08,1.054,1.061
Austria 15Y,0.007,Austria,Austria,15Y,1.155,0.61,1.110,27/08,1.139,1.146
Austria 20Y,0.070,Austria,Austria,20Y,1.569,4.69,1.464,3:30:05,1.491,1.561
Austria 25Y,0.043,Austria,Austria,25Y,1.620,2.74,1.525,3:31:08,1.569,1.612
Austria 50Y,0.012,Austria,Austria,50Y,1.834,0.72,1.754,27/08,1.806,1.819
Belgium 3M,0.003,Belgium,Belgium,3M,-0.212,0.00,-0.234,27/08,-0.213,-0.213
Belgium 6M,0.004,Belgium,Belgium,6M,-0.212,1.85,-0.221,27/08,-0.216,-0.212
Belgium 1Y,-0.007,Belgium,Belgium,1Y,-0.201,0.00,-0.211,27/08,-0.210,-0.210
Belgium 2Y,0.024,Belgium,Belgium,2Y,-0.032,14.11,-0.172,2:56:10,-0.163,-0.140
Belgium 3Y,0.076,Belgium,Belgium,3Y,-0.040,65.52,-0.125,0:02:30,-0.116,-0.040
Belgium 4Y,0.029,Belgium,Belgium,4Y,0.131,263.64,0.001,3:30:05,0.011,0.040
Belgium 5Y,0.091,Belgium,Belgium,5Y,0.337,36.99,0.231,0:02:36,0.246,0.337
Belgium 6Y,0.021,Belgium,Belgium,6Y,0.436,5.49,0.381,3:32:17,0.401,0.423
Belgium 7Y,0.004,Belgium,Belgium,7Y,0.653,0.66,0.570,3:30:05,0.607,0.611
Belgium 8Y,0.019,Belgium,Belgium,8Y,0.798,2.56,0.712,3:32:17,0.743,0.762
Belgium 9Y,0.022,Belgium,Belgium,9Y,0.938,2.40,0.884,1:55:40,0.916,0.938
Belgium 10Y,0.006,Belgium,Belgium,10Y,1.114,0.54,1.069,0:05:40,1.104,1.110
Belgium 15Y,0.001,Belgium,Belgium,15Y,1.666,0.06,1.609,27/08,1.662,1.663
Belgium 20Y,-0.001,Belgium,Belgium,20Y,1.766,-0.06,1.710,27/08,1.758,1.757
Botswana 6M,0.001,Botswana,Botswana,6M,2.251,0.04,2.251,0:07:36,2.250,2.251
Botswana 3Y,0.000,Botswana,Botswana,3Y,4.500,0.00,4.500,0:07:35,4.500,4.500
Botswana 5Y,0.000,Botswana,Botswana,5Y,5.100,0.00,5.100,27/08,5.100,5.100
Botswana 10Y,0.000,Botswana,Botswana,10Y,5.900,0.00,5.900,27/08,5.900,5.900
Brazil 9M,0.000,Brazil,Brazil,9M,14.325,0.00,14.265,26/08,14.325,14.325
Brazil 1Y,0.000,Brazil,Brazil,1Y,14.355,0.00,14.200,26/08,14.225,14.225
Brazil 2Y,-0.255,Brazil,Brazil,2Y,13.840,-1.81,13.840,27/08,13.840,13.840
Brazil 3Y,-0.090,Brazil,Brazil,3Y,13.945,-0.65,13.772,27/08,13.900,13.810
Brazil 5Y,0.025,Brazil,Brazil,5Y,13.910,0.18,13.700,0:00:04,13.750,13.775
Brazil 8Y,0.020,Brazil,Brazil,8Y,13.885,0.14,13.849,0:00:04,13.865,13.885
Brazil 10Y,0.005,Brazil,Brazil,10Y,13.935,0.04,13.910,0:00:04,13.930,13.935
Bulgaria 1M,0.010,Bulgaria,Bulgaria,1M,0.080,14.29,0.010,3:32:05,0.070,0.080
Bulgaria 1Y,-0.002,Bulgaria,Bulgaria,1Y,0.901,-0.23,0.800,27/08,0.851,0.849
Bulgaria 3Y,0.000,Bulgaria,Bulgaria,3Y,1.500,0.00,1.500,27/08,1.500,1.500
Bulgaria 5Y,0.000,Bulgaria,Bulgaria,5Y,1.800,0.00,1.800,27/08,1.800,1.800
Bulgaria 7Y,0.000,Bulgaria,Bulgaria,7Y,2.400,0.00,2.400,27/08,2.400,2.400
Bulgaria 10Y,0.000,Bulgaria,Bulgaria,10Y,3.100,0.00,3.100,27/08,3.100,3.100
Canada 1M,-0.017,Canada,Canada,1M,0.367,-4.63,0.350,27/08,0.367,0.350
Canada 2M,-0.010,Canada,Canada,2M,0.370,-2.70,0.360,27/08,0.360,0.360
Canada 3M,-0.010,Canada,Canada,3M,0.375,-2.67,0.360,27/08,0.365,0.365
Canada 6M,0.000,Canada,Canada,6M,0.390,0.00,0.385,27/08,0.385,0.385
Canada 1Y,0.005,Canada,Canada,1Y,0.400,1.28,0.390,27/08,0.390,0.395
Canada 2Y,0.012,Canada,Canada,2Y,0.417,3.06,0.373,27/08,0.392,0.404
Canada 3Y,0.017,Canada,Canada,3Y,0.462,3.92,0.415,27/08,0.434,0.451
