name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
Japan 2Y,0.012,Japan,Japan,2Y,0.015,0.00,0.012,2:45:00,0.012,0.012
Japan 3Y,0.002,Japan,Japan,3Y,0.018,13.33,0.016,2:30:00,0.015,0.017
Japan 4Y,0.000,Japan,Japan,4Y,0.054,0.00,0.051,2:00:00,0.053,0.053
Japan 5Y,-0.002,Japan,Japan,5Y,0.080,-2.47,0.077,3:15:00,0.081,0.079
Japan 6Y,-0.007,Japan,Japan,6Y,0.117,-5.79,0.114,2:15:00,0.121,0.114
Japan 7Y,-0.002,Japan,Japan,7Y,0.162,-1.24,0.158,2:15:00,0.161,0.159
Japan 8Y,0.002,Japan,Japan,8Y,0.252,0.81,0.247,3:30:01,0.246,0.248
Japan 9Y,-0.002,Japan,Japan,9Y,0.329,-0.62,0.323,3:30:01,0.325,0.323
Japan 10Y,-0.002,Japan,Japan,10Y,0.390,-0.52,0.385,2:00:00,0.388,0.386
Japan 15Y,0.002,Japan,Japan,15Y,0.746,0.27,0.739,2:30:00,0.739,0.741
Japan 20Y,-0.001,Japan,Japan,20Y,1.160,-0.09,1.152,3:30:00,1.155,1.154
Japan 30Y,-0.001,Japan,Japan,30Y,1.407,-0.07,1.403,3:30:00,1.406,1.405
Japan 40Y,0.006,Japan,Japan,40Y,1.578,0.38,1.570,3:30:00,1.572,1.578
Kenya Overnight,0.000,Kenya,Kenya,Overnight,15.279,0.00,15.168,27/08,15.279,15.279
Kenya 3M,0.000,Kenya,Kenya,3M,11.565,0.00,11.565,27/08,11.565,11.565
Kenya 6M,0.000,Kenya,Kenya,6M,12.261,0.00,12.261,27/08,12.261,12.261
Kenya 1Y,0.000,Kenya,Kenya,1Y,13.045,0.00,13.045,27/08,13.045,13.045
Kenya 2Y,0.000,Kenya,Kenya,2Y,12.571,0.00,12.571,27/08,12.571,12.571
Kenya 3Y,0.000,Kenya,Kenya,3Y,13.177,0.00,13.177,27/08,13.177,13.177
Kenya 4Y,0.000,Kenya,Kenya,4Y,13.041,0.00,13.041,27/08,13.041,13.041
Kenya 5Y,0.000,Kenya,Kenya,5Y,13.136,0.00,13.136,27/08,13.136,13.136
Kenya 6Y,0.000,Kenya,Kenya,6Y,13.186,0.00,13.186,27/08,13.186,13.186
Kenya 7Y,0.000,Kenya,Kenya,7Y,13.274,0.00,13.274,27/08,13.274,13.274
Kenya 8Y,0.000,Kenya,Kenya,8Y,13.766,0.00,13.766,27/08,13.766,13.766
Kenya 9Y,0.000,Kenya,Kenya,9Y,13.600,0.00,13.600,27/08,13.600,13.600
Kenya 10Y,0.000,Kenya,Kenya,10Y,13.627,0.00,13.627,27/08,13.627,13.627
Kenya 12Y,0.000,Kenya,Kenya,12Y,13.686,0.00,13.686,27/08,13.686,13.686
Kenya 15Y,0.000,Kenya,Kenya,15Y,13.902,0.00,13.902,27/08,13.902,13.902
Kenya 20Y,0.000,Kenya,Kenya,20Y,14.250,0.00,14.250,27/08,14.250,14.250
Kenya 25Y,0.000,Kenya,Kenya,25Y,14.500,0.00,14.500,27/08,14.500,14.500
Latvia 3M,0.000,Latvia,Latvia,3M,0.031,0.00,0.031,26/08,0.031,0.031
Latvia 6M,0.000,Latvia,Latvia,6M,0.139,0.00,0.139,27/08,0.139,0.139
Latvia 2Y,0.000,Latvia,Latvia,2Y,0.250,0.00,0.250,27/08,0.250,0.250
Latvia 5Y,0.000,Latvia,Latvia,5Y,0.800,0.00,0.800,27/08,0.800,0.800
Latvia 10Y,0.000,Latvia,Latvia,10Y,1.347,0.00,1.347,27/08,1.347,1.347
Lithuania 6M,0.000,Lithuania,Lithuania,6M,0.200,0.00,0.200,27/08,0.200,0.200
Lithuania 3Y,0.000,Lithuania,Lithuania,3Y,0.486,0.00,0.486,27/08,0.486,0.486
Lithuania 5Y,0.000,Lithuania,Lithuania,5Y,1.197,0.00,1.197,27/08,1.197,1.197
Lithuania 10Y,0.000,Lithuania,Lithuania,10Y,1.650,0.00,1.650,27/08,1.650,1.650
Malaysia 3W,0.000,Malaysia,Malaysia,3W,3.150,0.00,3.150,27/08,3.150,3.150
Malaysia 3M,0.000,Malaysia,Malaysia,3M,3.180,0.00,3.180,27/08,3.180,3.180
Malaysia 7M,0.000,Malaysia,Malaysia,7M,3.170,0.00,3.170,27/08,3.170,3.170
Malaysia 1Y,0,Malaysia,Malaysia,1Y,3.200,0,3.200,27/08,3.200,3.200
Malaysia 3Y,0.000,Malaysia,Malaysia,3Y,3.506,0.00,3.506,27/08,3.506,3.506
Malaysia 5Y,-0.034,Malaysia,Malaysia,5Y,4.070,-0.83,4.039,3:31:42,4.073,4.039
Malaysia 10Y,-0.006,Malaysia,Malaysia,10Y,4.426,-0.14,4.420,1:13:35,4.426,4.420
Malaysia 20Y,0.000,Malaysia,Malaysia,20Y,4.790,0.00,4.790,27/08,4.790,4.790
Mauritius 2M,0.000,Mauritius,Mauritius,2M,1.250,0.00,1.250,26/08,1.250,1.250
Mauritius 4M,0.000,Mauritius,Mauritius,4M,1.500,0.00,1.500,26/08,1.500,1.500
Mauritius 6M,0.000,Mauritius,Mauritius,6M,1.650,0.00,1.650,26/08,1.650,1.650
Mauritius 8M,0.000,Mauritius,Mauritius,8M,1.950,0.00,1.950,26/08,1.950,1.950
Mauritius 1Y,0.000,Mauritius,Mauritius,1Y,2.350,0.00,2.350,26/08,2.350,2.350
Mexico Overnight,0.000,Mexico,Mexico,Overnight,2.990,0.00,2.990,1:45:03,2.990,2.990
Mexico 1M,0.020,Mexico,Mexico,1M,3.190,0.63,3.170,1:45:03,3.170,3.190
Mexico 3M,0.000,Mexico,Mexico,3M,3.410,0.00,3.410,1:45:03,3.410,3.410
Mexico 6M,0.000,Mexico,Mexico,6M,3.570,0.00,3.570,1:45:03,3.570,3.570
Mexico 9M,-0.020,Mexico,Mexico,9M,3.680,-0.54,3.650,1:45:03,3.680,3.660
Mexico 1Y,0.020,Mexico,Mexico,1Y,3.730,0.54,3.710,1:45:03,3.710,3.730
Mexico 3Y,-0.050,Mexico,Mexico,3Y,5.050,-0.99,4.970,1:15:04,5.040,4.990
Mexico 5Y,0.030,Mexico,Mexico,5Y,5.300,0.57,5.170,1:15:04,5.230,5.260
Mexico 7Y,-0.060,Mexico,Mexico,7Y,5.890,-1.02,5.730,1:15:04,5.880,5.820
Mexico 10Y,-0.050,Mexico,Mexico,10Y,6.130,-0.82,6.070,1:15:04,6.130,6.080
Mexico 18Y,0.000,Mexico,Mexico,18Y,6.480,0.00,6.400,14/08,6.422,6.422
Mexico 20Y,-0.040,Mexico,Mexico,20Y,6.710,-0.60,6.540,1:15:04,6.650,6.610
Mexico 30Y,-0.080,Mexico,Mexico,30Y,6.860,-1.17,6.740,1:15:04,6.820,6.740
Netherlands 3M,-0.016,Netherlands,Netherlands,3M,-0.254,0.00,-0.272,27/08,-0.270,-0.270
Netherlands 6M,-0.008,Netherlands,Netherlands,6M,-0.245,0.00,-0.253,27/08,-0.253,-0.253
Netherlands 2Y,0.027,Netherlands,Netherlands,2Y,-0.145,13.57,-0.202,0:30:18,-0.199,-0.172
Netherlands 3Y,0.014,Netherlands,Netherlands,3Y,-0.084,12.50,-0.118,2:05:54,-0.112,-0.098
Netherlands 4Y,0.014,Netherlands,Netherlands,4Y,0.021,1000.00,-0.010,3:30:09,0.001,0.015
Netherlands 5Y,0.011,Netherlands,Netherlands,5Y,0.149,8.59,0.115,0:01:10,0.128,0.139
Netherlands 6Y,0.012,Netherlands,Netherlands,6Y,0.324,4.47,0.273,3:32:10,0.291,0.304
Netherlands 7Y,0.006,Netherlands,Netherlands,7Y,0.458,1.33,0.428,0:01:10,0.451,0.457
Netherlands 8Y,0.006,Netherlands,Netherlands,8Y,0.633,0.80,0.596,27/08,0.624,0.629
Netherlands 9Y,-0.001,Netherlands,Netherlands,9Y,0.787,-0.13,0.745,27/08,0.778,0.777
Netherlands 10Y,0.001,Netherlands,Netherlands,10Y,0.954,0.11,0.907,27/08,0.941,0.942
Netherlands 20Y,0.005,Netherlands,Netherlands,20Y,1.349,0.37,1.296,27/08,1.336,1.341
Netherlands 30Y,-0.001,Netherlands,Netherlands,30Y,1.641,-0.12,1.570,3:29:48,1.627,1.625
New Zealand 1M,0.000,New Zealand,New Zealand,1M,3.040,0.00,3.040,3:30:56,3.040,3.040
New Zealand 2M,0.000,New Zealand,New Zealand,2M,2.960,0.00,2.960,3:30:56,2.960,2.960
New Zealand 3M,0.020,New Zealand,New Zealand,3M,2.930,0.69,2.910,3:30:56,2.910,2.930
New Zealand 4M,0.010,New Zealand,New Zealand,4M,2.910,0.34,2.900,3:30:56,2.900,2.910
New Zealand 5M,0.000,New Zealand,New Zealand,5M,2.910,0.00,2.900,3:30:56,2.900,2.900
New Zealand 6M,0.000,New Zealand,New Zealand,6M,2.890,0.00,2.890,3:30:56,2.890,2.890
New Zealand 2Y,0.010,New Zealand,New Zealand,2Y,2.570,0.39,2.535,3:05:53,2.540,2.550
New Zealand 5Y,0.035,New Zealand,New Zealand,5Y,2.725,1.30,2.675,3:32:17,2.685,2.720
New Zealand 7Y,0.040,New Zealand,New Zealand,7Y,2.800,1.45,2.750,3:32:17,2.760,2.800
New Zealand 10Y,0.060,New Zealand,New Zealand,10Y,3.290,1.86,3.220,3:32:17,3.230,3.290
Norway 1M,-0.160,Norway,Norway,1M,1.010,-15.09,0.900,0:00:28,1.060,0.900
Norway 2M,-0.130,Norway,Norway,2M,1.030,-12.62,0.900,0:00:28,1.030,0.900
Norway 3M,-0.015,Norway,Norway,3M,1.078,0.00,1.009,27/08,1.009,1.009
Norway 6M,0.006,Norway,Norway,6M,0.720,0.00,0.709,27/08,0.720,0.720
Norway 9M,-0.002,Norway,Norway,9M,0.693,0.00,0.682,27/08,0.689,0.689
Norway 1Y,0.003,Norway,Norway,1Y,0.662,0.00,0.649,27/08,0.662,0.662
Norway 2Y,0.003,Norway,Norway,2Y,0.578,0.00,0.558,27/08,0.578,0.578
Norway 5Y,0.009,Norway,Norway,5Y,0.707,1.29,0.681,27/08,0.698,0.707
Norway 10Y,0.041,Norway,Norway,10Y,1.524,0.00,1.486,27/08,1.522,1.522
Pakistan 3M,0.000,Pakistan,Pakistan,3M,6.950,0.00,6.900,27/08,6.900,6.900
Pakistan 6M,0.000,Pakistan,Pakistan,6M,6.950,0.00,6.900,27/08,6.900,6.900
Pakistan 1Y,0.000,Pakistan,Pakistan,1Y,6.900,0.00,6.900,27/08,6.900,6.900
Pakistan 3Y,-0.047,Pakistan,Pakistan,3Y,6.949,-0.66,6.949,27/08,6.995,6.949
Pakistan 5Y,0.001,Pakistan,Pakistan,5Y,7.452,0.01,7.452,27/08,7.451,7.452
Pakistan 10Y,0.201,Pakistan,Pakistan,10Y,9.401,2.20,9.200,27/08,9.199,9.401
Pakistan 15Y,-0.001,Pakistan,Pakistan,15Y,10.249,-0.01,10.249,27/08,10.250,10.249
Pakistan 20Y,-0.001,Pakistan,Pakistan,20Y,10.599,-0.01,10.599,27/08,10.600,10.599
Pakistan 30Y,0.001,Pakistan,Pakistan,30Y,11.101,0.01,11.101,27/08,11.100,11.101
Peru 9Y,-0.055,Peru,Peru,9Y,7.045,-0.78,6.990,1:00:05,7.045,6.990
Peru 15Y,0.000,Peru,Peru,15Y,7.400,0.00,7.400,1:00:05,7.400,7.400
Peru 20Y,-0.041,Peru,Peru,20Y,7.725,-0.53,7.684,1:00:05,7.725,7.684
Peru 30Y,-0.040,Peru,Peru,30Y,7.790,-0.51,7.790,1:00:05,7.830,7.790
Philippines 1M,0.000,Philippines,Philippines,1M,1.705,0.00,1.705,27/08,1.705,1.705
Philippines 3M,0.000,Philippines,Philippines,3M,1.768,0.00,1.768,27/08,1.768,1.768
Philippines 6M,0.000,Philippines,Philippines,6M,1.863,0.00,1.863,27/08,1.863,1.863
Philippines 1Y,0,Philippines,Philippines,1Y,1.875,0,1.875,27/08,1.875,1.875
Philippines 2Y,0.000,Philippines,Philippines,2Y,3.258,0.00,3.258,27/08,3.258,3.258
Philippines 3Y,0.000,Philippines,Philippines,3Y,3.006,0.00,3.006,27/08,3.006,3.006
Philippines 4Y,0.000,Philippines,Philippines,4Y,3.783,0.00,3.783,27/08,3.783,3.783
Philippines 5Y,0.000,Philippines,Philippines,5Y,3.385,0.00,3.385,27/08,3.385,3.385
Philippines 7Y,0.000,Philippines,Philippines,7Y,4.115,0.00,4.115,27/08,4.115,4.115
Philippines 10Y,0.000,Philippines,Philippines,10Y,4.360,0.00,4.360,27/08,4.360,4.360
Philippines 20Y,0.000,Philippines,Philippines,20Y,4.314,0.00,4.314,27/08,4.314,4.314
Philippines 25Y,0.000,Philippines,Philippines,25Y,4.560,0.00,4.560,27/08,4.560,4.560
Poland Overnight,-0.100,Poland,Poland,Overnight,1.500,-6.25,1.500,0:00:33,1.600,1.500
Poland 1M,0.000,Poland,Poland,1M,1.480,0.00,1.380,3:01:05,1.480,1.480
Poland 2M,0.030,Poland,Poland,2M,1.510,2.03,1.510,3:01:05,1.480,1.510
Poland 1Y,-0.088,Poland,Poland,1Y,1.774,0.00,1.659,27/08,1.659,1.659
Poland 2Y,0.000,Poland,Poland,2Y,1.860,0.00,1.816,27/08,1.827,1.827
Poland 3Y,-0.005,Poland,Poland,3Y,2.093,0.00,2.029,27/08,2.050,2.050
Poland 4Y,0.000,Poland,Poland,4Y,2.310,0.00,2.226,27/08,2.271,2.271
Poland 5Y,0.000,Poland,Poland,5Y,2.507,0.00,2.451,27/08,2.466,2.466
Poland 7Y,-0.006,Poland,Poland,7Y,2.810,-0.22,2.735,27/08,2.769,2.763
Poland 8Y,-0.006,Poland,Poland,8Y,2.899,-0.21,2.818,27/08,2.855,2.849
Poland 10Y,-0.006,Poland,Poland,10Y,2.980,0.00,2.883,27/08,2.949,2.949
Poland 15Y,-0.002,Poland,Poland,15Y,3.172,-0.06,3.065,27/08,3.154,3.152
Portugal 6M,0.025,Portugal,Portugal,6M,0.072,0.00,0.012,27/08,0.037,0.037
Portugal 2Y,-0.032,Portugal,Portugal,2Y,0.502,-7.45,0.408,27/08,0.443,0.410
Portugal 3Y,-0.017,Portugal,Portugal,3Y,0.681,-2.67,0.619,27/08,0.636,0.619
Portugal 4Y,-0.001,Portugal,Portugal,4Y,0.999,-0.11,0.940,27/08,0.949,0.948
Portugal 5Y,-0.006,Portugal,Portugal,5Y,1.371,-0.46,1.305,27/08,1.315,1.309
Portugal 6Y,0.001,Portugal,Portugal,6Y,1.705,0.06,1.642,27/08,1.644,1.645
Portugal 8Y,-0.002,Portugal,Portugal,8Y,2.340,-0.09,2.269,27/08,2.281,2.279
Portugal 9Y,-0.003,Portugal,Portugal,9Y,2.455,-0.13,2.382,27/08,2.395,2.392
Portugal 10Y,-0.012,Portugal,Portugal,10Y,2.701,-0.46,2.609,27/08,2.633,2.621
Portugal 15Y,0.026,Portugal,Portugal,15Y,3.121,0.88,3.029,27/08,3.060,3.087
Portugal 20Y,0.012,Portugal,Portugal,20Y,3.440,0.36,3.349,27/08,3.378,3.390
Qatar 5-Year,-0.021,Qatar,Qatar,5-Year,2.329,-0.90,2.251,0:11:18,2.346,2.325
Qatar 10-Year,-0.007,Qatar,Qatar,10-Year,2.760,-0.25,2.709,27/08,2.747,2.740
Qatar 20-Year,0.000,Qatar,Qatar,20-Year,4.043,0.00,4.022,13/08,4.036,4.036
Qatar 30-Year,-0.028,Qatar,Qatar,30-Year,4.411,-0.64,4.369,27/08,4.397,4.369
Romania 6M,0.000,Romania,Romania,6M,1.330,0.00,1.300,27/08,1.300,1.300
Romania 1Y,0.000,Romania,Romania,1Y,1.500,0.00,1.500,27/08,1.500,1.500
Romania 3Y,0.000,Romania,Romania,3Y,2.011,0.00,2.000,3:00:16,2.010,2.010
Romania 5Y,0.000,Romania,Romania,5Y,2.862,0.00,2.850,3:00:01,2.850,2.850
Romania 10Y,0.000,Romania,Romania,10Y,3.860,0.00,3.850,3:00:18,3.850,3.850
Russia Overnight,0.000,Russia,Russia,Overnight,11.470,0.00,11.470,27/08,11.470,11.470
Russia 1W,0.000,Russia,Russia,1W,11.550,0.00,11.550,27/08,11.550,11.550
Russia 2W,-0.040,Russia,Russia,2W,11.640,-0.34,11.600,27/08,11.600,11.600
Russia 1M,-0.010,Russia,Russia,1M,11.870,-0.08,11.860,27/08,11.860,11.860
Russia 2M,-0.050,Russia,Russia,2M,12.030,-0.42,11.980,27/08,11.980,11.980
Russia 3M,-0.030,Russia,Russia,3M,12.110,-0.25,12.080,27/08,12.080,12.080
Russia 6M,-0.020,Russia,Russia,6M,12.270,-0.16,12.250,27/08,12.250,12.250
Russia 1Y,-0.230,Russia,Russia,1Y,11.020,-2.04,11.020,27/08,11.020,11.020
Russia 2Y,-0.080,Russia,Russia,2Y,11.830,-0.68,11.680,27/08,11.730,11.730
Russia 3Y,-0.210,Russia,Russia,3Y,12.020,-1.75,11.710,27/08,11.760,11.760
Russia 5Y,-0.260,Russia,Russia,5Y,11.900,-2.16,11.800,27/08,11.800,11.800
Russia 10Y,-0.220,Russia,Russia,10Y,11.880,-1.85,11.520,27/08,11.690,11.690
Russia 15Y,-0.240,Russia,Russia,15Y,11.740,-2.04,11.420,27/08,11.520,11.520
Russia 25Y,0.000,Russia,Russia,25Y,9.820,0.00,9.810,26/08,9.810,9.810
Saudi Arabia 1M,0.000,Saudi Arabia,Saudi Arabia,1M,0.598,0.00,0.598,27/08,0.598,0.598
Saudi Arabia 2M,0.000,Saudi Arabia,Saudi Arabia,2M,0.701,0.00,0.701,27/08,0.701,0.701
Saudi Arabia 3M,0.000,Saudi Arabia,Saudi Arabia,3M,0.863,0.00,0.863,27/08,0.863,0.863
Saudi Arabia 6M,0.000,Saudi Arabia,Saudi Arabia,6M,0.931,0.00,0.931,27/08,0.931,0.931
Saudi Arabia 9M,0.000,Saudi Arabia,Saudi Arabia,9M,0.975,0.00,0.975,27/08,0.975,0.975
Saudi Arabia 1Y,0.000,Saudi Arabia,Saudi Arabia,1Y,1.074,0.00,1.074,27/08,1.074,1.074
Singapore 1M,0.000,Singapore,Singapore,1M,0.796,0.00,0.796,27/08,0.796,0.796
Singapore 2M,0.000,Singapore,Singapore,2M,0.868,0.00,0.868,27/08,0.868,0.868
Singapore 3M,0,Singapore,Singapore,3M,0.949,0,0.949,27/08,0.949,0.949
Singapore 1Y,0.000,Singapore,Singapore,1Y,1.000,0.00,1.000,27/08,1.000,1.000
Singapore 2Y,-0.001,Singapore,Singapore,2Y,1.048,0.00,1.004,2:47:13,1.023,1.023
Singapore 5Y,0.011,Singapore,Singapore,5Y,2.085,0.53,2.065,1:36:11,2.065,2.076
Singapore 10Y,0.030,Singapore,Singapore,10Y,2.768,1.11,2.682,3:12:59,2.708,2.738
Singapore 15Y,0.035,Singapore,Singapore,15Y,3.106,1.11,3.056,3:06:33,3.056,3.090
Singapore 20Y,0.035,Singapore,Singapore,20Y,3.147,1.10,3.077,3:06:27,3.078,3.112
Slovakia 2-Year,0.002,Slovakia,Slovakia,2-Year,0.108,1.94,0.071,27/08,0.103,0.105
Slovakia 4-Year,0.001,Slovakia,Slovakia,4-Year,0.205,0.51,0.161,27/08,0.198,0.199
Slovakia 5-Year,0.003,Slovakia,Slovakia,5-Year,0.316,1.11,0.237,27/08,0.270,0.273
Slovakia 8-Year,-0.002,Slovakia,Slovakia,8-Year,0.701,0.00,0.642,27/08,0.655,0.655
Slovenia 2Y,0.085,Slovenia,Slovenia,2Y,0.333,48.28,-0.765,27/08,0.174,0.258
Slovenia 5Y,-0.002,Slovenia,Slovenia,5Y,0.566,-0.37,0.532,27/08,0.545,0.543
Slovenia 10Y,-0.001,Slovenia,Slovenia,10Y,1.930,-0.05,1.875,27/08,1.882,1.881
South Africa 3M,0.000,South Africa,South Africa,3M,6.490,0.00,6.490,26/08,6.490,6.490
South Africa 3Y,-0.010,South Africa,South Africa,3Y,7.635,-0.13,7.565,27/08,7.575,7.565
South Africa 5Y,0.000,South Africa,South Africa,5Y,7.895,0.00,7.825,27/08,7.835,7.835
South Africa 8Y,0.000,South Africa,South Africa,8Y,8.225,0.00,8.160,27/08,8.160,8.160
South Africa 10Y,-0.005,South Africa,South Africa,10Y,8.405,-0.06,8.330,27/08,8.335,8.330
South Africa 15Y,0.000,South Africa,South Africa,15Y,8.820,0.00,8.745,27/08,8.745,8.745
South Africa 20Y,-0.080,South Africa,South Africa,20Y,8.915,-0.90,8.845,27/08,8.855,8.855
South Africa 30Y,0.020,South Africa,South Africa,30Y,9.030,0.22,8.940,27/08,8.945,8.965
South Korea 1Y,-0.001,South Korea,South Korea,1Y,1.584,-0.06,1.584,2:23:10,1.585,1.584
South Korea 2Y,0.011,South Korea,South Korea,2Y,1.671,0.66,1.671,0:57:22,1.660,1.671
South Korea 3Y,0.009,South Korea,South Korea,3Y,1.722,0.53,1.714,3:08:24,1.709,1.718
South Korea 4Y,0.000,South Korea,South Korea,4Y,1.878,0.00,1.868,27/08,1.868,1.868
South Korea 5Y,0.015,South Korea,South Korea,5Y,1.917,0.79,1.906,2:55:51,1.902,1.917
South Korea 10Y,0.035,South Korea,South Korea,10Y,2.300,1.55,2.270,3:24:13,2.264,2.299
South Korea 20Y,0.037,South Korea,South Korea,20Y,2.468,1.52,2.436,2:58:37,2.429,2.466
Spain 3M,0.006,Spain,Spain,3M,0.018,0.00,-0.061,27/08,-0.035,-0.035
Spain 6M,0.010,Spain,Spain,6M,0.073,0.00,0.008,27/08,0.040,0.040
Spain 1Y,0.039,Spain,Spain,1Y,0.084,0.00,0.046,27/08,0.083,0.083
Spain 2Y,0.114,Spain,Spain,2Y,0.451,66.47,0.135,3:30:03,0.173,0.288
Spain 3Y,0.090,Spain,Spain,3Y,0.628,20.93,0.418,3:30:02,0.430,0.520
Spain 4Y,-0.004,Spain,Spain,4Y,0.692,-0.60,0.657,27/08,0.666,0.662
Spain 5Y,-0.008,Spain,Spain,5Y,1.077,-0.77,1.030,27/08,1.043,1.035
Spain 6Y,0.062,Spain,Spain,6Y,1.391,5.04,1.213,3:30:03,1.229,1.291
Spain 7Y,-0.007,Spain,Spain,7Y,1.471,-0.49,1.418,27/08,1.428,1.421
Spain 8Y,0.060,Spain,Spain,8Y,1.761,3.57,1.667,3:30:03,1.681,1.741
Spain 9Y,0.067,Spain,Spain,9Y,2.003,3.47,1.918,3:30:03,1.932,1.999
Spain 10Y,0.053,Spain,Spain,10Y,2.135,2.57,2.049,3:30:03,2.064,2.117
Spain 15Y,0.052,Spain,Spain,15Y,2.647,1.98,2.547,3:30:03,2.578,2.629
Spain 20Y,0.032,Spain,Spain,20Y,2.719,1.20,2.644,3:30:03,2.677,2.709
Spain 30Y,0.032,Spain,Spain,30Y,3.159,1.03,3.086,3:30:02,3.119,3.151
Sri Lanka 3M,0.162,Sri Lanka,Sri Lanka,3M,6.667,2.49,6.667,3:01:18,6.505,6.667
Sri Lanka 6M,0.137,Sri Lanka,Sri Lanka,6M,6.912,2.02,6.912,3:01:18,6.775,6.912
Sri Lanka 1Y,-0.021,Sri Lanka,Sri Lanka,1Y,6.900,-0.30,6.900,3:01:18,6.921,6.900
Sri Lanka 2Y,0.243,Sri Lanka,Sri Lanka,2Y,7.629,3.29,7.629,3:01:18,7.386,7.629
Sri Lanka 3Y,0.114,Sri Lanka,Sri Lanka,3Y,8.264,1.40,8.264,3:01:18,8.150,8.264
Sri Lanka 4Y,0.245,Sri Lanka,Sri Lanka,4Y,8.586,2.94,8.586,3:01:18,8.341,8.586
Sri Lanka 5Y,0.219,Sri Lanka,Sri Lanka,5Y,8.844,2.54,8.844,3:01:18,8.625,8.844
Sweden 1M,-0.062,Sweden,Sweden,1M,-0.516,-10.49,-0.539,27/08,-0.516,-0.516
Sweden 2M,-0.021,Sweden,Sweden,2M,-0.500,-4.82,-0.507,27/08,-0.500,-0.500
Sweden 3M,0.001,Sweden,Sweden,3M,-0.450,0.00,-0.468,27/08,-0.450,-0.450
Sweden 6M,-0.010,Sweden,Sweden,6M,-0.493,-1.65,-0.496,27/08,-0.493,-0.493
Sweden 2Y,0.002,Sweden,Sweden,2Y,-0.516,0.39,-0.528,27/08,-0.518,-0.516
Sweden 5Y,0.002,Sweden,Sweden,5Y,0.060,3.45,0.014,27/08,0.058,0.060
Sweden 20-Year,0.002,Sweden,Sweden,20-Year,1.380,0.15,1.316,27/08,1.376,1.378
Sweden 10Y,0.001,Sweden,Sweden,10Y,0.691,0.15,0.633,27/08,0.688,0.688
Sweden 30Y,0.005,Sweden,Sweden,30Y,1.651,0.31,1.582,27/08,1.639,1.644
Switzerland Overnight,-0.080,Switzerland,Switzerland,Overnight,-0.890,-8.70,-1.000,27/08,-0.920,-1.000
Switzerland 1W,-0.110,Switzerland,Switzerland,1W,-0.880,-12.36,-1.000,27/08,-0.890,-1.000
Switzerland 1M,-0.070,Switzerland,Switzerland,1M,-0.880,-7.95,-1.020,27/08,-0.880,-0.950
Switzerland 2M,0.040,Switzerland,Switzerland,2M,-0.840,4.35,-1.000,27/08,-0.880,-0.880
Switzerland 3M,-0.030,Switzerland,Switzerland,3M,-0.840,-3.53,-1.000,27/08,-0.850,-0.880
Switzerland 6M,0.070,Switzerland,Switzerland,6M,-0.730,8.05,-0.900,3:34:34,-0.870,-0.800
Switzerland 1Y,0.050,Switzerland,Switzerland,1Y,-0.720,6.25,-0.800,27/08,-0.800,-0.750
Switzerland 2Y,0.005,Switzerland,Switzerland,2Y,-0.727,0.68,-0.753,27/08,-0.732,-0.732
Switzerland 3Y,-0.035,Switzerland,Switzerland,3Y,-0.696,-5.03,-0.770,27/08,-0.731,-0.731
Switzerland 4Y,-0.015,Switzerland,Switzerland,4Y,-0.678,-2.21,-0.729,27/08,-0.678,-0.693
Switzerland 5Y,-0.006,Switzerland,Switzerland,5Y,-0.596,-1.01,-0.628,27/08,-0.602,-0.602
Switzerland 6Y,0.003,Switzerland,Switzerland,6Y,-0.508,0.58,-0.532,27/08,-0.511,-0.511
Switzerland 7Y,0.029,Switzerland,Switzerland,7Y,-0.376,0.00,-0.413,27/08,-0.379,-0.379
Switzerland 8Y,0.039,Switzerland,Switzerland,8Y,-0.322,0.00,-0.358,27/08,-0.323,-0.323
Switzerland 9Y,0.024,Switzerland,Switzerland,9Y,-0.230,0.00,-0.257,27/08,-0.235,-0.235
Switzerland 10Y,0.000,Switzerland,Switzerland,10Y,-0.119,0.00,-0.166,27/08,-0.144,-0.144
Switzerland 15Y,-0.016,Switzerland,Switzerland,15Y,0.250,0.00,0.221,27/08,0.243,0.243
Switzerland 20Y,0.027,Switzerland,Switzerland,20Y,0.418,0.00,0.397,27/08,0.418,0.418
Switzerland 30Y,0.031,Switzerland,Switzerland,30Y,0.539,0.00,0.520,27/08,0.530,0.530
Taiwan 1M,-0.002,Taiwan,Taiwan,1M,0.610,-0.42,0.300,2:00:02,0.477,0.475
Taiwan 2M,0,Taiwan,Taiwan,2M,0.500,0,0.500,1:42:30,0.500,0.500
Taiwan 3M,0,Taiwan,Taiwan,3M,0.500,0,0.500,1:42:19,0.500,0.500
Taiwan 6M,0,Taiwan,Taiwan,6M,0.600,0,0.600,1:42:17,0.600,0.600
Taiwan 2Y,0,Taiwan,Taiwan,2Y,0.550,0,0.550,27/08,0.550,0.550
Taiwan 5Y,0.000,Taiwan,Taiwan,5Y,0.770,0.00,0.770,27/08,0.770,0.770
Taiwan 10Y,0.000,Taiwan,Taiwan,10Y,1.130,0.00,1.130,27/08,1.130,1.130
Taiwan 20Y,0.000,Taiwan,Taiwan,20Y,1.830,0.00,1.830,27/08,1.830,1.830
Taiwan 30Y,0.000,Taiwan,Taiwan,30Y,2.140,0.00,2.140,27/08,2.140,2.140
