time,BNP.ZARJPY - ZAR/JPY_x,closeAsk,closeBid
2015-07-16T09:11:00.000000Z,9.993,9.997,9.989
2015-07-16T09:11:10.000000Z,9.993,9.997,9.989
2015-07-16T09:12:00.000000Z,9.994499999999999,9.998,9.991
2015-07-16T09:12:20.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:12:25.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:12:35.000000Z,9.996500000000001,10.0,9.993
2015-07-16T09:12:40.000000Z,9.998000000000001,10.002,9.994
2015-07-16T09:12:45.000000Z,9.997499999999999,10.001,9.994
2015-07-16T09:12:55.000000Z,9.998000000000001,10.002,9.994
2015-07-16T09:13:00.000000Z,9.998000000000001,10.002,9.994
2015-07-16T09:13:05.000000Z,9.997499999999999,10.001,9.994
2015-07-16T09:13:10.000000Z,9.998000000000001,10.002,9.994
2015-07-16T09:13:25.000000Z,9.998000000000001,10.002,9.994
2015-07-16T09:13:35.000000Z,9.997499999999999,10.001,9.994
2015-07-16T09:13:40.000000Z,9.996500000000001,10.001,9.992
2015-07-16T09:13:50.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:14:10.000000Z,9.9975,10.002,9.993
2015-07-16T09:14:45.000000Z,9.997,10.001,9.993
2015-07-16T09:15:50.000000Z,9.9975,10.002,9.993
2015-07-16T09:15:55.000000Z,9.9985,10.002,9.995
2015-07-16T09:16:05.000000Z,9.999,10.002,9.996
2015-07-16T09:16:15.000000Z,9.9985,10.002,9.995
2015-07-16T09:17:40.000000Z,9.9955,9.999,9.992
2015-07-16T09:18:10.000000Z,9.9955,9.999,9.992
2015-07-16T09:18:20.000000Z,9.9985,10.002,9.995
2015-07-16T09:19:45.000000Z,9.999,10.002,9.996
2015-07-16T09:19:55.000000Z,9.9985,10.002,9.995
2015-07-16T09:20:50.000000Z,9.9985,10.002,9.995
2015-07-16T09:21:05.000000Z,9.996,10.0,9.992
2015-07-16T09:21:55.000000Z,9.994,9.998,9.99
2015-07-16T09:22:15.000000Z,9.9955,10.0,9.991
2015-07-16T09:22:20.000000Z,9.996,10.0,9.992
2015-07-16T09:22:25.000000Z,9.997,10.001,9.993
2015-07-16T09:22:30.000000Z,9.996,10.0,9.992
2015-07-16T09:22:35.000000Z,9.9975,10.002,9.993
2015-07-16T09:22:40.000000Z,9.997499999999999,10.001,9.994
2015-07-16T09:22:55.000000Z,9.9975,10.002,9.993
2015-07-16T09:23:00.000000Z,9.9985,10.003,9.994
2015-07-16T09:23:05.000000Z,9.9985,10.002,9.995
2015-07-16T09:23:25.000000Z,10.0,10.004,9.996
2015-07-16T09:23:50.000000Z,9.9985,10.003,9.994
2015-07-16T09:23:55.000000Z,9.9995,10.004,9.995
2015-07-16T09:24:00.000000Z,10.0,10.004,9.996
2015-07-16T09:24:05.000000Z,9.9995,10.004,9.995
2015-07-16T09:24:10.000000Z,10.0,10.004,9.996
2015-07-16T09:25:00.000000Z,9.9985,10.003,9.994
2015-07-16T09:25:05.000000Z,9.997,10.001,9.993
2015-07-16T09:25:10.000000Z,9.997,10.001,9.993
2015-07-16T09:25:15.000000Z,9.997,10.001,9.993
2015-07-16T09:25:25.000000Z,9.997,10.001,9.993
2015-07-16T09:25:35.000000Z,9.9975,10.002,9.993
2015-07-16T09:25:45.000000Z,9.9975,10.002,9.993
2015-07-16T09:25:50.000000Z,9.9975,10.002,9.993
2015-07-16T09:25:55.000000Z,9.997,10.001,9.993
2015-07-16T09:26:00.000000Z,9.9975,10.002,9.993
2015-07-16T09:26:45.000000Z,10.0,10.004,9.996
2015-07-16T09:27:20.000000Z,9.9995,10.004,9.995
2015-07-16T09:27:25.000000Z,10.0,10.004,9.996
2015-07-16T09:27:30.000000Z,9.9995,10.004,9.995
2015-07-16T09:27:45.000000Z,9.9995,10.004,9.995
2015-07-16T09:27:50.000000Z,10.0,10.004,9.996
2015-07-16T09:27:55.000000Z,9.9985,10.002,9.995
2015-07-16T09:28:05.000000Z,9.9985,10.003,9.994
2015-07-16T09:28:30.000000Z,10.0005,10.005,9.996
2015-07-16T09:28:40.000000Z,10.0,10.004,9.996
2015-07-16T09:28:45.000000Z,9.9995,10.004,9.995
2015-07-16T09:28:55.000000Z,9.997,10.001,9.993
2015-07-16T09:29:00.000000Z,9.997,10.001,9.993
2015-07-16T09:29:05.000000Z,9.9975,10.002,9.993
2015-07-16T09:29:35.000000Z,9.996,10.0,9.992
2015-07-16T09:30:15.000000Z,9.996500000000001,10.001,9.992
2015-07-16T09:30:20.000000Z,9.996500000000001,10.001,9.992
2015-07-16T09:30:25.000000Z,9.996500000000001,10.001,9.992
2015-07-16T09:30:30.000000Z,9.996500000000001,10.0,9.993
2015-07-16T09:30:55.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:31:05.000000Z,9.995000000000001,10.0,9.99
2015-07-16T09:31:20.000000Z,9.996500000000001,10.001,9.992
2015-07-16T09:31:30.000000Z,9.996500000000001,10.0,9.993
2015-07-16T09:31:35.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:31:40.000000Z,9.995000000000001,9.999,9.991
2015-07-16T09:35:00.000000Z,9.996500000000001,10.0,9.993
2015-07-16T09:35:05.000000Z,9.996,10.0,9.992
2015-07-16T09:35:40.000000Z,9.996,10.0,9.992
2015-07-16T09:36:15.000000Z,9.994,9.998,9.99
2015-07-16T09:36:55.000000Z,9.9955,10.0,9.991
2015-07-16T09:37:00.000000Z,9.996,10.0,9.992
2015-07-16T09:37:15.000000Z,9.994,9.998,9.99
2015-07-16T09:37:35.000000Z,9.996,10.0,9.992
2015-07-16T09:37:55.000000Z,9.994,9.998,9.99
2015-07-16T09:38:15.000000Z,9.993,9.997,9.989
2015-07-16T09:38:25.000000Z,9.991,9.995,9.987
2015-07-16T09:38:30.000000Z,9.9915,9.996,9.987
2015-07-16T09:38:35.000000Z,9.9915,9.996,9.987
2015-07-16T09:39:00.000000Z,9.991,9.995,9.987
2015-07-16T09:39:10.000000Z,9.993,9.997,9.989
2015-07-16T09:39:20.000000Z,9.99,9.994,9.986
2015-07-16T09:39:40.000000Z,9.988,9.992,9.984
2015-07-16T09:40:15.000000Z,9.988,9.992,9.984
2015-07-16T09:40:35.000000Z,9.989,9.993,9.985
2015-07-16T09:41:10.000000Z,9.989,9.993,9.985
2015-07-16T09:41:20.000000Z,9.9895,9.993,9.986
2015-07-16T09:41:25.000000Z,9.989,9.993,9.985
2015-07-16T09:41:30.000000Z,9.9895,9.993,9.986
2015-07-16T09:41:35.000000Z,9.9905,9.995,9.986
2015-07-16T09:41:40.000000Z,9.9895,9.993,9.986
2015-07-16T09:41:45.000000Z,9.9895,9.993,9.986
2015-07-16T09:41:55.000000Z,9.989,9.993,9.985
2015-07-16T09:42:00.000000Z,9.9895,9.993,9.986
2015-07-16T09:42:10.000000Z,9.9905,9.994,9.987
2015-07-16T09:42:30.000000Z,9.989,9.993,9.985
2015-07-16T09:42:45.000000Z,9.9895,9.993,9.986
2015-07-16T09:42:55.000000Z,9.9895,9.993,9.986
2015-07-16T09:43:05.000000Z,9.9895,9.993,9.986
2015-07-16T09:43:10.000000Z,9.988,9.992,9.984
2015-07-16T09:43:40.000000Z,9.99,9.994,9.986
2015-07-16T09:43:45.000000Z,9.988,9.994,9.982
2015-07-16T09:43:50.000000Z,9.988,9.993,9.983
2015-07-16T09:43:55.000000Z,9.987,9.991,9.983
2015-07-16T09:44:30.000000Z,9.987,9.991,9.983
2015-07-16T09:44:35.000000Z,9.9865,9.991,9.982
2015-07-16T09:45:30.000000Z,9.987,9.991,9.983
2015-07-16T09:45:55.000000Z,9.988,9.991,9.985
2015-07-16T09:46:20.000000Z,9.986,9.99,9.982
2015-07-16T09:46:35.000000Z,9.9875,9.991,9.984
2015-07-16T09:46:45.000000Z,9.988,9.992,9.984
2015-07-16T09:46:50.000000Z,9.9865,9.99,9.983
2015-07-16T09:46:55.000000Z,9.9865,9.99,9.983
2015-07-16T09:47:20.000000Z,9.988,9.992,9.984
2015-07-16T09:47:35.000000Z,9.9875,9.991,9.984
2015-07-16T09:48:20.000000Z,9.984,9.988,9.98
2015-07-16T09:48:25.000000Z,9.983,9.987,9.979
2015-07-16T09:48:55.000000Z,9.977,9.982,9.972
2015-07-16T09:49:00.000000Z,9.9775,9.982,9.973
2015-07-16T09:49:05.000000Z,9.9775,9.982,9.973
2015-07-16T09:49:10.000000Z,9.9785,9.982,9.975
2015-07-16T09:49:20.000000Z,9.979,9.983,9.975
2015-07-16T09:49:25.000000Z,9.979,9.983,9.975
2015-07-16T09:49:30.000000Z,9.9775,9.982,9.973
2015-07-16T09:50:05.000000Z,9.976500000000001,9.98,9.973
2015-07-16T09:50:10.000000Z,9.975999999999999,9.98,9.972
2015-07-16T09:50:20.000000Z,9.975999999999999,9.98,9.972
2015-07-16T09:50:25.000000Z,9.975999999999999,9.98,9.972
2015-07-16T09:50:30.000000Z,9.9755,9.979,9.972
2015-07-16T09:50:35.000000Z,9.974499999999999,9.979,9.97
2015-07-16T09:50:40.000000Z,9.973500000000001,9.977,9.97
2015-07-16T09:50:45.000000Z,9.972999999999999,9.977,9.969
2015-07-16T09:50:55.000000Z,9.969999999999999,9.974,9.966
2015-07-16T09:51:00.000000Z,9.968,9.973,9.963
2015-07-16T09:51:05.000000Z,9.9695,9.974,9.965
2015-07-16T09:51:15.000000Z,9.971,9.975,9.967
2015-07-16T09:52:40.000000Z,9.973500000000001,9.977,9.97
2015-07-16T09:52:45.000000Z,9.972999999999999,9.977,9.969
2015-07-16T09:52:55.000000Z,9.973500000000001,9.977,9.97
2015-07-16T09:53:00.000000Z,9.973500000000001,9.977,9.97
2015-07-16T09:53:45.000000Z,9.9755,9.979,9.972
2015-07-16T09:53:50.000000Z,9.9755,9.979,9.972
2015-07-16T09:53:55.000000Z,9.974499999999999,9.979,9.97
2015-07-16T09:54:05.000000Z,9.977,9.981,9.973
2015-07-16T09:54:10.000000Z,9.9765,9.981,9.972
2015-07-16T09:54:15.000000Z,9.977,9.981,9.973
2015-07-16T09:54:30.000000Z,9.977,9.981,9.973
2015-07-16T09:56:40.000000Z,9.974499999999999,9.979,9.97
2015-07-16T09:56:55.000000Z,9.973500000000001,9.977,9.97
2015-07-16T09:57:20.000000Z,9.972999999999999,9.977,9.969
2015-07-16T09:57:45.000000Z,9.972999999999999,9.977,9.969
2015-07-16T09:57:50.000000Z,9.972999999999999,9.977,9.969
2015-07-16T09:58:05.000000Z,9.969999999999999,9.974,9.966
2015-07-16T09:58:35.000000Z,9.970500000000001,9.974,9.967
2015-07-16T09:58:50.000000Z,9.970500000000001,9.974,9.967
2015-07-16T10:00:20.000000Z,9.9725,9.976,9.969
2015-07-16T10:00:25.000000Z,9.974,9.977,9.971
2015-07-16T10:00:50.000000Z,9.9725,9.976,9.969
2015-07-16T10:01:10.000000Z,9.972,9.975,9.969
2015-07-16T10:01:45.000000Z,9.9725,9.976,9.969
2015-07-16T10:01:50.000000Z,9.972,9.975,9.969
2015-07-16T10:01:55.000000Z,9.972,9.975,9.969
2015-07-16T10:02:00.000000Z,9.9725,9.976,9.969
2015-07-16T10:02:20.000000Z,9.972,9.975,9.969
2015-07-16T10:02:30.000000Z,9.9725,9.976,9.969
