time,closeAsk,closeBid,volume,BNP.USDSAR - USD/SAR_x
2015-07-08T12:17:00.000000Z,3.755859375,3.74609375,7.0,3.7509765625
2015-07-08T12:18:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:19:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:20:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:21:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T12:22:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:23:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:24:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:25:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:26:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:27:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:28:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T12:29:00.000000Z,3.751953125,3.75,8.0,3.7509765625
2015-07-08T12:30:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:31:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:32:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:33:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T12:34:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:35:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:36:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:37:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:38:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:39:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:40:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:41:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:42:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:43:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:44:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:45:00.000000Z,3.751953125,3.75,8.0,3.7509765625
2015-07-08T12:46:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:47:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:48:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:49:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:50:00.000000Z,3.751953125,3.75,8.0,3.7509765625
2015-07-08T12:51:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:52:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:53:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:54:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:55:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:56:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:57:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T12:58:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T12:59:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:00:00.000000Z,3.751953125,3.75,3.0,3.7509765625
2015-07-08T13:01:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:02:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:03:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:04:00.000000Z,3.751953125,3.75,5.0,3.7509765625
