time,closeAsk,closeBid,volume,BNP.USDCNH - USD/CNH_x
2015-08-04T20:01:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:02:00.000000Z,6.21875,6.21875,3.0,6.21875
2015-08-04T20:03:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:04:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:05:00.000000Z,6.21875,6.21875,3.0,6.21875
2015-08-04T20:06:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:07:00.000000Z,6.21875,6.21875,3.0,6.21875
2015-08-04T20:08:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:09:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:10:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:12:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:13:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:14:00.000000Z,6.21875,6.21875,20.0,6.21875
2015-08-04T20:15:00.000000Z,6.21875,6.21875,58.0,6.21875
2015-08-04T20:16:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:17:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:18:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:19:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:20:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:21:00.000000Z,6.21875,6.21875,3.0,6.21875
2015-08-04T20:24:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:26:00.000000Z,6.21875,6.21875,9.0,6.21875
2015-08-04T20:28:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:29:00.000000Z,6.21875,6.21875,108.0,6.21875
2015-08-04T20:30:00.000000Z,6.21875,6.21875,9.0,6.21875
2015-08-04T20:31:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:33:00.000000Z,6.21875,6.21875,5.0,6.21875
2015-08-04T20:34:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:37:00.000000Z,6.21875,6.21875,23.0,6.21875
2015-08-04T20:48:00.000000Z,6.21875,6.21875,12.0,6.21875
2015-08-04T20:49:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:52:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:54:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T20:55:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T20:57:00.000000Z,6.21875,6.21875,8.0,6.21875
2015-08-04T20:58:00.000000Z,6.21875,6.21875,20.0,6.21875
2015-08-04T20:59:00.000000Z,6.21875,6.21875,6.0,6.21875
2015-08-04T21:01:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T21:02:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T21:03:00.000000Z,6.21875,6.21875,9.0,6.21875
2015-08-04T21:04:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T21:06:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T21:08:00.000000Z,6.21875,6.21875,6.0,6.21875
2015-08-04T21:09:00.000000Z,6.21875,6.21875,14.0,6.21875
2015-08-04T21:10:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T21:12:00.000000Z,6.21875,6.21875,7.0,6.21875
2015-08-04T21:15:00.000000Z,6.21875,6.21484375,24.0,6.216796875
2015-08-04T21:17:00.000000Z,6.21875,6.21875,13.0,6.21875
2015-08-04T21:19:00.000000Z,6.21875,6.21875,8.0,6.21875
2015-08-04T21:20:00.000000Z,6.21875,6.21875,19.0,6.21875
2015-08-04T21:21:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T21:22:00.000000Z,6.21875,6.21875,7.0,6.21875
2015-08-04T21:24:00.000000Z,6.22265625,6.21875,28.0,6.220703125
2015-08-04T21:25:00.000000Z,6.21875,6.21875,15.0,6.21875
2015-08-04T21:26:00.000000Z,6.21875,6.21875,16.0,6.21875
2015-08-04T21:27:00.000000Z,6.22265625,6.21875,18.0,6.220703125
2015-08-04T21:28:00.000000Z,6.21875,6.21875,4.0,6.21875
2015-08-04T21:29:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-04T21:30:00.000000Z,6.21875,6.21875,41.0,6.21875
2015-08-04T21:31:00.000000Z,6.21875,6.21875,3.0,6.21875
2015-08-04T21:32:00.000000Z,6.22265625,6.21484375,69.0,6.21875
2015-08-04T21:33:00.000000Z,6.21875,6.21484375,39.0,6.216796875
2015-08-04T21:34:00.000000Z,6.22265625,6.21484375,5.0,6.21875
2015-08-04T21:35:00.000000Z,6.21875,6.21484375,9.0,6.216796875
2015-08-04T21:36:00.000000Z,6.22265625,6.21875,16.0,6.220703125
2015-08-04T21:37:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T21:38:00.000000Z,6.21875,6.21875,2.0,6.21875
2015-08-04T21:40:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T21:46:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T21:47:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T21:51:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-04T21:54:00.000000Z,6.21875,6.21875,57.0,6.21875
2015-08-04T21:55:00.000000Z,6.22265625,6.21875,188.0,6.220703125
2015-08-04T21:56:00.000000Z,6.22265625,6.21875,33.0,6.220703125
2015-08-04T21:57:00.000000Z,6.22265625,6.21875,91.0,6.220703125
2015-08-04T21:58:00.000000Z,6.22265625,6.21875,17.0,6.220703125
2015-08-04T22:00:00.000000Z,6.22265625,6.21875,97.0,6.220703125
2015-08-04T22:01:00.000000Z,6.22265625,6.21875,69.0,6.220703125
