time,closeAsk,closeBid,volume,BNP.EURCZK - EUR/CZK_x
2015-08-13T12:45:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T12:46:00.000000Z,27.03125,27.015625,8.0,27.03125
2015-08-13T12:47:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T12:48:00.000000Z,27.03125,27.015625,18.0,27.03125
2015-08-13T12:49:00.000000Z,27.03125,27.015625,15.0,27.03125
2015-08-13T12:50:00.000000Z,27.03125,27.015625,10.0,27.03125
2015-08-13T12:51:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T12:52:00.000000Z,27.03125,27.015625,17.0,27.03125
2015-08-13T12:53:00.000000Z,27.03125,27.015625,3.0,27.03125
2015-08-13T12:54:00.000000Z,27.03125,27.015625,11.0,27.03125
2015-08-13T12:55:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T12:56:00.000000Z,27.03125,27.015625,6.0,27.03125
2015-08-13T12:57:00.000000Z,27.03125,27.015625,15.0,27.03125
2015-08-13T12:58:00.000000Z,27.03125,27.015625,12.0,27.03125
2015-08-13T12:59:00.000000Z,27.03125,27.015625,12.0,27.03125
2015-08-13T13:00:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T13:01:00.000000Z,27.03125,27.015625,2.0,27.03125
2015-08-13T13:02:00.000000Z,27.03125,27.015625,3.0,27.03125
2015-08-13T13:03:00.000000Z,27.03125,27.015625,19.0,27.03125
2015-08-13T13:04:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:05:00.000000Z,27.03125,27.015625,9.0,27.03125
2015-08-13T13:06:00.000000Z,27.03125,27.015625,3.0,27.03125
2015-08-13T13:07:00.000000Z,27.03125,27.015625,7.0,27.03125
2015-08-13T13:08:00.000000Z,27.03125,27.015625,2.0,27.03125
2015-08-13T13:09:00.000000Z,27.03125,27.015625,7.0,27.03125
2015-08-13T13:10:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:11:00.000000Z,27.03125,27.015625,2.0,27.03125
2015-08-13T13:12:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:13:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:14:00.000000Z,27.03125,27.015625,10.0,27.03125
2015-08-13T13:15:00.000000Z,27.03125,27.015625,12.0,27.03125
2015-08-13T13:16:00.000000Z,27.03125,27.015625,2.0,27.03125
2015-08-13T13:17:00.000000Z,27.03125,27.015625,3.0,27.03125
2015-08-13T13:18:00.000000Z,27.03125,27.015625,10.0,27.03125
2015-08-13T13:19:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T13:20:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:21:00.000000Z,27.03125,27.015625,7.0,27.03125
2015-08-13T13:22:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T13:23:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:24:00.000000Z,27.03125,27.015625,10.0,27.03125
2015-08-13T13:25:00.000000Z,27.03125,27.015625,6.0,27.03125
2015-08-13T13:26:00.000000Z,27.03125,27.015625,9.0,27.03125
2015-08-13T13:27:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:28:00.000000Z,27.03125,27.015625,2.0,27.03125
2015-08-13T13:29:00.000000Z,27.03125,27.015625,3.0,27.03125
2015-08-13T13:30:00.000000Z,27.03125,27.015625,4.0,27.03125
2015-08-13T13:31:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T13:32:00.000000Z,27.03125,27.015625,8.0,27.03125
2015-08-13T13:33:00.000000Z,27.03125,27.015625,5.0,27.03125
2015-08-13T13:34:00.000000Z,27.03125,27.015625,8.0,27.03125
2015-08-13T13:35:00.000000Z,27.03125,27.015625,14.0,27.03125
