time,closeAsk,closeBid,volume,BNP.EURJPY - EUR/JPY_x
2015-08-14T06:24:00.000000Z,138.625,138.625,13.0,138.625
2015-08-14T06:25:00.000000Z,138.625,138.625,3.0,138.625
2015-08-14T06:26:00.000000Z,138.625,138.625,13.0,138.625
2015-08-14T06:27:00.000000Z,138.625,138.625,35.0,138.625
2015-08-14T06:28:00.000000Z,138.625,138.625,23.0,138.625
2015-08-14T06:29:00.000000Z,138.625,138.625,23.0,138.625
2015-08-14T06:30:00.000000Z,138.625,138.625,11.0,138.625
2015-08-14T06:31:00.000000Z,138.625,138.625,33.0,138.625
2015-08-14T06:32:00.000000Z,138.625,138.625,31.0,138.625
2015-08-14T06:33:00.000000Z,138.75,138.625,5.0,138.75
2015-08-14T06:34:00.000000Z,138.625,138.625,12.0,138.625
2015-08-14T06:35:00.000000Z,138.75,138.625,19.0,138.75
2015-08-14T06:36:00.000000Z,138.625,138.625,39.0,138.625
2015-08-14T06:37:00.000000Z,138.625,138.625,24.0,138.625
2015-08-14T06:38:00.000000Z,138.625,138.625,39.0,138.625
2015-08-14T06:39:00.000000Z,138.625,138.625,14.0,138.625
2015-08-14T06:40:00.000000Z,138.625,138.625,4.0,138.625
2015-08-14T06:41:00.000000Z,138.625,138.625,16.0,138.625
2015-08-14T06:42:00.000000Z,138.625,138.625,25.0,138.625
2015-08-14T06:43:00.000000Z,138.625,138.625,18.0,138.625
2015-08-14T06:44:00.000000Z,138.625,138.625,9.0,138.625
2015-08-14T06:45:00.000000Z,138.625,138.625,14.0,138.625
2015-08-14T06:46:00.000000Z,138.625,138.625,13.0,138.625
2015-08-14T06:47:00.000000Z,138.625,138.625,6.0,138.625
2015-08-14T06:48:00.000000Z,138.625,138.625,26.0,138.625
2015-08-14T06:49:00.000000Z,138.625,138.625,22.0,138.625
2015-08-14T06:50:00.000000Z,138.625,138.625,11.0,138.625
2015-08-14T06:51:00.000000Z,138.625,138.625,21.0,138.625
2015-08-14T06:52:00.000000Z,138.625,138.625,26.0,138.625
2015-08-14T06:53:00.000000Z,138.625,138.5,30.0,138.5
2015-08-14T06:54:00.000000Z,138.625,138.625,38.0,138.625
2015-08-14T06:55:00.000000Z,138.75,138.75,83.0,138.75
2015-08-14T06:56:00.000000Z,138.75,138.75,58.0,138.75
2015-08-14T06:57:00.000000Z,138.75,138.75,63.0,138.75
2015-08-14T06:58:00.000000Z,138.75,138.75,28.0,138.75
2015-08-14T06:59:00.000000Z,138.75,138.75,26.0,138.75
2015-08-14T07:00:00.000000Z,138.75,138.75,39.0,138.75
2015-08-14T07:01:00.000000Z,138.75,138.75,22.0,138.75
2015-08-14T07:02:00.000000Z,138.75,138.75,22.0,138.75
2015-08-14T07:03:00.000000Z,138.75,138.625,39.0,138.75
2015-08-14T07:04:00.000000Z,138.75,138.75,21.0,138.75
2015-08-14T07:05:00.000000Z,138.75,138.75,35.0,138.75
2015-08-14T07:06:00.000000Z,138.75,138.625,31.0,138.75
2015-08-14T07:07:00.000000Z,138.75,138.75,36.0,138.75
2015-08-14T07:08:00.000000Z,138.75,138.75,40.0,138.75
2015-08-14T07:09:00.000000Z,138.75,138.75,46.0,138.75
2015-08-14T07:10:00.000000Z,138.75,138.75,22.0,138.75
2015-08-14T07:11:00.000000Z,138.75,138.75,22.0,138.75
2015-08-14T07:12:00.000000Z,138.75,138.75,52.0,138.75
2015-08-14T07:13:00.000000Z,138.75,138.75,98.0,138.75
2015-08-14T07:14:00.000000Z,138.625,138.625,69.0,138.625
