time,BNP.GBPHKD - GBP/HKD_x,closeAsk,closeBid,volume
2004-08-23T21:00:00.000000Z,13.9765625,13.9765625,13.9765625,2.0
2004-08-24T21:00:00.000000Z,14.01171875,14.015625,14.0078125,2.0
2004-08-25T21:00:00.000000Z,14.015625,14.015625,14.015625,2.0
2004-08-26T21:00:00.000000Z,13.96875,13.96875,13.96875,2.0
2004-08-28T21:00:00.000000Z,13.96875,13.96875,13.96875,2.0
2004-08-29T21:00:00.000000Z,14.00390625,14.0078125,14.0,2.0
2004-08-30T21:00:00.000000Z,14.0625,14.0625,14.0625,2.0
2004-08-31T21:00:00.000000Z,13.984375,13.984375,13.984375,2.0
2004-09-01T21:00:00.000000Z,13.9609375,13.9609375,13.9609375,2.0
2004-09-02T21:00:00.000000Z,13.85546875,13.859375,13.8515625,2.0
2004-09-03T21:00:00.000000Z,13.85546875,13.859375,13.8515625,2.0
2004-09-05T21:00:00.000000Z,13.890625,13.890625,13.890625,2.0
2004-09-06T21:00:00.000000Z,13.828125,13.828125,13.828125,2.0
2004-09-07T21:00:00.000000Z,13.9296875,13.9296875,13.9296875,2.0
2004-09-08T21:00:00.000000Z,13.9296875,13.9296875,13.9296875,2.0
2004-09-09T21:00:00.000000Z,14.01171875,14.015625,14.0078125,2.0
2004-09-11T21:00:00.000000Z,14.01953125,14.0234375,14.015625,2.0
2004-09-12T21:00:00.000000Z,14.015625,14.015625,14.015625,2.0
2004-09-13T21:00:00.000000Z,14.0234375,14.0234375,14.0234375,2.0
2004-09-14T21:00:00.000000Z,13.859375,13.859375,13.859375,2.0
2004-09-15T21:00:00.000000Z,13.984375,13.984375,13.984375,2.0
2004-09-16T21:00:00.000000Z,13.984375,13.984375,13.984375,2.0
2004-09-17T21:00:00.000000Z,13.98046875,13.984375,13.9765625,2.0
2004-09-19T21:00:00.000000Z,13.9296875,13.9296875,13.9296875,2.0
2004-09-20T21:00:00.000000Z,14.015625,14.015625,14.015625,2.0
2004-09-21T21:00:00.000000Z,13.9921875,13.9921875,13.9921875,2.0
2004-09-22T21:00:00.000000Z,14.0078125,14.0078125,14.0078125,2.0
2004-09-23T21:00:00.000000Z,14.0859375,14.0859375,14.0859375,2.0
2004-09-25T21:00:00.000000Z,14.0859375,14.0859375,14.0859375,2.0
2004-09-26T21:00:00.000000Z,14.109375,14.109375,14.109375,2.0
2004-09-27T21:00:00.000000Z,14.140625,14.140625,14.140625,2.0
2004-09-28T21:00:00.000000Z,14.03125,14.03125,14.03125,2.0
2004-09-29T21:00:00.000000Z,14.125,14.125,14.125,2.0
2004-09-30T21:00:00.000000Z,14.0234375,14.0234375,14.0234375,2.0
2004-10-02T21:00:00.000000Z,14.015625,14.015625,14.015625,2.0
2004-10-03T21:00:00.000000Z,13.9140625,13.9140625,13.9140625,2.0
2004-10-04T21:00:00.000000Z,13.8984375,13.8984375,13.8984375,2.0
2004-10-05T21:00:00.000000Z,13.875,13.875,13.875,2.0
2004-10-06T21:00:00.000000Z,13.890625,13.890625,13.890625,2.0
2004-10-07T21:00:00.000000Z,13.96875,13.96875,13.96875,2.0
2004-10-09T21:00:00.000000Z,13.9765625,13.9765625,13.9765625,2.0
2004-10-10T21:00:00.000000Z,14.015625,14.015625,14.015625,2.0
2004-10-11T21:00:00.000000Z,13.9609375,13.9609375,13.9609375,2.0
2004-10-12T21:00:00.000000Z,13.9765625,13.9765625,13.9765625,2.0
2004-10-13T21:00:00.000000Z,14.0,14.0,14.0,2.0
2004-10-14T21:00:00.000000Z,14.05078125,14.0546875,14.046875,2.0
2004-10-16T21:00:00.000000Z,14.0546875,14.0546875,14.0546875,2.0
2004-10-17T21:00:00.000000Z,14.0078125,14.0078125,14.0078125,2.0
2004-10-18T21:00:00.000000Z,14.05078125,14.0546875,14.046875,2.0
2004-10-19T21:00:00.000000Z,14.15625,14.15625,14.15625,2.0
2004-10-20T21:00:00.000000Z,14.234375,14.234375,14.234375,2.0
2004-10-21T21:00:00.000000Z,14.234375,14.234375,14.234375,2.0
2004-10-23T21:00:00.000000Z,14.234375,14.234375,14.234375,2.0
2004-10-24T21:00:00.000000Z,14.3203125,14.3203125,14.3203125,2.0
2004-10-25T21:00:00.000000Z,14.2734375,14.2734375,14.2734375,2.0
