time,closeAsk,closeBid,volume,BNP.EURSEK - EUR/SEK_x
2015-08-14T08:28:00.000000Z,9.4375,9.4296875,213.0,9.4375
2015-08-14T08:29:00.000000Z,9.4375,9.4296875,361.0,9.4375
2015-08-14T08:30:00.000000Z,9.4375,9.4296875,323.0,9.4375
2015-08-14T08:31:00.000000Z,9.4375,9.4296875,407.0,9.4375
2015-08-14T08:32:00.000000Z,9.4375,9.4296875,344.0,9.4375
2015-08-14T08:33:00.000000Z,9.4375,9.4296875,102.0,9.4375
2015-08-14T08:34:00.000000Z,9.4375,9.4296875,471.0,9.4375
2015-08-14T08:35:00.000000Z,9.4375,9.4296875,214.0,9.4375
2015-08-14T08:36:00.000000Z,9.4375,9.4296875,78.0,9.4375
2015-08-14T08:37:00.000000Z,9.4375,9.4296875,141.0,9.4375
2015-08-14T08:38:00.000000Z,9.4375,9.4296875,140.0,9.4375
2015-08-14T08:39:00.000000Z,9.4375,9.4296875,130.0,9.4375
2015-08-14T08:40:00.000000Z,9.4375,9.4375,541.0,9.4375
2015-08-14T08:41:00.000000Z,9.4453125,9.4296875,412.0,9.4375
2015-08-14T08:42:00.000000Z,9.4375,9.4375,670.0,9.4375
2015-08-14T08:43:00.000000Z,9.4375,9.4375,354.0,9.4375
2015-08-14T08:44:00.000000Z,9.4375,9.4375,429.0,9.4375
2015-08-14T08:45:00.000000Z,9.4375,9.4375,467.0,9.4375
2015-08-14T08:46:00.000000Z,9.4375,9.4375,144.0,9.4375
2015-08-14T08:47:00.000000Z,9.4375,9.4375,274.0,9.4375
2015-08-14T08:48:00.000000Z,9.4375,9.4375,271.0,9.4375
2015-08-14T08:49:00.000000Z,9.4375,9.4296875,330.0,9.4375
2015-08-14T08:50:00.000000Z,9.4375,9.4296875,81.0,9.4375
2015-08-14T08:51:00.000000Z,9.4375,9.4296875,212.0,9.4375
2015-08-14T08:52:00.000000Z,9.4375,9.4296875,152.0,9.4375
2015-08-14T08:53:00.000000Z,9.4375,9.4296875,371.0,9.4375
2015-08-14T08:54:00.000000Z,9.4375,9.4375,509.0,9.4375
2015-08-14T08:55:00.000000Z,9.4375,9.4375,418.0,9.4375
2015-08-14T08:56:00.000000Z,9.4375,9.4375,321.0,9.4375
2015-08-14T08:57:00.000000Z,9.4375,9.4375,99.0,9.4375
2015-08-14T08:58:00.000000Z,9.4375,9.4375,204.0,9.4375
2015-08-14T08:59:00.000000Z,9.4375,9.4296875,123.0,9.4375
2015-08-14T09:00:00.000000Z,9.4375,9.4296875,434.0,9.4375
2015-08-14T09:01:00.000000Z,9.4375,9.4296875,244.0,9.4375
2015-08-14T09:02:00.000000Z,9.4375,9.4296875,67.0,9.4375
2015-08-14T09:03:00.000000Z,9.4375,9.4296875,208.0,9.4375
2015-08-14T09:04:00.000000Z,9.4375,9.4296875,347.0,9.4375
2015-08-14T09:05:00.000000Z,9.4375,9.4375,226.0,9.4375
2015-08-14T09:06:00.000000Z,9.4375,9.4375,160.0,9.4375
2015-08-14T09:07:00.000000Z,9.4375,9.4375,128.0,9.4375
2015-08-14T09:08:00.000000Z,9.4375,9.4375,81.0,9.4375
2015-08-14T09:09:00.000000Z,9.4375,9.4296875,227.0,9.4375
2015-08-14T09:10:00.000000Z,9.4375,9.4296875,106.0,9.4375
2015-08-14T09:11:00.000000Z,9.4375,9.4296875,40.0,9.4375
2015-08-14T09:12:00.000000Z,9.4375,9.4296875,23.0,9.4375
2015-08-14T09:13:00.000000Z,9.4375,9.4375,448.0,9.4375
2015-08-14T09:14:00.000000Z,9.4375,9.4375,673.0,9.4375
2015-08-14T09:15:00.000000Z,9.4375,9.4375,645.0,9.4375
2015-08-14T09:16:00.000000Z,9.4375,9.4375,392.0,9.4375
2015-08-14T09:17:00.000000Z,9.4375,9.4375,387.0,9.4375
2015-08-14T09:18:00.000000Z,9.4375,9.4296875,241.0,9.4375
2015-08-14T09:19:00.000000Z,9.4375,9.4296875,71.0,9.4375
2015-08-14T09:20:00.000000Z,9.4375,9.4296875,171.0,9.4375
2015-08-14T09:21:00.000000Z,9.4375,9.4296875,185.0,9.4375
2015-08-14T09:22:00.000000Z,9.4375,9.4296875,358.0,9.4375
2015-08-14T09:23:00.000000Z,9.4375,9.4296875,185.0,9.4375
2015-08-14T09:24:00.000000Z,9.4375,9.4296875,209.0,9.4375
2015-08-14T09:25:00.000000Z,9.4375,9.4296875,223.0,9.4375
2015-08-14T09:26:00.000000Z,9.4375,9.4296875,358.0,9.4375
2015-08-14T09:27:00.000000Z,9.4375,9.4296875,123.0,9.4375
2015-08-14T09:28:00.000000Z,9.4296875,9.4296875,112.0,9.4296875
2015-08-14T09:29:00.000000Z,9.4296875,9.4296875,275.0,9.4296875
2015-08-14T09:30:00.000000Z,9.4296875,9.4296875,259.0,9.4296875
2015-08-14T09:31:00.000000Z,9.4296875,9.4296875,45.0,9.4296875
2015-08-14T09:32:00.000000Z,9.4296875,9.4296875,25.0,9.4296875
2015-08-14T09:33:00.000000Z,9.4296875,9.4296875,52.0,9.4296875
2015-08-14T09:34:00.000000Z,9.4296875,9.4296875,87.0,9.4296875
2015-08-14T09:35:00.000000Z,9.4296875,9.4296875,146.0,9.4296875
2015-08-14T09:36:00.000000Z,9.4296875,9.4296875,331.0,9.4296875
2015-08-14T09:37:00.000000Z,9.4296875,9.421875,315.0,9.421875
2015-08-14T09:38:00.000000Z,9.4296875,9.421875,448.0,9.421875
2015-08-14T09:39:00.000000Z,9.4296875,9.421875,41.0,9.421875
2015-08-14T09:40:00.000000Z,9.4296875,9.421875,155.0,9.421875
2015-08-14T09:41:00.000000Z,9.4296875,9.421875,338.0,9.421875
2015-08-14T09:42:00.000000Z,9.421875,9.421875,351.0,9.421875
2015-08-14T09:43:00.000000Z,9.421875,9.421875,372.0,9.421875
2015-08-14T09:44:00.000000Z,9.421875,9.421875,224.0,9.421875
2015-08-14T09:45:00.000000Z,9.421875,9.421875,182.0,9.421875
2015-08-14T09:46:00.000000Z,9.421875,9.421875,195.0,9.421875
2015-08-14T09:47:00.000000Z,9.421875,9.421875,186.0,9.421875
2015-08-14T09:48:00.000000Z,9.421875,9.421875,398.0,9.421875
2015-08-14T09:49:00.000000Z,9.421875,9.421875,342.0,9.421875
2015-08-14T09:50:00.000000Z,9.421875,9.421875,249.0,9.421875
2015-08-14T09:51:00.000000Z,9.421875,9.421875,131.0,9.421875
2015-08-14T09:52:00.000000Z,9.421875,9.421875,183.0,9.421875
2015-08-14T09:53:00.000000Z,9.421875,9.421875,240.0,9.421875
2015-08-14T09:54:00.000000Z,9.421875,9.421875,157.0,9.421875
2015-08-14T09:55:00.000000Z,9.421875,9.421875,110.0,9.421875
2015-08-14T09:56:00.000000Z,9.421875,9.421875,297.0,9.421875
2015-08-14T09:57:00.000000Z,9.421875,9.4140625,264.0,9.421875
2015-08-14T09:58:00.000000Z,9.421875,9.4140625,198.0,9.421875
2015-08-14T09:59:00.000000Z,9.421875,9.421875,174.0,9.421875
2015-08-14T10:00:00.000000Z,9.421875,9.421875,243.0,9.421875
2015-08-14T10:01:00.000000Z,9.421875,9.421875,347.0,9.421875
2015-08-14T10:02:00.000000Z,9.421875,9.421875,242.0,9.421875
2015-08-14T10:03:00.000000Z,9.421875,9.421875,47.0,9.421875
2015-08-14T10:04:00.000000Z,9.421875,9.421875,69.0,9.421875
2015-08-14T10:05:00.000000Z,9.421875,9.421875,29.0,9.421875
2015-08-14T10:06:00.000000Z,9.421875,9.421875,12.0,9.421875
2015-08-14T10:07:00.000000Z,9.421875,9.421875,42.0,9.421875
2015-08-14T10:08:00.000000Z,9.421875,9.421875,84.0,9.421875
2015-08-14T10:09:00.000000Z,9.421875,9.421875,143.0,9.421875
2015-08-14T10:10:00.000000Z,9.421875,9.421875,124.0,9.421875
2015-08-14T10:11:00.000000Z,9.421875,9.421875,122.0,9.421875
2015-08-14T10:12:00.000000Z,9.421875,9.421875,18.0,9.421875
2015-08-14T10:13:00.000000Z,9.421875,9.421875,428.0,9.421875
2015-08-14T10:14:00.000000Z,9.421875,9.421875,553.0,9.421875
2015-08-14T10:15:00.000000Z,9.421875,9.4140625,334.0,9.421875
2015-08-14T10:16:00.000000Z,9.421875,9.4140625,127.0,9.421875
2015-08-14T10:17:00.000000Z,9.421875,9.4140625,233.0,9.421875
2015-08-14T10:18:00.000000Z,9.421875,9.4140625,319.0,9.421875
2015-08-14T10:19:00.000000Z,9.421875,9.421875,164.0,9.421875
2015-08-14T10:20:00.000000Z,9.421875,9.4140625,131.0,9.421875
2015-08-14T10:21:00.000000Z,9.421875,9.421875,293.0,9.421875
2015-08-14T10:22:00.000000Z,9.421875,9.4140625,319.0,9.421875
2015-08-14T10:23:00.000000Z,9.421875,9.4140625,143.0,9.421875
2015-08-14T10:24:00.000000Z,9.421875,9.4140625,300.0,9.421875
2015-08-14T10:25:00.000000Z,9.421875,9.4140625,289.0,9.421875
2015-08-14T10:26:00.000000Z,9.421875,9.4140625,38.0,9.421875
2015-08-14T10:27:00.000000Z,9.421875,9.4140625,177.0,9.421875
2015-08-14T10:28:00.000000Z,9.421875,9.4140625,56.0,9.421875
2015-08-14T10:29:00.000000Z,9.421875,9.4140625,266.0,9.421875
