,BNP.AUDUSD - AUD/USD_x,BNP.EURAUD - EUR/AUD_x,BNP.EURCAD - EUR/CAD_x,BNP.EURCHF - EUR/CHF_x,BNP.EURCZK - EUR/CZK_x,BNP.EURDKK - EUR/DKK_x,BNP.EURGBP - EUR/GBP_x,BNP.EURHKD - EUR/HKD_x,BNP.EURHUF - EUR/HUF_x,BNP.EURJPY - EUR/JPY_x,BNP.EURNOK - EUR/NOK_x,BNP.EURNZD - EUR/NZD_x,BNP.EURPLN - EUR/PLN_x,BNP.EURSEK - EUR/SEK_x,BNP.EURSGD - EUR/SGD_x,BNP.EURTRY - EUR/TRY_x,BNP.EURUSD - EUR/USD_x,BNP.EURZAR - EUR/ZAR_x,BNP.GBPUSD - GBP/USD_x,BNP.NZDUSD - NZD/USD_x,BNP.USDCAD - USD/CAD_x,BNP.USDCHF - USD/CHF_x,BNP.USDCNH - USD/CNH_x,BNP.USDCZK - USD/CZK_x,BNP.USDDKK - USD/DKK_x,BNP.USDHKD - USD/HKD_x,BNP.USDHUF - USD/HUF_x,BNP.USDJPY - USD/JPY_x,BNP.USDMXN - USD/MXN_x,BNP.USDNOK - USD/NOK_x,BNP.USDPLN - USD/PLN_x,BNP.USDSAR - USD/SAR_x,BNP.USDSEK - USD/SEK_x,BNP.USDSGD - USD/SGD_x,BNP.USDTHB - USD/THB_x,BNP.USDTRY - USD/TRY_x,BNP.USDZAR - USD/ZAR_x
47124,0.10896393355402276,0.08840957479164623,0.1011201668605224,-0.0631874343757082,0.08093808272081336,-0.004078335247079891,0.012927160019396502,0.30072260802373924,0.2145485427757774,0.0051648073762122345,0.10857660712997347,0.07901167841047638,0.06196656940132447,0.03996587223303928,-0.059581305369072475,-0.02253776230632393,0.018001186337874408,-0.0257368757658854,0.2601747690275025,0.0979507050720968,0.018809561347388832,-0.1679994996240916,0.006615053171738368,0.015206408999455271,-0.15101484432894607,0.00035864808461047004,-0.04344122142949556,-0.11296765555627512,-0.015528269211171881,-0.14712046546469032,-0.07390870135125571,-0.018082126702827186,0.11520915112555205,0.0789663823999729,-0.029195595099136364,0.014859525081257513,0.011468938032800123
78556,0.04338106665953132,0.11806511694327215,0.11504934636515753,-0.051165185215649785,0.08036246437081199,-0.010233552195674091,0.010930069432234969,0.2746994520065913,0.2865912171884202,0.025636979034537568,0.1156332184198697,0.07822940627709102,0.07289027583858727,0.038968854333389744,-0.0683327223505937,-0.08292523993367343,-0.01033761962725735,-0.01851483179071486,0.23845565449924785,0.10888210209435424,0.0014703969622091545,-0.17519157411581998,0.002689967050266805,0.026111901737059563,-0.10812858706593136,0.002828534823571367,-0.07178219231973511,-0.11422483690616025,-0.008150949197414064,-0.1544111780283845,-0.07910466492840268,-0.019078400537353518,0.1363148892118415,0.1402633826579422,-0.013761977174346166,0.02570833191061845,0.014373115225339931
299999,-0.024193594378803803,0.12039630520446888,0.120317327610324,-0.07767133670332285,0.21121934182522908,-0.022959447545150308,0.007252859907863995,0.3430630914150588,0.3298906018525896,0.0018624586096745164,0.10754034894820023,0.06661737958358166,0.04113229265798196,0.0035386746504218955,-0.058011356334590564,-0.20642529535000004,0.047323083350982655,-0.06887852708959324,0.3033210782875467,0.073900414350237,0.05450173471063772,-0.28887173142343153,0.004417189483759732,0.05007837047406166,-0.1495008086499998,-0.005175602859895571,-0.03884726406979192,-0.11467285011315427,-0.0014504071331025831,-0.12955238085734794,-0.007338849502392357,-0.015661430375560236,0.10667053743412236,0.2514270459988386,-0.024016274639804942,-0.023438160703050985,0.05522565265843032
308810,0.04486179755470738,-0.02390250626697717,0.305344548910608,-0.054790977189741526,0.14642173741284498,-0.04240730591166004,0.06224733176566905,0.22016542867107275,0.2864569699488408,0.09119708263299907,0.10139811015897947,0.08308897990444591,0.032174548267832746,0.0031073310223962533,-0.27736880971523203,-0.0904583712222558,0.012835002794752208,0.09935378431152513,0.07062695169698646,0.15395076765214824,-0.15850960576181686,-0.030741941968129162,0.16988944976484774,-0.046045453689758965,0.04562778398926758,0.05935798367145579,-0.10320775777926204,-0.13257558611480716,0.1384799129571006,-0.20416811282540664,0.012592379248909534,-0.20852144155952526,0.08803833115103313,0.260016169024098,-0.1399423845739464,0.06656969297812981,-0.08869262523062417
448502,-0.0011821247103083064,-0.027454294980315368,0.4787013287338932,-0.005145717501867386,-0.3237399297565554,-0.1732937797444987,0.0368866336216825,-0.05714732515870884,0.5153455494835212,0.06317036760260566,0.5186225343794532,0.2386423707620597,-0.05800851644372025,-0.07454221563821857,-0.4240893482259782,0.00880364968652932,0.4949539435049827,0.3272065361608029,-0.1943816715424032,0.13769659446537486,-0.2913012032653624,0.643793391163977,0.3017457886103057,0.11177342634903192,0.3437628449524175,0.053610191916678734,-0.059825255621498666,-0.5790370860708199,0.1394894840910408,-0.5478245661167531,0.16648258290882945,-0.21294341774227007,0.1831466232001109,0.1374190854289262,-0.2446917687801229,-0.3398950761219341,-0.29742547237720196
528559,0.10320108254726308,-0.024145380482686604,-0.022858104115404083,-0.013969886407974995,-0.08518897031658262,-0.13096781209327146,0.011821778371863205,0.22923059583283165,0.33238464418075186,0.05149762664940508,0.3603465955289328,0.11127412490723736,0.1416254855482058,-0.012420379752674666,-0.09240438565546964,-0.14818539872804976,0.09693093016118076,0.04176215901994512,0.210475338961775,0.1565113647492331,-0.042881035409622216,0.06971481098758589,-0.0038868177775939353,0.2103560418577753,-0.1139360489395459,0.0048476826026848715,-0.11507632590203425,-0.39489165651536734,0.017895257214851284,-0.2187108508287112,0.003629106996998829,-0.02895884349583514,0.14044020676640792,0.2640584619829087,-0.060930390204449285,-0.10345886305821833,-0.026139655542196067
534878,0.06057782200670656,0.0952080668492649,0.021899922200357608,-0.04079833233814152,-0.03221272852042507,-0.1289806302782319,0.01778215147382994,0.17973546136366145,0.2841282503006572,0.13564022148288735,0.232785754509945,0.13323932485516174,0.14684281053158466,0.019268106813885483,-0.06864437010800248,-0.10981237376553264,-0.0156594978830519,0.09765764682607114,0.15647385289261387,0.16382894602594522,-0.024644440799378702,0.012728236319862956,-0.023579965778200204,0.2060715745800475,-0.09815266650698573,0.01991242285264411,-0.20326509715110924,-0.2634543886969755,0.0042973280402087335,-0.2349559743370867,-0.06511680851821149,-0.024757533254691776,0.1255572689177541,0.2510559090389257,-0.010913264216840092,-0.005089496998616396,-0.05614715514073843
2999999,0.008413619283886793,0.014782155535234591,0.007873399491698579,0.0062722409289591155,0.007052829385994347,-0.010811669695643105,-0.005522545176504687,-0.13534533525860262,0.1370917381732539,0.12885287019608055,-0.08309785025563121,0.24117467812610466,-0.019523631993571447,0.01338951548133774,0.3220242435225865,0.4264997536902929,-0.0077651353870579155,-0.04722755550902419,0.2798796536448518,0.08004915565112881,0.037778324479403325,-0.3134780941505847,0.0071828691783465655,0.022021016021192327,-0.10285569203432016,-0.004618088361949395,-0.031926472066155856,-0.1816553457017724,0.018079349972618508,-0.16489307334851566,0.01035567424018956,-0.021295659946671985,0.07669689023916253,0.3094529296294592,-0.060174076860365626,-0.01019467078401068,0.050016635123706916
4211824,-0.03104873807109717,0.14392124277358825,0.1431219546856375,-0.07093945272416677,0.30011965450569417,-0.002886663112800359,0.005435692473239189,0.3328373476473236,0.35739982345614096,-0.006304355292155357,0.08857888988650023,0.06101572287211662,0.02518943730483152,-0.010277387742205015,-0.04534263805377239,-0.3188536156892689,0.07943193621059719,-0.09138923047678907,0.2965562443848728,0.058538341852564436,0.04630792851876665,-0.3951433961868837,0.0066985843949255676,0.018234711085966925,-0.14838568770197502,-0.004459369964347119,-0.029140348891053183,-0.0909439784908404,0.007974417416819014,-0.12411104443625195,0.019163692006957868,-0.015638681385758847,0.0887604115783997,0.35868598259319184,-0.016499793251313233,-0.06634266541408694,0.07956409249664463
4682804,-0.06315461857060757,0.14079625696053955,0.13909845836568152,-0.07369560775500589,0.28594257149405233,-0.001085039602640902,0.005159402374702779,0.3439291497215537,0.3806536035927388,-0.004680619877167893,0.08329488281175447,0.06245405663908926,0.02496490790630764,-0.007058954201737787,-0.048315426422925634,-0.2968832171957193,0.06588104312377988,-0.08776492310994598,0.3059858076477259,0.05681028781896664,0.05004734980199242,-0.37689412349298795,0.005889888044556643,0.015207602150112675,-0.11863767923874508,-0.005817334545136492,-0.030668527638296268,-0.08638504118713826,0.0060538974241581105,-0.12559329783893394,0.01273753538276661,-0.015445490653164027,0.09203781938832364,0.3379847953588755,-0.017278598695672224,-0.0488518311932712,0.07562590053424854
4828250,-0.02270294354941373,0.09961762911610918,0.10297139279780794,-0.06611975144095243,0.2334141631047319,0.0048891910178671906,0.006670665687205837,0.3394949080460235,0.3614244491615845,-0.0016631169586038867,0.08710756719159557,0.07087910470700781,0.04147705874767818,0.0029107142745002893,-0.05588887230097176,-0.22455078634284795,0.0359977095263899,-0.06815439128433677,0.3022237940969314,0.07135785506192283,0.03550304083210402,-0.3250926719137962,0.0039944806525242975,-0.001739888781746365,-0.10424328199730366,-0.006089967095034685,-0.03730627758256164,-0.09338925469396447,-0.004930165102281847,-0.13913769584027005,-0.0013862324315920104,-0.016061423671410058,0.105139778359815,0.2781808106658009,-0.02140563279779573,-0.009806713532820515,0.057585704997123774
5220500,-0.06571360575436556,0.13852898224518387,0.1357719336584686,-0.07558925539287051,0.2719278313622718,-0.004169500663560448,0.005452555620975988,0.3457336849618323,0.3804746000060399,-0.002844056808923359,0.08687417073836548,0.06366337697955458,0.025676939739621756,-0.005132793727602706,-0.04952791433185757,-0.280306423262981,0.060318969902756335,-0.08310737959419132,0.307729329606729,0.05644440548750192,0.0530499647083053,-0.3599477001561605,0.005660633878573401,0.01926993041216706,-0.1146438898116967,-0.00609328386691043,-0.033074344451489435,-0.09060622821879287,0.00473940881088223,-0.12693281504768453,0.009244175777870482,-0.015534615842624873,0.09378749097306685,0.32249809499580806,-0.01834102608101559,-0.04123894626915668,0.07099963110416667
