,BNP.AUDCAD - AUD/CAD_x,BNP.AUDUSD - AUD/USD_x,BNP.CADCHF - CAD/CHF_x,BNP.CADHKD - CAD/HKD_x,BNP.CADJPY - CAD/JPY_x,BNP.CADSGD - CAD/SGD_x,BNP.EURCAD - EUR/CAD_x,BNP.EURUSD - EUR/USD_x,BNP.GBPCAD - GBP/CAD_x,BNP.GBPUSD - GBP/USD_x,BNP.NZDCAD - NZD/CAD_x,BNP.NZDUSD - NZD/USD_x,BNP.USDCAD - USD/CAD_x,BNP.USDCHF - USD/CHF_x,BNP.USDCNH - USD/CNH_x,BNP.USDCZK - USD/CZK_x,BNP.USDDKK - USD/DKK_x,BNP.USDHKD - USD/HKD_x,BNP.USDHUF - USD/HUF_x,BNP.USDJPY - USD/JPY_x,BNP.USDMXN - USD/MXN_x,BNP.USDNOK - USD/NOK_x,BNP.USDPLN - USD/PLN_x,BNP.USDSAR - USD/SAR_x,BNP.USDSEK - USD/SEK_x,BNP.USDSGD - USD/SGD_x,BNP.USDTHB - USD/THB_x,BNP.USDTRY - USD/TRY_x,BNP.USDZAR - USD/ZAR_x
77776,0.4614483583062346,0.02265409512538136,-0.11104836316223662,-0.04646806609246232,-0.12388453256358604,-0.12612995773698926,-0.0822341812585141,0.1614253341214387,-0.045850441975905834,0.1952356415403218,-0.07069321029970269,0.005402862175980048,0.00941202339287053,0.11196342135513483,0.015211968876328853,-0.025012612651796662,0.1193347536690808,0.01189525531050694,0.0195402296783988,0.036287779990574025,0.06125285889832247,0.009200510707403407,-0.0821482596296805,0.0012374490608644388,-0.002880301367301368,0.0722844151545631,-0.02082455979137725,-0.045239795139060325,-0.0009346001766185582
350422,0.6311556142145811,0.025979806615663414,-0.11436750058129384,-0.04645808253970366,-0.2909418994473427,-0.1713229451673637,-0.056475595775044976,0.09392332953104293,-0.021476659552600662,0.10733959313706187,-0.041598938876676886,-0.01004540877022474,0.024126124794734704,0.08276712372152012,0.008151681114507299,-0.029194774697741493,0.0882392926528089,0.010749190476870743,0.01843670083305584,0.05385629135553318,0.04500659636035177,0.005365849099397107,-0.06560411340917591,0.0004546094369597,0.0028275461466130947,0.05254153601187992,-0.01005877173002443,-0.02683240857982376,-0.003875220111181939
471000,0.5331435780164541,0.026708470816981283,-0.11920721631631608,-0.06684584856631849,-0.1227717764842162,-0.20781778280080754,-0.08287881712433445,0.10467904083861278,-0.027837454832174358,0.14229350479426753,-0.053789195696280524,-0.011415531438847087,0.03592431666737851,0.1245263611563041,0.02456173562746353,-0.03481868200562205,0.1019769862435833,0.010755642818011484,0.0151365995519313,0.06252003797227933,0.059020812184031136,0.002912881049208009,-0.07384951765755851,0.0007754125576836222,0.001195548504701962,0.07503347067580518,-0.017127628773272466,-0.03915436632412973,-0.0032319016184624147
493693,0.38274361957584935,0.02933865602055833,-0.08761970870110916,-0.1263310284112075,-0.011782636399814198,-0.10561501028084994,-0.16001244991993224,0.10637757224253842,-0.04169221535755418,0.10480763817531748,-0.029020811931562637,-0.012079976879402888,0.05162428640304142,0.20968557773306204,0.06323890444995538,-0.06462178314709541,0.1054902473708102,0.010887669273457305,0.0408137335557669,0.04806355809059065,0.09700272625597076,0.038354357117153515,-0.09596558626047516,0.003356713948547395,0.03597589576108488,0.07986951344385934,-0.017177916000775527,-0.07336489307571845,0.02668151909966621
563024,0.4838803347334407,0.033016246248695404,-0.12877220420320964,-0.09938940430904167,-0.11988028558164236,-0.10513065658194744,-0.09654730577882534,0.10954845278241476,-0.027374347209583656,0.13677760011932594,-0.054133896119248716,-0.005291232915508785,0.02136826994130645,0.16729428767870558,0.03447862878355973,-0.0586932899587043,0.12562728076257107,0.011288146267853912,0.027918464977064586,0.03847625594075684,0.06560755961548309,0.007911900281925068,-0.08030029970676567,0.0021028336358317255,0.007642600658674913,0.07424351401901493,-0.017450967170733935,-0.04781334884636711,0.0024929388967950654
