time,BNP.GBPSGD - GBP/SGD_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,3.138671875,3.138671875,3.138671875,2.0
2004-06-01T21:00:00.000000Z,3.126953125,3.126953125,3.126953125,2.0
2004-06-02T21:00:00.000000Z,3.1455078125,3.146484375,3.14453125,2.0
2004-06-03T21:00:00.000000Z,3.1455078125,3.146484375,3.14453125,2.0
2004-06-05T21:00:00.000000Z,3.1474609375,3.1484375,3.146484375,2.0
2004-06-06T21:00:00.000000Z,3.13671875,3.13671875,3.13671875,2.0
2004-06-07T21:00:00.000000Z,3.1328125,3.1328125,3.1328125,2.0
2004-06-08T21:00:00.000000Z,3.1376953125,3.138671875,3.13671875,2.0
2004-06-09T21:00:00.000000Z,3.15625,3.15625,3.15625,2.0
2004-06-10T21:00:00.000000Z,3.1240234375,3.125,3.123046875,2.0
2004-06-12T21:00:00.000000Z,3.1220703125,3.123046875,3.12109375,2.0
2004-06-13T21:00:00.000000Z,3.11328125,3.11328125,3.11328125,2.0
2004-06-14T21:00:00.000000Z,3.138671875,3.138671875,3.138671875,2.0
2004-06-15T21:00:00.000000Z,3.142578125,3.142578125,3.142578125,2.0
2004-06-16T21:00:00.000000Z,3.150390625,3.150390625,3.150390625,2.0
2004-06-17T21:00:00.000000Z,3.1533203125,3.154296875,3.15234375,2.0
2004-06-19T21:00:00.000000Z,3.1533203125,3.154296875,3.15234375,2.0
2004-06-20T21:00:00.000000Z,3.15234375,3.15234375,3.15234375,2.0
2004-06-21T21:00:00.000000Z,3.134765625,3.134765625,3.134765625,2.0
2004-06-22T21:00:00.000000Z,3.1240234375,3.125,3.123046875,2.0
2004-06-23T21:00:00.000000Z,3.125,3.125,3.125,2.0
2004-06-24T21:00:00.000000Z,3.12109375,3.12109375,3.12109375,2.0
2004-06-25T21:00:00.000000Z,3.12109375,3.12109375,3.12109375,2.0
2004-06-27T21:00:00.000000Z,3.130859375,3.130859375,3.130859375,2.0
2004-06-28T21:00:00.000000Z,3.1005859375,3.1015625,3.099609375,2.0
2004-06-29T21:00:00.000000Z,3.126953125,3.126953125,3.126953125,2.0
2004-06-30T21:00:00.000000Z,3.119140625,3.119140625,3.119140625,2.0
2004-07-01T21:00:00.000000Z,3.1337890625,3.134765625,3.1328125,2.0
2004-07-03T21:00:00.000000Z,3.134765625,3.134765625,3.134765625,2.0
2004-07-04T21:00:00.000000Z,3.1396484375,3.140625,3.138671875,2.0
2004-07-05T21:00:00.000000Z,3.16015625,3.16015625,3.16015625,2.0
2004-07-06T21:00:00.000000Z,3.1689453125,3.169921875,3.16796875,2.0
2004-07-07T21:00:00.000000Z,3.158203125,3.158203125,3.158203125,2.0
2004-07-08T21:00:00.000000Z,3.1650390625,3.166015625,3.1640625,2.0
2004-07-10T21:00:00.000000Z,3.166015625,3.166015625,3.166015625,2.0
2004-07-11T21:00:00.000000Z,3.158203125,3.158203125,3.158203125,2.0
2004-07-12T21:00:00.000000Z,3.158203125,3.158203125,3.158203125,2.0
