time,closeAsk,closeBid,volume,BNP.EURNZD - EUR/NZD_x
2015-08-14T09:18:00.000000Z,1.703125,1.703125,79.0,1.703125
2015-08-14T09:19:00.000000Z,1.703125,1.703125,144.0,1.703125
2015-08-14T09:20:00.000000Z,1.703125,1.7021484375,118.0,1.703125
2015-08-14T09:21:00.000000Z,1.7021484375,1.7021484375,109.0,1.7021484375
2015-08-14T09:22:00.000000Z,1.703125,1.7021484375,66.0,1.703125
2015-08-14T09:23:00.000000Z,1.703125,1.7021484375,121.0,1.703125
2015-08-14T09:24:00.000000Z,1.703125,1.7021484375,79.0,1.703125
2015-08-14T09:25:00.000000Z,1.703125,1.703125,138.0,1.703125
2015-08-14T09:26:00.000000Z,1.7041015625,1.703125,141.0,1.703125
2015-08-14T09:27:00.000000Z,1.7041015625,1.703125,144.0,1.703125
2015-08-14T09:28:00.000000Z,1.7041015625,1.703125,145.0,1.703125
2015-08-14T09:29:00.000000Z,1.7041015625,1.703125,113.0,1.703125
2015-08-14T09:30:00.000000Z,1.7041015625,1.703125,196.0,1.703125
2015-08-14T09:31:00.000000Z,1.7041015625,1.703125,97.0,1.703125
2015-08-14T09:32:00.000000Z,1.7041015625,1.703125,157.0,1.703125
2015-08-14T09:33:00.000000Z,1.703125,1.703125,160.0,1.703125
2015-08-14T09:34:00.000000Z,1.703125,1.703125,156.0,1.703125
2015-08-14T09:35:00.000000Z,1.703125,1.7021484375,156.0,1.703125
2015-08-14T09:36:00.000000Z,1.7021484375,1.7021484375,173.0,1.7021484375
2015-08-14T09:37:00.000000Z,1.7021484375,1.7021484375,144.0,1.7021484375
2015-08-14T09:38:00.000000Z,1.7021484375,1.7021484375,179.0,1.7021484375
2015-08-14T09:39:00.000000Z,1.7021484375,1.7021484375,69.0,1.7021484375
2015-08-14T09:40:00.000000Z,1.7021484375,1.701171875,112.0,1.701171875
2015-08-14T09:41:00.000000Z,1.703125,1.7021484375,202.0,1.703125
2015-08-14T09:42:00.000000Z,1.7001953125,1.69921875,309.0,1.69921875
2015-08-14T09:43:00.000000Z,1.7021484375,1.701171875,255.0,1.701171875
