time,closeAsk,closeBid,volume,BNP.EURDKK - EUR/DKK_x
2015-08-07T08:55:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T08:56:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T08:57:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T08:59:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T09:00:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:08:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:21:00.000000Z,7.4609375,7.4609375,4.0,7.4609375
2015-08-07T09:22:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:29:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T09:32:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:33:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:34:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:35:00.000000Z,7.4609375,7.4609375,4.0,7.4609375
2015-08-07T09:36:00.000000Z,7.4609375,7.4609375,13.0,7.4609375
2015-08-07T09:38:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:40:00.000000Z,7.4609375,7.4609375,4.0,7.4609375
2015-08-07T09:41:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:42:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T09:43:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T09:45:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:46:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:47:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:48:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:49:00.000000Z,7.4609375,7.4609375,4.0,7.4609375
2015-08-07T09:50:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:52:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:53:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T09:58:00.000000Z,7.4609375,7.4609375,8.0,7.4609375
2015-08-07T09:59:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T10:00:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T10:01:00.000000Z,7.4609375,7.4609375,6.0,7.4609375
2015-08-07T10:02:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T10:03:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T10:04:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:05:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T10:06:00.000000Z,7.4609375,7.4609375,11.0,7.4609375
2015-08-07T10:07:00.000000Z,7.4609375,7.4609375,5.0,7.4609375
2015-08-07T10:11:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T10:12:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:13:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:21:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:25:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:29:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:30:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:31:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T10:34:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T10:40:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:46:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:48:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:50:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:57:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T10:58:00.000000Z,7.4609375,7.4609375,5.0,7.4609375
2015-08-07T10:59:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T11:00:00.000000Z,7.4609375,7.4609375,13.0,7.4609375
2015-08-07T11:01:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T11:02:00.000000Z,7.4609375,7.4609375,5.0,7.4609375
2015-08-07T11:04:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
2015-08-07T11:06:00.000000Z,7.4609375,7.4609375,2.0,7.4609375
2015-08-07T11:07:00.000000Z,7.4609375,7.4609375,3.0,7.4609375
2015-08-07T11:08:00.000000Z,7.4609375,7.4609375,1.0,7.4609375
