time,closeAsk,closeBid,volume,BNP.USDCZK - USD/CZK_x
2015-08-14T10:33:00.000000Z,24.203125,24.1875,44.0,24.1875
2015-08-14T10:34:00.000000Z,24.203125,24.1875,67.0,24.1875
2015-08-14T10:35:00.000000Z,24.203125,24.1875,68.0,24.1875
2015-08-14T10:36:00.000000Z,24.203125,24.1875,34.0,24.1875
2015-08-14T10:37:00.000000Z,24.203125,24.1875,119.0,24.1875
2015-08-14T10:38:00.000000Z,24.1875,24.1875,249.0,24.1875
2015-08-14T10:39:00.000000Z,24.203125,24.1875,71.0,24.1875
2015-08-14T10:40:00.000000Z,24.203125,24.1875,77.0,24.1875
2015-08-14T10:41:00.000000Z,24.1875,24.171875,133.0,24.1875
2015-08-14T10:42:00.000000Z,24.1875,24.1875,87.0,24.1875
2015-08-14T10:43:00.000000Z,24.203125,24.1875,68.0,24.1875
2015-08-14T10:44:00.000000Z,24.203125,24.1875,51.0,24.1875
2015-08-14T10:45:00.000000Z,24.203125,24.1875,24.0,24.1875
2015-08-14T10:46:00.000000Z,24.203125,24.1875,89.0,24.1875
2015-08-14T10:47:00.000000Z,24.203125,24.1875,68.0,24.1875
2015-08-14T10:48:00.000000Z,24.203125,24.1875,59.0,24.1875
2015-08-14T10:49:00.000000Z,24.203125,24.1875,51.0,24.1875
2015-08-14T10:50:00.000000Z,24.203125,24.1875,66.0,24.1875
2015-08-14T10:51:00.000000Z,24.203125,24.1875,81.0,24.1875
2015-08-14T10:52:00.000000Z,24.203125,24.1875,77.0,24.1875
2015-08-14T10:53:00.000000Z,24.203125,24.1875,51.0,24.1875
2015-08-14T10:54:00.000000Z,24.203125,24.1875,80.0,24.1875
2015-08-14T10:55:00.000000Z,24.203125,24.1875,57.0,24.1875
2015-08-14T10:56:00.000000Z,24.1875,24.171875,133.0,24.1875
2015-08-14T10:57:00.000000Z,24.1875,24.171875,51.0,24.1875
2015-08-14T10:58:00.000000Z,24.1875,24.171875,90.0,24.1875
2015-08-14T10:59:00.000000Z,24.1875,24.171875,152.0,24.1875
2015-08-14T11:00:00.000000Z,24.1875,24.171875,166.0,24.1875
2015-08-14T11:01:00.000000Z,24.1875,24.171875,83.0,24.1875
2015-08-14T11:02:00.000000Z,24.1875,24.171875,101.0,24.1875
2015-08-14T11:03:00.000000Z,24.1875,24.171875,122.0,24.1875
2015-08-14T11:04:00.000000Z,24.1875,24.171875,83.0,24.1875
2015-08-14T11:05:00.000000Z,24.1875,24.171875,132.0,24.1875
2015-08-14T11:06:00.000000Z,24.171875,24.171875,104.0,24.171875
2015-08-14T11:07:00.000000Z,24.1875,24.171875,165.0,24.1875
2015-08-14T11:08:00.000000Z,24.1875,24.171875,126.0,24.1875
2015-08-14T11:09:00.000000Z,24.171875,24.171875,93.0,24.171875
2015-08-14T11:10:00.000000Z,24.171875,24.15625,188.0,24.15625
2015-08-14T11:11:00.000000Z,24.171875,24.15625,271.0,24.15625
2015-08-14T11:12:00.000000Z,24.171875,24.15625,87.0,24.15625
2015-08-14T11:13:00.000000Z,24.171875,24.171875,120.0,24.171875
2015-08-14T11:14:00.000000Z,24.171875,24.15625,93.0,24.15625
2015-08-14T11:15:00.000000Z,24.171875,24.15625,83.0,24.15625
2015-08-14T11:16:00.000000Z,24.171875,24.15625,82.0,24.15625
2015-08-14T11:17:00.000000Z,24.171875,24.15625,114.0,24.15625
2015-08-14T11:18:00.000000Z,24.171875,24.15625,124.0,24.15625
2015-08-14T11:19:00.000000Z,24.15625,24.140625,125.0,24.15625
2015-08-14T11:20:00.000000Z,24.15625,24.15625,88.0,24.15625
2015-08-14T11:21:00.000000Z,24.15625,24.140625,85.0,24.15625
2015-08-14T11:22:00.000000Z,24.15625,24.140625,125.0,24.15625
2015-08-14T11:23:00.000000Z,24.15625,24.15625,67.0,24.15625
2015-08-14T11:24:00.000000Z,24.15625,24.140625,60.0,24.15625
2015-08-14T11:25:00.000000Z,24.15625,24.140625,45.0,24.15625
2015-08-14T11:26:00.000000Z,24.15625,24.140625,42.0,24.15625
2015-08-14T11:27:00.000000Z,24.15625,24.15625,68.0,24.15625
2015-08-14T11:28:00.000000Z,24.15625,24.15625,97.0,24.15625
2015-08-14T11:29:00.000000Z,24.15625,24.15625,41.0,24.15625
2015-08-14T11:30:00.000000Z,24.15625,24.15625,31.0,24.15625
2015-08-14T11:31:00.000000Z,24.15625,24.15625,31.0,24.15625
2015-08-14T11:32:00.000000Z,24.171875,24.15625,38.0,24.15625
2015-08-14T11:33:00.000000Z,24.171875,24.15625,69.0,24.15625
2015-08-14T11:34:00.000000Z,24.171875,24.15625,101.0,24.15625
2015-08-14T11:35:00.000000Z,24.171875,24.15625,71.0,24.15625
2015-08-14T11:36:00.000000Z,24.171875,24.171875,53.0,24.171875
2015-08-14T11:37:00.000000Z,24.171875,24.15625,80.0,24.15625
2015-08-14T11:38:00.000000Z,24.171875,24.171875,58.0,24.171875
2015-08-14T11:39:00.000000Z,24.1875,24.171875,101.0,24.1875
2015-08-14T11:40:00.000000Z,24.1875,24.171875,100.0,24.1875
2015-08-14T11:41:00.000000Z,24.1875,24.171875,93.0,24.1875
2015-08-14T11:42:00.000000Z,24.1875,24.171875,94.0,24.1875
2015-08-14T11:43:00.000000Z,24.1875,24.171875,77.0,24.1875
2015-08-14T11:44:00.000000Z,24.1875,24.171875,112.0,24.1875
2015-08-14T11:45:00.000000Z,24.1875,24.171875,112.0,24.1875
2015-08-14T11:46:00.000000Z,24.1875,24.171875,91.0,24.1875
2015-08-14T11:47:00.000000Z,24.1875,24.171875,54.0,24.1875
2015-08-14T11:48:00.000000Z,24.1875,24.171875,110.0,24.1875
2015-08-14T11:49:00.000000Z,24.1875,24.171875,99.0,24.1875
2015-08-14T11:50:00.000000Z,24.1875,24.171875,64.0,24.1875
2015-08-14T11:51:00.000000Z,24.1875,24.171875,22.0,24.1875
2015-08-14T11:52:00.000000Z,24.203125,24.1875,43.0,24.1875
2015-08-14T11:53:00.000000Z,24.1875,24.171875,90.0,24.1875
2015-08-14T11:54:00.000000Z,24.1875,24.171875,22.0,24.1875
2015-08-14T11:55:00.000000Z,24.1875,24.1875,55.0,24.1875
2015-08-14T11:56:00.000000Z,24.1875,24.1875,31.0,24.1875
2015-08-14T11:57:00.000000Z,24.1875,24.1875,34.0,24.1875
2015-08-14T11:58:00.000000Z,24.1875,24.171875,53.0,24.1875
2015-08-14T11:59:00.000000Z,24.1875,24.1875,68.0,24.1875
2015-08-14T12:00:00.000000Z,24.203125,24.1875,97.0,24.1875
2015-08-14T12:01:00.000000Z,24.203125,24.1875,45.0,24.1875
2015-08-14T12:02:00.000000Z,24.203125,24.1875,50.0,24.1875
2015-08-14T12:03:00.000000Z,24.203125,24.1875,18.0,24.1875
2015-08-14T12:04:00.000000Z,24.1875,24.1875,81.0,24.1875
2015-08-14T12:05:00.000000Z,24.203125,24.1875,27.0,24.1875
2015-08-14T12:06:00.000000Z,24.1875,24.1875,141.0,24.1875
2015-08-14T12:07:00.000000Z,24.203125,24.1875,74.0,24.1875
2015-08-14T12:08:00.000000Z,24.203125,24.1875,97.0,24.1875
2015-08-14T12:09:00.000000Z,24.203125,24.1875,67.0,24.1875
2015-08-14T12:10:00.000000Z,24.203125,24.1875,70.0,24.1875
2015-08-14T12:11:00.000000Z,24.203125,24.1875,91.0,24.1875
2015-08-14T12:12:00.000000Z,24.203125,24.1875,88.0,24.1875
2015-08-14T12:13:00.000000Z,24.203125,24.1875,53.0,24.1875
2015-08-14T12:14:00.000000Z,24.203125,24.1875,144.0,24.1875
2015-08-14T12:15:00.000000Z,24.1875,24.171875,137.0,24.1875
2015-08-14T12:16:00.000000Z,24.1875,24.171875,65.0,24.1875
2015-08-14T12:17:00.000000Z,24.1875,24.171875,53.0,24.1875
2015-08-14T12:18:00.000000Z,24.1875,24.171875,59.0,24.1875
2015-08-14T12:19:00.000000Z,24.1875,24.171875,61.0,24.1875
2015-08-14T12:20:00.000000Z,24.1875,24.171875,70.0,24.1875
2015-08-14T12:21:00.000000Z,24.1875,24.1875,34.0,24.1875
2015-08-14T12:22:00.000000Z,24.1875,24.1875,50.0,24.1875
2015-08-14T12:23:00.000000Z,24.1875,24.1875,27.0,24.1875
2015-08-14T12:24:00.000000Z,24.203125,24.1875,108.0,24.1875
2015-08-14T12:25:00.000000Z,24.203125,24.203125,155.0,24.203125
2015-08-14T12:26:00.000000Z,24.203125,24.1875,79.0,24.1875
2015-08-14T12:27:00.000000Z,24.203125,24.1875,48.0,24.1875
2015-08-14T12:28:00.000000Z,24.203125,24.1875,51.0,24.1875
2015-08-14T12:29:00.000000Z,24.21875,24.1875,102.0,24.203125
2015-08-14T12:30:00.000000Z,24.234375,24.21875,448.0,24.21875
2015-08-14T12:31:00.000000Z,24.234375,24.21875,270.0,24.21875
2015-08-14T12:32:00.000000Z,24.234375,24.21875,276.0,24.21875
2015-08-14T12:33:00.000000Z,24.234375,24.21875,194.0,24.21875
2015-08-14T12:34:00.000000Z,24.25,24.234375,207.0,24.25
2015-08-14T12:35:00.000000Z,24.234375,24.234375,228.0,24.234375
2015-08-14T12:36:00.000000Z,24.234375,24.21875,180.0,24.21875
2015-08-14T12:37:00.000000Z,24.234375,24.21875,144.0,24.21875
2015-08-14T12:38:00.000000Z,24.25,24.234375,126.0,24.25
2015-08-14T12:39:00.000000Z,24.234375,24.21875,204.0,24.21875
2015-08-14T12:40:00.000000Z,24.234375,24.21875,188.0,24.21875
2015-08-14T12:41:00.000000Z,24.234375,24.21875,106.0,24.21875
2015-08-14T12:42:00.000000Z,24.234375,24.21875,168.0,24.21875
2015-08-14T12:43:00.000000Z,24.234375,24.21875,184.0,24.21875
2015-08-14T12:44:00.000000Z,24.21875,24.21875,191.0,24.21875
2015-08-14T12:45:00.000000Z,24.21875,24.203125,131.0,24.21875
2015-08-14T12:46:00.000000Z,24.234375,24.21875,81.0,24.21875
2015-08-14T12:47:00.000000Z,24.21875,24.21875,75.0,24.21875
2015-08-14T12:48:00.000000Z,24.234375,24.21875,93.0,24.21875
2015-08-14T12:49:00.000000Z,24.234375,24.21875,67.0,24.21875
2015-08-14T12:50:00.000000Z,24.234375,24.21875,50.0,24.21875
2015-08-14T12:51:00.000000Z,24.25,24.234375,128.0,24.25
2015-08-14T12:52:00.000000Z,24.25,24.234375,147.0,24.25
2015-08-14T12:53:00.000000Z,24.234375,24.234375,92.0,24.234375
2015-08-14T12:54:00.000000Z,24.234375,24.234375,67.0,24.234375
2015-08-14T12:55:00.000000Z,24.234375,24.21875,113.0,24.21875
2015-08-14T12:56:00.000000Z,24.234375,24.21875,113.0,24.21875
2015-08-14T12:57:00.000000Z,24.234375,24.21875,92.0,24.21875
2015-08-14T12:58:00.000000Z,24.234375,24.21875,88.0,24.21875
2015-08-14T12:59:00.000000Z,24.234375,24.21875,108.0,24.21875
2015-08-14T13:00:00.000000Z,24.234375,24.21875,104.0,24.21875
2015-08-14T13:01:00.000000Z,24.25,24.234375,61.0,24.25
2015-08-14T13:02:00.000000Z,24.234375,24.21875,76.0,24.21875
2015-08-14T13:03:00.000000Z,24.234375,24.21875,96.0,24.21875
2015-08-14T13:04:00.000000Z,24.234375,24.21875,76.0,24.21875
2015-08-14T13:05:00.000000Z,24.234375,24.21875,108.0,24.21875
2015-08-14T13:06:00.000000Z,24.234375,24.234375,80.0,24.234375
2015-08-14T13:07:00.000000Z,24.234375,24.234375,90.0,24.234375
2015-08-14T13:08:00.000000Z,24.234375,24.21875,79.0,24.21875
2015-08-14T13:09:00.000000Z,24.234375,24.234375,63.0,24.234375
2015-08-14T13:10:00.000000Z,24.234375,24.234375,42.0,24.234375
2015-08-14T13:11:00.000000Z,24.234375,24.234375,38.0,24.234375
2015-08-14T13:12:00.000000Z,24.25,24.234375,91.0,24.25
2015-08-14T13:13:00.000000Z,24.25,24.25,163.0,24.25
2015-08-14T13:14:00.000000Z,24.25,24.21875,144.0,24.234375
2015-08-14T13:15:00.000000Z,24.265625,24.25,258.0,24.25
2015-08-14T13:16:00.000000Z,24.265625,24.25,118.0,24.25
2015-08-14T13:17:00.000000Z,24.25,24.234375,82.0,24.25
2015-08-14T13:18:00.000000Z,24.25,24.25,152.0,24.25
