time,closeAsk,closeBid,volume,BNP.EURTRY - EUR/TRY_x
2015-08-14T09:41:00.000000Z,3.162109375,3.16015625,301.0,3.16015625
2015-08-14T09:42:00.000000Z,3.162109375,3.16015625,260.0,3.16015625
2015-08-14T09:43:00.000000Z,3.16015625,3.16015625,184.0,3.16015625
2015-08-14T09:44:00.000000Z,3.1640625,3.162109375,242.0,3.1640625
2015-08-14T09:45:00.000000Z,3.1640625,3.162109375,132.0,3.1640625
2015-08-14T09:46:00.000000Z,3.166015625,3.1640625,158.0,3.1640625
2015-08-14T09:47:00.000000Z,3.1640625,3.1640625,150.0,3.1640625
2015-08-14T09:48:00.000000Z,3.1640625,3.162109375,205.0,3.1640625
2015-08-14T09:49:00.000000Z,3.1640625,3.162109375,165.0,3.1640625
2015-08-14T09:50:00.000000Z,3.1640625,3.162109375,156.0,3.1640625
2015-08-14T09:51:00.000000Z,3.1640625,3.162109375,86.0,3.1640625
2015-08-14T09:52:00.000000Z,3.1640625,3.1640625,175.0,3.1640625
2015-08-14T09:53:00.000000Z,3.166015625,3.1640625,153.0,3.1640625
2015-08-14T09:54:00.000000Z,3.1640625,3.1640625,127.0,3.1640625
2015-08-14T09:55:00.000000Z,3.166015625,3.1640625,127.0,3.1640625
2015-08-14T09:56:00.000000Z,3.166015625,3.1640625,117.0,3.1640625
2015-08-14T09:57:00.000000Z,3.166015625,3.1640625,182.0,3.1640625
2015-08-14T09:58:00.000000Z,3.166015625,3.166015625,221.0,3.166015625
2015-08-14T09:59:00.000000Z,3.166015625,3.1640625,112.0,3.1640625
2015-08-14T10:00:00.000000Z,3.166015625,3.1640625,122.0,3.1640625
2015-08-14T10:01:00.000000Z,3.166015625,3.1640625,141.0,3.1640625
2015-08-14T10:02:00.000000Z,3.166015625,3.1640625,119.0,3.1640625
2015-08-14T10:03:00.000000Z,3.166015625,3.1640625,83.0,3.1640625
2015-08-14T10:04:00.000000Z,3.166015625,3.166015625,118.0,3.166015625
2015-08-14T10:05:00.000000Z,3.166015625,3.166015625,78.0,3.166015625
2015-08-14T10:06:00.000000Z,3.16796875,3.166015625,173.0,3.16796875
2015-08-14T10:07:00.000000Z,3.16796875,3.166015625,138.0,3.16796875
2015-08-14T10:08:00.000000Z,3.16796875,3.166015625,82.0,3.16796875
2015-08-14T10:09:00.000000Z,3.171875,3.169921875,178.0,3.171875
2015-08-14T10:10:00.000000Z,3.169921875,3.16796875,278.0,3.16796875
2015-08-14T10:11:00.000000Z,3.169921875,3.16796875,79.0,3.16796875
2015-08-14T10:12:00.000000Z,3.169921875,3.16796875,88.0,3.16796875
2015-08-14T10:13:00.000000Z,3.169921875,3.16796875,241.0,3.16796875
2015-08-14T10:14:00.000000Z,3.171875,3.169921875,154.0,3.171875
2015-08-14T10:15:00.000000Z,3.171875,3.169921875,126.0,3.171875
2015-08-14T10:16:00.000000Z,3.171875,3.169921875,146.0,3.171875
2015-08-14T10:17:00.000000Z,3.169921875,3.169921875,119.0,3.169921875
2015-08-14T10:18:00.000000Z,3.171875,3.169921875,150.0,3.171875
2015-08-14T10:19:00.000000Z,3.171875,3.169921875,72.0,3.171875
2015-08-14T10:20:00.000000Z,3.171875,3.16796875,424.0,3.169921875
2015-08-14T10:21:00.000000Z,3.169921875,3.16796875,481.0,3.16796875
2015-08-14T10:22:00.000000Z,3.169921875,3.16796875,316.0,3.16796875
2015-08-14T10:23:00.000000Z,3.169921875,3.16796875,205.0,3.16796875
2015-08-14T10:24:00.000000Z,3.169921875,3.16796875,198.0,3.16796875
2015-08-14T10:25:00.000000Z,3.169921875,3.16796875,124.0,3.16796875
2015-08-14T10:26:00.000000Z,3.169921875,3.16796875,172.0,3.16796875
2015-08-14T10:27:00.000000Z,3.169921875,3.16796875,164.0,3.16796875
2015-08-14T10:28:00.000000Z,3.169921875,3.16796875,156.0,3.16796875
2015-08-14T10:29:00.000000Z,3.16796875,3.166015625,195.0,3.16796875
2015-08-14T10:30:00.000000Z,3.169921875,3.16796875,331.0,3.16796875
2015-08-14T10:31:00.000000Z,3.169921875,3.169921875,191.0,3.169921875
2015-08-14T10:32:00.000000Z,3.169921875,3.16796875,274.0,3.16796875
2015-08-14T10:33:00.000000Z,3.169921875,3.16796875,225.0,3.16796875
2015-08-14T10:34:00.000000Z,3.169921875,3.16796875,183.0,3.16796875
2015-08-14T10:35:00.000000Z,3.169921875,3.16796875,124.0,3.16796875
2015-08-14T10:36:00.000000Z,3.16796875,3.16796875,69.0,3.16796875
2015-08-14T10:37:00.000000Z,3.169921875,3.16796875,187.0,3.16796875
2015-08-14T10:38:00.000000Z,3.169921875,3.16796875,422.0,3.16796875
2015-08-14T10:39:00.000000Z,3.169921875,3.169921875,164.0,3.169921875
