time,BNP.GBPZAR - GBP/ZAR_x,closeAsk,closeBid,volume
2004-05-28T21:00:00.000000Z,11.93359375,11.984375,11.8828125,2.0
2004-05-29T21:00:00.000000Z,11.93359375,11.984375,11.8828125,2.0
2004-05-30T21:00:00.000000Z,11.9453125,11.96875,11.921875,2.0
2004-05-31T21:00:00.000000Z,11.78515625,11.8125,11.7578125,2.0
2004-06-01T21:00:00.000000Z,12.01171875,12.0390625,11.984375,2.0
2004-06-02T21:00:00.000000Z,11.8828125,11.90625,11.859375,2.0
2004-06-03T21:00:00.000000Z,11.8515625,11.8984375,11.8046875,2.0
2004-06-05T21:00:00.000000Z,11.87890625,11.9296875,11.828125,2.0
2004-06-06T21:00:00.000000Z,11.921875,11.9453125,11.8984375,2.0
2004-06-07T21:00:00.000000Z,12.08203125,12.109375,12.0546875,2.0
2004-06-08T21:00:00.000000Z,12.18359375,12.2109375,12.15625,2.0
2004-06-09T21:00:00.000000Z,11.87890625,11.90625,11.8515625,2.0
2004-06-10T21:00:00.000000Z,11.83203125,11.8828125,11.78125,2.0
2004-06-12T21:00:00.000000Z,11.82421875,11.875,11.7734375,2.0
2004-06-13T21:00:00.000000Z,11.99609375,12.0234375,11.96875,2.0
2004-06-14T21:00:00.000000Z,11.8671875,11.890625,11.84375,2.0
2004-06-15T21:00:00.000000Z,11.90625,11.9296875,11.8828125,2.0
2004-06-16T21:00:00.000000Z,11.96484375,11.9921875,11.9375,2.0
2004-06-17T21:00:00.000000Z,11.74609375,11.796875,11.6953125,2.0
2004-06-19T21:00:00.000000Z,11.74609375,11.796875,11.6953125,2.0
2004-06-20T21:00:00.000000Z,11.5703125,11.59375,11.546875,2.0
2004-06-21T21:00:00.000000Z,11.46875,11.4921875,11.4453125,2.0
2004-06-22T21:00:00.000000Z,11.359375,11.3828125,11.3359375,2.0
2004-06-23T21:00:00.000000Z,11.51171875,11.5390625,11.484375,2.0
2004-06-24T21:00:00.000000Z,11.51953125,11.5703125,11.46875,2.0
2004-06-25T21:00:00.000000Z,11.53515625,11.5859375,11.484375,2.0
2004-06-27T21:00:00.000000Z,11.29296875,11.3203125,11.265625,2.0
2004-06-28T21:00:00.000000Z,11.2890625,11.3125,11.265625,2.0
2004-06-29T21:00:00.000000Z,11.171875,11.1953125,11.1484375,2.0
2004-06-30T21:00:00.000000Z,11.2421875,11.265625,11.21875,2.0
2004-07-01T21:00:00.000000Z,11.18359375,11.234375,11.1328125,2.0
2004-07-03T21:00:00.000000Z,11.19140625,11.2421875,11.140625,2.0
2004-07-04T21:00:00.000000Z,11.3046875,11.328125,11.28125,2.0
2004-07-05T21:00:00.000000Z,11.44140625,11.46875,11.4140625,2.0
2004-07-06T21:00:00.000000Z,11.359375,11.3828125,11.3359375,2.0
