time,closeAsk,closeBid,volume,BNP.USDSGD - USD/SGD_x
2015-08-14T07:27:00.000000Z,1.4033203125,1.40234375,22.0,1.40234375
2015-08-14T07:28:00.000000Z,1.4033203125,1.40234375,45.0,1.40234375
2015-08-14T07:29:00.000000Z,1.4033203125,1.40234375,50.0,1.40234375
2015-08-14T07:30:00.000000Z,1.4033203125,1.40234375,40.0,1.40234375
2015-08-14T07:31:00.000000Z,1.4033203125,1.40234375,45.0,1.40234375
2015-08-14T07:32:00.000000Z,1.4033203125,1.40234375,93.0,1.40234375
2015-08-14T07:33:00.000000Z,1.4033203125,1.4033203125,112.0,1.4033203125
2015-08-14T07:34:00.000000Z,1.4033203125,1.40234375,37.0,1.40234375
2015-08-14T07:35:00.000000Z,1.4033203125,1.40234375,35.0,1.40234375
2015-08-14T07:36:00.000000Z,1.4033203125,1.40234375,70.0,1.40234375
2015-08-14T07:37:00.000000Z,1.4033203125,1.40234375,44.0,1.40234375
2015-08-14T07:38:00.000000Z,1.4033203125,1.4033203125,34.0,1.4033203125
2015-08-14T07:39:00.000000Z,1.4033203125,1.4033203125,30.0,1.4033203125
2015-08-14T07:40:00.000000Z,1.4033203125,1.4033203125,34.0,1.4033203125
2015-08-14T07:41:00.000000Z,1.4033203125,1.4033203125,42.0,1.4033203125
2015-08-14T07:42:00.000000Z,1.4033203125,1.4033203125,17.0,1.4033203125
2015-08-14T07:43:00.000000Z,1.4033203125,1.40234375,23.0,1.40234375
2015-08-14T07:44:00.000000Z,1.4033203125,1.40234375,45.0,1.40234375
2015-08-14T07:45:00.000000Z,1.4033203125,1.40234375,18.0,1.40234375
2015-08-14T07:46:00.000000Z,1.4033203125,1.40234375,66.0,1.40234375
2015-08-14T07:47:00.000000Z,1.4033203125,1.40234375,71.0,1.40234375
2015-08-14T07:48:00.000000Z,1.4033203125,1.4033203125,93.0,1.4033203125
2015-08-14T07:49:00.000000Z,1.4033203125,1.4033203125,86.0,1.4033203125
2015-08-14T07:50:00.000000Z,1.404296875,1.4033203125,56.0,1.404296875
2015-08-14T07:51:00.000000Z,1.404296875,1.4033203125,136.0,1.404296875
2015-08-14T07:52:00.000000Z,1.404296875,1.4033203125,41.0,1.404296875
2015-08-14T07:53:00.000000Z,1.404296875,1.4033203125,47.0,1.404296875
2015-08-14T07:54:00.000000Z,1.404296875,1.4033203125,57.0,1.404296875
2015-08-14T07:55:00.000000Z,1.404296875,1.4033203125,61.0,1.404296875
2015-08-14T07:56:00.000000Z,1.404296875,1.4033203125,52.0,1.404296875
2015-08-14T07:57:00.000000Z,1.404296875,1.4033203125,43.0,1.404296875
2015-08-14T07:58:00.000000Z,1.404296875,1.4033203125,29.0,1.404296875
2015-08-14T07:59:00.000000Z,1.404296875,1.4033203125,57.0,1.404296875
2015-08-14T08:00:00.000000Z,1.404296875,1.4033203125,19.0,1.404296875
2015-08-14T08:01:00.000000Z,1.4033203125,1.4033203125,47.0,1.4033203125
2015-08-14T08:02:00.000000Z,1.404296875,1.4033203125,34.0,1.404296875
2015-08-14T08:03:00.000000Z,1.404296875,1.4033203125,23.0,1.404296875
2015-08-14T08:04:00.000000Z,1.404296875,1.4033203125,67.0,1.404296875
2015-08-14T08:05:00.000000Z,1.404296875,1.404296875,62.0,1.404296875
2015-08-14T08:06:00.000000Z,1.404296875,1.404296875,97.0,1.404296875
2015-08-14T08:07:00.000000Z,1.404296875,1.4033203125,101.0,1.404296875
2015-08-14T08:08:00.000000Z,1.404296875,1.4033203125,66.0,1.404296875
2015-08-14T08:09:00.000000Z,1.404296875,1.4033203125,36.0,1.404296875
2015-08-14T08:10:00.000000Z,1.404296875,1.4033203125,30.0,1.404296875
2015-08-14T08:11:00.000000Z,1.404296875,1.4033203125,29.0,1.404296875
2015-08-14T08:12:00.000000Z,1.404296875,1.4033203125,66.0,1.404296875
2015-08-14T08:13:00.000000Z,1.404296875,1.4033203125,18.0,1.404296875
2015-08-14T08:14:00.000000Z,1.404296875,1.4033203125,80.0,1.404296875
2015-08-14T08:15:00.000000Z,1.404296875,1.4033203125,33.0,1.404296875
2015-08-14T08:16:00.000000Z,1.4033203125,1.4033203125,63.0,1.4033203125
2015-08-14T08:17:00.000000Z,1.4033203125,1.4033203125,27.0,1.4033203125
2015-08-14T08:18:00.000000Z,1.4033203125,1.4033203125,21.0,1.4033203125
2015-08-14T08:19:00.000000Z,1.4033203125,1.4033203125,36.0,1.4033203125
2015-08-14T08:20:00.000000Z,1.4033203125,1.4033203125,58.0,1.4033203125
2015-08-14T08:21:00.000000Z,1.4033203125,1.4033203125,40.0,1.4033203125
2015-08-14T08:22:00.000000Z,1.4033203125,1.4033203125,44.0,1.4033203125
2015-08-14T08:23:00.000000Z,1.4033203125,1.4033203125,31.0,1.4033203125
2015-08-14T08:24:00.000000Z,1.4033203125,1.4033203125,58.0,1.4033203125
2015-08-14T08:25:00.000000Z,1.4033203125,1.4033203125,76.0,1.4033203125
2015-08-14T08:26:00.000000Z,1.4033203125,1.4033203125,78.0,1.4033203125
