time,BNP.CADHKD - CAD/HKD_x,closeAsk,closeBid,volume
2015-05-29T16:15:00.000000Z,6.21875,6.21875,6.21484375,357.0
2015-05-29T16:30:00.000000Z,6.21875,6.21875,6.21875,391.0
2015-05-29T16:45:00.000000Z,6.21875,6.22265625,6.21875,257.0
2015-05-29T17:00:00.000000Z,6.21875,6.22265625,6.21875,449.0
2015-05-29T17:15:00.000000Z,6.2265625,6.2265625,6.22265625,255.0
2015-05-29T17:30:00.000000Z,6.2265625,6.2265625,6.2265625,255.0
2015-05-29T17:45:00.000000Z,6.2265625,6.2265625,6.2265625,370.0
2015-05-29T18:00:00.000000Z,6.234375,6.234375,6.234375,506.0
2015-05-29T18:15:00.000000Z,6.234375,6.234375,6.234375,514.0
2015-05-29T18:30:00.000000Z,6.234375,6.234375,6.234375,289.0
2015-05-29T18:45:00.000000Z,6.23046875,6.23046875,6.23046875,522.0
2015-05-29T19:00:00.000000Z,6.23046875,6.23046875,6.23046875,346.0
2015-05-29T19:15:00.000000Z,6.2265625,6.2265625,6.2265625,246.0
2015-05-29T19:30:00.000000Z,6.2265625,6.23046875,6.2265625,382.0
2015-05-29T19:45:00.000000Z,6.234375,6.234375,6.234375,515.0
2015-05-29T20:00:00.000000Z,6.234375,6.234375,6.23046875,403.0
2015-05-29T20:15:00.000000Z,6.23046875,6.23046875,6.23046875,206.0
2015-05-29T20:30:00.000000Z,6.23046875,6.23046875,6.23046875,414.0
2015-05-29T20:45:00.000000Z,6.2265625,6.23046875,6.22265625,605.0
2015-05-31T21:00:00.000000Z,6.234375,6.234375,6.23046875,16.0
2015-05-31T21:15:00.000000Z,6.23046875,6.234375,6.2265625,94.0
2015-05-31T21:30:00.000000Z,6.2265625,6.23046875,6.2265625,36.0
2015-05-31T21:45:00.000000Z,6.23046875,6.234375,6.2265625,7.0
2015-05-31T22:00:00.000000Z,6.2265625,6.2265625,6.22265625,107.0
2015-05-31T22:15:00.000000Z,6.22265625,6.22265625,6.22265625,59.0
2015-05-31T22:30:00.000000Z,6.22265625,6.22265625,6.22265625,74.0
2015-05-31T22:45:00.000000Z,6.22265625,6.22265625,6.22265625,112.0
2015-05-31T23:00:00.000000Z,6.22265625,6.22265625,6.22265625,125.0
2015-05-31T23:15:00.000000Z,6.22265625,6.22265625,6.22265625,116.0
2015-05-31T23:30:00.000000Z,6.22265625,6.22265625,6.22265625,196.0
2015-05-31T23:45:00.000000Z,6.22265625,6.22265625,6.22265625,279.0
2015-06-01T00:00:00.000000Z,6.21875,6.22265625,6.21875,314.0
2015-06-01T00:15:00.000000Z,6.21875,6.21875,6.21875,267.0
2015-06-01T00:30:00.000000Z,6.21875,6.21875,6.21875,242.0
2015-06-01T00:45:00.000000Z,6.21875,6.21875,6.21875,580.0
2015-06-01T01:00:00.000000Z,6.21875,6.21875,6.21875,236.0
2015-06-01T01:15:00.000000Z,6.21875,6.21875,6.21875,228.0
2015-06-01T01:30:00.000000Z,6.21875,6.21875,6.21875,297.0
2015-06-01T01:45:00.000000Z,6.21875,6.22265625,6.21875,296.0
2015-06-01T02:00:00.000000Z,6.21875,6.22265625,6.21875,267.0
2015-06-01T02:15:00.000000Z,6.22265625,6.22265625,6.22265625,244.0
2015-06-01T02:30:00.000000Z,6.22265625,6.22265625,6.22265625,118.0
2015-06-01T02:45:00.000000Z,6.22265625,6.22265625,6.22265625,212.0
2015-06-01T03:00:00.000000Z,6.22265625,6.22265625,6.22265625,204.0
2015-06-01T03:15:00.000000Z,6.22265625,6.22265625,6.22265625,120.0
2015-06-01T03:30:00.000000Z,6.22265625,6.22265625,6.22265625,195.0
2015-06-01T03:45:00.000000Z,6.22265625,6.22265625,6.22265625,147.0
2015-06-01T04:00:00.000000Z,6.2265625,6.2265625,6.22265625,124.0
2015-06-01T04:15:00.000000Z,6.2265625,6.2265625,6.22265625,303.0
