time,BNP.GBPNZD - GBP/NZD_x,closeAsk,closeBid,volume
2012-06-20T21:00:00.000000Z,1.96533203125,1.9658203125,1.96484375,1872.0
2012-06-21T01:00:00.000000Z,1.96728515625,1.9677734375,1.966796875,2092.0
2012-06-21T05:00:00.000000Z,1.96728515625,1.9677734375,1.966796875,3620.0
2012-06-21T09:00:00.000000Z,1.96435546875,1.96484375,1.9638671875,3922.0
2012-06-21T13:00:00.000000Z,1.97607421875,1.9765625,1.9755859375,5724.0
2012-06-21T17:00:00.000000Z,1.982421875,1.9833984375,1.9814453125,3276.0
2012-06-21T21:00:00.000000Z,1.98193359375,1.982421875,1.9814453125,1031.0
2012-06-22T01:00:00.000000Z,1.98095703125,1.9814453125,1.98046875,1036.0
2012-06-22T05:00:00.000000Z,1.9853515625,1.9853515625,1.9853515625,4136.0
2012-06-22T09:00:00.000000Z,1.97412109375,1.974609375,1.9736328125,3452.0
2012-06-22T13:00:00.000000Z,1.97119140625,1.9716796875,1.970703125,4392.0
2012-06-22T17:00:00.000000Z,1.9716796875,1.9736328125,1.9697265625,1117.0
2012-06-22T21:00:00.000000Z,1.9716796875,1.9736328125,1.9697265625,21.0
2012-06-24T17:00:00.000000Z,1.97119140625,1.97265625,1.9697265625,433.0
2012-06-24T21:00:00.000000Z,1.98095703125,1.9814453125,1.98046875,1020.0
2012-06-25T01:00:00.000000Z,1.97802734375,1.978515625,1.9775390625,614.0
2012-06-25T05:00:00.000000Z,1.97509765625,1.9755859375,1.974609375,2992.0
2012-06-25T09:00:00.000000Z,1.97802734375,1.978515625,1.9775390625,2588.0
2012-06-25T13:00:00.000000Z,1.97900390625,1.9794921875,1.978515625,3264.0
2012-06-25T17:00:00.000000Z,1.978515625,1.9794921875,1.9775390625,1282.0
2012-06-25T21:00:00.000000Z,1.97412109375,1.974609375,1.9736328125,789.0
2012-06-26T01:00:00.000000Z,1.97509765625,1.9755859375,1.974609375,900.0
2012-06-26T05:00:00.000000Z,1.9716796875,1.9716796875,1.9716796875,2798.0
2012-06-26T09:00:00.000000Z,1.97314453125,1.9736328125,1.97265625,3114.0
2012-06-26T13:00:00.000000Z,1.9755859375,1.9755859375,1.9755859375,4152.0
2012-06-26T17:00:00.000000Z,1.9775390625,1.978515625,1.9765625,1787.0
2012-06-26T21:00:00.000000Z,1.97900390625,1.9794921875,1.978515625,1000.0
2012-06-27T01:00:00.000000Z,1.97900390625,1.9794921875,1.978515625,721.0
2012-06-27T05:00:00.000000Z,1.97900390625,1.9794921875,1.978515625,2156.0
2012-06-27T09:00:00.000000Z,1.97705078125,1.9775390625,1.9765625,2318.0
2012-06-27T13:00:00.000000Z,1.96728515625,1.9677734375,1.966796875,4056.0
2012-06-27T17:00:00.000000Z,1.96630859375,1.966796875,1.9658203125,1207.0
2012-06-27T21:00:00.000000Z,1.9599609375,1.962890625,1.95703125,1280.0
2012-06-28T01:00:00.000000Z,1.9599609375,1.9599609375,1.9599609375,1410.0
2012-06-28T05:00:00.000000Z,1.96240234375,1.962890625,1.9619140625,3208.0
