,BNP.AUDUSD - AUD/USD_x,BNP.EURGBP - EUR/GBP_x,BNP.EURUSD - EUR/USD_x,BNP.GBPAUD - GBP/AUD_x,BNP.GBPCAD - GBP/CAD_x,BNP.GBPCHF - GBP/CHF_x,BNP.GBPHKD - GBP/HKD_x,BNP.GBPJPY - GBP/JPY_x,BNP.GBPNZD - GBP/NZD_x,BNP.GBPPLN - GBP/PLN_x,BNP.GBPSGD - GBP/SGD_x,BNP.GBPUSD - GBP/USD_x,BNP.GBPZAR - GBP/ZAR_x,BNP.NZDUSD - NZD/USD_x,BNP.USDCAD - USD/CAD_x,BNP.USDCHF - USD/CHF_x,BNP.USDCNH - USD/CNH_x,BNP.USDCZK - USD/CZK_x,BNP.USDDKK - USD/DKK_x,BNP.USDHKD - USD/HKD_x,BNP.USDHUF - USD/HUF_x,BNP.USDJPY - USD/JPY_x,BNP.USDMXN - USD/MXN_x,BNP.USDNOK - USD/NOK_x,BNP.USDPLN - USD/PLN_x,BNP.USDSAR - USD/SAR_x,BNP.USDSEK - USD/SEK_x,BNP.USDSGD - USD/SGD_x,BNP.USDTHB - USD/THB_x,BNP.USDTRY - USD/TRY_x,BNP.USDZAR - USD/ZAR_x
80661,-0.04544277255375635,-0.06247636112893591,-0.31799173248102114,0.5654774647716263,-0.006966509864216202,-0.015970454722933392,0.4310281071812727,0.0713092598031837,0.6061929842594695,0.13371471016980446,0.0716130451348434,-0.07928867404608526,0.0489475924141273,0.13933940576701614,0.050181035000921866,-0.21704752793999185,0.01633275619868089,0.06905910666979233,0.16198296932661926,0.02612436383190996,0.03900399139474517,-0.4219811573720043,0.006330866697164482,-0.059761743129020925,-0.07406640535821779,0.02335153305765681,0.014647327195590287,-0.18400613058082696,0.11207278201968662,-0.004826385927947622,-0.07419196441787024
100113,-0.13984219331806305,0.04636974591588948,-0.14537699030636006,0.16874938002860967,0.2726890320372529,-0.09200988066959408,0.3006748556646304,0.1339689761916702,0.5371445240162622,0.2723257978992301,0.07965622301292832,-0.04283459546903934,0.026672164807133608,0.3318756107569239,0.02874407047162272,-0.25166403019929845,0.024537400007874674,0.10241356041067304,-0.005311102681992247,0.04937766765322113,0.03025179560409875,-0.3214936370844203,0.08331005205964366,-0.1595767315606979,-0.12467208053539244,0.014078650847154938,0.10223866197315473,-0.2633720215007474,0.18987388798323274,-0.07877747233941372,-0.05603052412579285
161607,-0.06396922665606868,-0.13819899708938935,-0.194086863793709,0.35501372821341537,-0.06733763442112835,0.03510442721542964,0.41067214746623554,-0.013347083141320005,0.6791168431411365,0.3293689468876556,0.16144136497710113,-0.030801113205504826,0.00564689093406504,0.33240545474270144,-0.00505985187065236,-0.2466307500352461,0.03254243735085718,0.06979717644209239,0.10077372828915789,0.03790161407286485,0.029099387489848284,-0.44146366954210314,0.03915936154193698,-0.09099184345259002,-0.15213437299400764,0.020464650316021696,0.04606618891239013,-0.28417557436933544,0.1571594989405863,-0.05641598384651756,-0.017611886705504547
