time,BNP.USDHUF - USD/HUF_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,205.33,206.08,204.58,
2004-06-01T21:00:00.000000Z,205.97,206.72,205.22,
2004-06-02T21:00:00.000000Z,205.83,206.33,205.33,
2004-06-03T21:00:00.000000Z,205.92,207.42,204.42,
2004-06-05T21:00:00.000000Z,205.86,207.36,204.36,
2004-06-06T21:00:00.000000Z,203.63,204.13,203.13,
2004-06-07T21:00:00.000000Z,205.0,205.5,204.5,
2004-06-08T21:00:00.000000Z,209.33,209.83,208.83,
2004-06-09T21:00:00.000000Z,208.71,209.21,208.21,
2004-06-10T21:00:00.000000Z,211.03,212.53,209.53,
2004-06-12T21:00:00.000000Z,211.01,212.51,209.51,
2004-06-13T21:00:00.000000Z,209.71,210.21,209.21,
2004-06-14T21:00:00.000000Z,207.81,208.31,207.31,
2004-06-15T21:00:00.000000Z,210.97,211.47,210.47,
2004-06-16T21:00:00.000000Z,211.23,211.73,210.73,
2004-06-17T21:00:00.000000Z,209.7,211.2,208.2,
2004-06-19T21:00:00.000000Z,209.54,211.04,208.04,
2004-06-20T21:00:00.000000Z,210.64,211.14,210.14,
2004-06-21T21:00:00.000000Z,210.8,211.3,210.3,
2004-06-22T21:00:00.000000Z,209.83,210.33,209.33,
2004-06-23T21:00:00.000000Z,207.97,208.47,207.47,
2004-06-24T21:00:00.000000Z,207.97,209.47,206.47,
2004-06-25T21:00:00.000000Z,207.86,209.36,206.36,
2004-06-27T21:00:00.000000Z,207.91,208.16,207.66,
2004-06-28T21:00:00.000000Z,209.48,209.98,208.98,
2004-06-29T21:00:00.000000Z,205.67,205.92,205.42,
2004-06-30T21:00:00.000000Z,206.15,206.4,205.9,
2004-07-01T21:00:00.000000Z,203.45,204.95,201.95,
2004-07-03T21:00:00.000000Z,203.51,205.01,202.01,
2004-07-04T21:00:00.000000Z,203.63,204.13,203.13,
2004-07-05T21:00:00.000000Z,203.79,204.29,203.29,
2004-07-06T21:00:00.000000Z,202.51,203.01,202.01,
2004-07-07T21:00:00.000000Z,202.56,203.06,202.06,
2004-07-08T21:00:00.000000Z,203.02,204.52,201.52,
2004-07-10T21:00:00.000000Z,202.96,204.46,201.46,
2004-07-11T21:00:00.000000Z,202.44,202.94,201.94,
2004-07-12T21:00:00.000000Z,202.99,203.49,202.49,
2004-07-13T21:00:00.000000Z,201.47,201.72,201.22,
2004-07-14T21:00:00.000000Z,203.08,203.58,202.58,
2004-07-15T21:00:00.000000Z,200.83,202.33,199.33,
2004-07-17T21:00:00.000000Z,201.01,202.51,199.51,
2004-07-18T21:00:00.000000Z,200.33,200.83,199.83,
2004-07-19T21:00:00.000000Z,202.57,203.07,202.07,
2004-07-20T21:00:00.000000Z,203.76,204.26,203.26,
2004-07-21T21:00:00.000000Z,203.21,203.46,202.96,
2004-07-22T21:00:00.000000Z,206.03,207.53,204.53,
2004-07-24T21:00:00.000000Z,206.02,207.52,204.52,
2004-07-25T21:00:00.000000Z,204.8,205.55,204.05,
2004-07-26T21:00:00.000000Z,205.575,206.2,204.95,
2004-07-27T21:00:00.000000Z,204.75,205.0,204.5,
2004-07-28T21:00:00.000000Z,205.56,205.81,205.31,
2004-07-29T21:00:00.000000Z,206.49,207.99,204.99,
2004-07-31T21:00:00.000000Z,206.96,208.46,205.46,
2004-08-01T21:00:00.000000Z,207.43,207.93,206.93,
2004-08-02T21:00:00.000000Z,207.875,208.5,207.25,
2004-08-03T21:00:00.000000Z,207.485,208.11,206.86,
2004-08-04T21:00:00.000000Z,206.355,206.98,205.73,
2004-08-05T21:00:00.000000Z,201.48,202.98,199.98,
2004-08-07T21:00:00.000000Z,201.43,202.93,199.93,
2004-08-08T21:00:00.000000Z,200.705,201.33,200.08,
2004-08-09T21:00:00.000000Z,202.035,202.66,201.41,
2004-08-10T21:00:00.000000Z,202.465,203.09,201.84,
2004-08-11T21:00:00.000000Z,202.625,203.25,202.0,
2004-08-12T21:00:00.000000Z,200.36,201.86,198.86,
2004-08-14T21:00:00.000000Z,200.38,201.88,198.88,
2004-08-15T21:00:00.000000Z,200.42,200.92,199.92,
2004-08-16T21:00:00.000000Z,199.86,200.36,199.36,
2004-08-17T21:00:00.000000Z,200.39,200.89,199.89,
2004-08-18T21:00:00.000000Z,203.26,203.76,202.76,
2004-08-19T21:00:00.000000Z,204.25,205.75,202.75,
2004-08-21T21:00:00.000000Z,204.23,205.73,202.73,
2004-08-22T21:00:00.000000Z,205.95,206.7,205.2,
2004-08-23T21:00:00.000000Z,206.575,207.2,205.95,
2004-08-24T21:00:00.000000Z,206.41,206.91,205.91,
2004-08-25T21:00:00.000000Z,206.035,206.66,205.41,
2004-08-26T21:00:00.000000Z,206.83,208.33,205.33,
2004-08-28T21:00:00.000000Z,206.81,208.31,205.31,
