time,closeAsk,closeBid,volume,BNP.USDTRY - USD/TRY_x
2015-08-14T07:56:00.000000Z,2.830078125,2.830078125,243.0,2.830078125
2015-08-14T07:57:00.000000Z,2.830078125,2.830078125,98.0,2.830078125
2015-08-14T07:58:00.000000Z,2.830078125,2.830078125,86.0,2.830078125
2015-08-14T07:59:00.000000Z,2.830078125,2.830078125,374.0,2.830078125
2015-08-14T08:00:00.000000Z,2.83203125,2.830078125,188.0,2.83203125
2015-08-14T08:01:00.000000Z,2.83203125,2.830078125,112.0,2.83203125
2015-08-14T08:02:00.000000Z,2.83203125,2.830078125,104.0,2.83203125
2015-08-14T08:03:00.000000Z,2.83203125,2.830078125,47.0,2.83203125
2015-08-14T08:04:00.000000Z,2.83203125,2.830078125,209.0,2.83203125
2015-08-14T08:05:00.000000Z,2.833984375,2.83203125,410.0,2.83203125
2015-08-14T08:06:00.000000Z,2.83203125,2.83203125,330.0,2.83203125
2015-08-14T08:07:00.000000Z,2.83203125,2.83203125,120.0,2.83203125
2015-08-14T08:08:00.000000Z,2.83203125,2.83203125,189.0,2.83203125
2015-08-14T08:09:00.000000Z,2.83203125,2.83203125,107.0,2.83203125
2015-08-14T08:10:00.000000Z,2.83203125,2.83203125,37.0,2.83203125
2015-08-14T08:11:00.000000Z,2.83203125,2.83203125,279.0,2.83203125
2015-08-14T08:12:00.000000Z,2.83203125,2.83203125,119.0,2.83203125
2015-08-14T08:13:00.000000Z,2.833984375,2.83203125,152.0,2.83203125
2015-08-14T08:14:00.000000Z,2.83203125,2.83203125,91.0,2.83203125
2015-08-14T08:15:00.000000Z,2.83203125,2.83203125,133.0,2.83203125
2015-08-14T08:16:00.000000Z,2.833984375,2.83203125,106.0,2.83203125
2015-08-14T08:17:00.000000Z,2.833984375,2.83203125,158.0,2.83203125
2015-08-14T08:18:00.000000Z,2.833984375,2.83203125,71.0,2.83203125
2015-08-14T08:19:00.000000Z,2.833984375,2.83203125,39.0,2.83203125
2015-08-14T08:20:00.000000Z,2.833984375,2.83203125,50.0,2.83203125
2015-08-14T08:21:00.000000Z,2.833984375,2.833984375,77.0,2.833984375
2015-08-14T08:22:00.000000Z,2.833984375,2.83203125,139.0,2.83203125
2015-08-14T08:23:00.000000Z,2.833984375,2.833984375,77.0,2.833984375
2015-08-14T08:24:00.000000Z,2.833984375,2.833984375,23.0,2.833984375
2015-08-14T08:25:00.000000Z,2.833984375,2.83203125,39.0,2.83203125
2015-08-14T08:26:00.000000Z,2.833984375,2.833984375,61.0,2.833984375
2015-08-14T08:27:00.000000Z,2.833984375,2.833984375,60.0,2.833984375
2015-08-14T08:28:00.000000Z,2.833984375,2.83203125,204.0,2.83203125
2015-08-14T08:29:00.000000Z,2.83203125,2.83203125,132.0,2.83203125
2015-08-14T08:30:00.000000Z,2.83203125,2.83203125,91.0,2.83203125
2015-08-14T08:31:00.000000Z,2.83203125,2.83203125,136.0,2.83203125
2015-08-14T08:32:00.000000Z,2.83203125,2.83203125,41.0,2.83203125
2015-08-14T08:33:00.000000Z,2.83203125,2.83203125,59.0,2.83203125
2015-08-14T08:34:00.000000Z,2.83203125,2.83203125,47.0,2.83203125
2015-08-14T08:35:00.000000Z,2.83203125,2.830078125,140.0,2.83203125
2015-08-14T08:36:00.000000Z,2.83203125,2.83203125,272.0,2.83203125
2015-08-14T08:37:00.000000Z,2.83203125,2.83203125,212.0,2.83203125
2015-08-14T08:38:00.000000Z,2.83203125,2.83203125,143.0,2.83203125
2015-08-14T08:39:00.000000Z,2.83203125,2.83203125,86.0,2.83203125
2015-08-14T08:40:00.000000Z,2.83203125,2.83203125,40.0,2.83203125
2015-08-14T08:41:00.000000Z,2.83203125,2.83203125,76.0,2.83203125
2015-08-14T08:42:00.000000Z,2.83203125,2.830078125,108.0,2.83203125
2015-08-14T08:43:00.000000Z,2.83203125,2.830078125,21.0,2.83203125
2015-08-14T08:44:00.000000Z,2.83203125,2.830078125,39.0,2.83203125
2015-08-14T08:45:00.000000Z,2.830078125,2.830078125,299.0,2.830078125
2015-08-14T08:46:00.000000Z,2.830078125,2.828125,126.0,2.828125
2015-08-14T08:47:00.000000Z,2.828125,2.828125,472.0,2.828125
2015-08-14T08:48:00.000000Z,2.830078125,2.828125,243.0,2.828125
2015-08-14T08:49:00.000000Z,2.830078125,2.828125,285.0,2.828125
2015-08-14T08:50:00.000000Z,2.830078125,2.828125,120.0,2.828125
2015-08-14T08:51:00.000000Z,2.830078125,2.830078125,431.0,2.830078125
2015-08-14T08:52:00.000000Z,2.83203125,2.830078125,221.0,2.83203125
2015-08-14T08:53:00.000000Z,2.830078125,2.830078125,105.0,2.830078125
2015-08-14T08:54:00.000000Z,2.83203125,2.830078125,63.0,2.83203125
2015-08-14T08:55:00.000000Z,2.83203125,2.830078125,215.0,2.83203125
2015-08-14T08:56:00.000000Z,2.83203125,2.830078125,124.0,2.83203125
2015-08-14T08:57:00.000000Z,2.83203125,2.830078125,30.0,2.83203125
2015-08-14T08:58:00.000000Z,2.83203125,2.830078125,89.0,2.83203125
2015-08-14T08:59:00.000000Z,2.83203125,2.83203125,231.0,2.83203125
2015-08-14T09:00:00.000000Z,2.830078125,2.830078125,257.0,2.830078125
2015-08-14T09:01:00.000000Z,2.83203125,2.830078125,361.0,2.83203125
2015-08-14T09:02:00.000000Z,2.83203125,2.83203125,154.0,2.83203125
2015-08-14T09:03:00.000000Z,2.833984375,2.83203125,215.0,2.83203125
2015-08-14T09:04:00.000000Z,2.833984375,2.83203125,114.0,2.83203125
2015-08-14T09:05:00.000000Z,2.833984375,2.83203125,64.0,2.83203125
2015-08-14T09:06:00.000000Z,2.83203125,2.83203125,64.0,2.83203125
2015-08-14T09:07:00.000000Z,2.83203125,2.83203125,27.0,2.83203125
2015-08-14T09:08:00.000000Z,2.83203125,2.83203125,189.0,2.83203125
2015-08-14T09:09:00.000000Z,2.83203125,2.83203125,188.0,2.83203125
2015-08-14T09:10:00.000000Z,2.83203125,2.83203125,72.0,2.83203125
2015-08-14T09:11:00.000000Z,2.83203125,2.83203125,143.0,2.83203125
2015-08-14T09:12:00.000000Z,2.83203125,2.83203125,123.0,2.83203125
2015-08-14T09:13:00.000000Z,2.83203125,2.83203125,50.0,2.83203125
2015-08-14T09:14:00.000000Z,2.837890625,2.8359375,629.0,2.8359375
2015-08-14T09:15:00.000000Z,2.8359375,2.8359375,278.0,2.8359375
2015-08-14T09:16:00.000000Z,2.8359375,2.8359375,417.0,2.8359375
2015-08-14T09:17:00.000000Z,2.8359375,2.8359375,147.0,2.8359375
2015-08-14T09:18:00.000000Z,2.8359375,2.833984375,168.0,2.8359375
2015-08-14T09:19:00.000000Z,2.8359375,2.8359375,226.0,2.8359375
2015-08-14T09:20:00.000000Z,2.8359375,2.8359375,69.0,2.8359375
2015-08-14T09:21:00.000000Z,2.8359375,2.833984375,397.0,2.8359375
2015-08-14T09:22:00.000000Z,2.8359375,2.833984375,188.0,2.8359375
2015-08-14T09:23:00.000000Z,2.8359375,2.8359375,99.0,2.8359375
2015-08-14T09:24:00.000000Z,2.8359375,2.8359375,104.0,2.8359375
2015-08-14T09:25:00.000000Z,2.837890625,2.8359375,326.0,2.8359375
2015-08-14T09:26:00.000000Z,2.833984375,2.833984375,317.0,2.833984375
2015-08-14T09:27:00.000000Z,2.8359375,2.833984375,141.0,2.8359375
2015-08-14T09:28:00.000000Z,2.8359375,2.833984375,201.0,2.8359375
2015-08-14T09:29:00.000000Z,2.8359375,2.833984375,88.0,2.8359375
2015-08-14T09:30:00.000000Z,2.8359375,2.833984375,96.0,2.8359375
2015-08-14T09:31:00.000000Z,2.833984375,2.833984375,133.0,2.833984375
2015-08-14T09:32:00.000000Z,2.833984375,2.833984375,42.0,2.833984375
2015-08-14T09:33:00.000000Z,2.833984375,2.833984375,28.0,2.833984375
2015-08-14T09:34:00.000000Z,2.833984375,2.833984375,54.0,2.833984375
2015-08-14T09:35:00.000000Z,2.833984375,2.833984375,82.0,2.833984375
2015-08-14T09:36:00.000000Z,2.833984375,2.833984375,44.0,2.833984375
2015-08-14T09:37:00.000000Z,2.833984375,2.833984375,12.0,2.833984375
2015-08-14T09:38:00.000000Z,2.8359375,2.8359375,163.0,2.8359375
2015-08-14T09:39:00.000000Z,2.837890625,2.8359375,141.0,2.8359375
2015-08-14T09:40:00.000000Z,2.8359375,2.8359375,123.0,2.8359375
2015-08-14T09:41:00.000000Z,2.8359375,2.833984375,230.0,2.8359375
2015-08-14T09:42:00.000000Z,2.833984375,2.833984375,221.0,2.833984375
2015-08-14T09:43:00.000000Z,2.833984375,2.833984375,99.0,2.833984375
2015-08-14T09:44:00.000000Z,2.8359375,2.833984375,224.0,2.8359375
2015-08-14T09:45:00.000000Z,2.8359375,2.8359375,67.0,2.8359375
2015-08-14T09:46:00.000000Z,2.8359375,2.833984375,41.0,2.8359375
2015-08-14T09:47:00.000000Z,2.8359375,2.8359375,69.0,2.8359375
2015-08-14T09:48:00.000000Z,2.833984375,2.833984375,175.0,2.833984375
2015-08-14T09:49:00.000000Z,2.833984375,2.833984375,55.0,2.833984375
2015-08-14T09:50:00.000000Z,2.8359375,2.833984375,161.0,2.8359375
2015-08-14T09:51:00.000000Z,2.8359375,2.833984375,105.0,2.8359375
2015-08-14T09:52:00.000000Z,2.8359375,2.8359375,192.0,2.8359375
2015-08-14T09:53:00.000000Z,2.8359375,2.8359375,114.0,2.8359375
2015-08-14T09:54:00.000000Z,2.837890625,2.8359375,85.0,2.8359375
2015-08-14T09:55:00.000000Z,2.8359375,2.8359375,74.0,2.8359375
2015-08-14T09:56:00.000000Z,2.8359375,2.8359375,77.0,2.8359375
2015-08-14T09:57:00.000000Z,2.837890625,2.8359375,116.0,2.8359375
2015-08-14T09:58:00.000000Z,2.837890625,2.837890625,368.0,2.837890625
2015-08-14T09:59:00.000000Z,2.837890625,2.837890625,141.0,2.837890625
2015-08-14T10:00:00.000000Z,2.837890625,2.837890625,71.0,2.837890625
2015-08-14T10:01:00.000000Z,2.837890625,2.837890625,123.0,2.837890625
2015-08-14T10:02:00.000000Z,2.837890625,2.8359375,59.0,2.8359375
2015-08-14T10:03:00.000000Z,2.837890625,2.8359375,68.0,2.8359375
2015-08-14T10:04:00.000000Z,2.837890625,2.837890625,97.0,2.837890625
2015-08-14T10:05:00.000000Z,2.837890625,2.837890625,113.0,2.837890625
2015-08-14T10:06:00.000000Z,2.83984375,2.837890625,281.0,2.83984375
2015-08-14T10:07:00.000000Z,2.83984375,2.837890625,307.0,2.83984375
2015-08-14T10:08:00.000000Z,2.83984375,2.83984375,117.0,2.83984375
2015-08-14T10:09:00.000000Z,2.841796875,2.841796875,279.0,2.841796875
2015-08-14T10:10:00.000000Z,2.841796875,2.83984375,552.0,2.83984375
2015-08-14T10:11:00.000000Z,2.841796875,2.83984375,112.0,2.83984375
2015-08-14T10:12:00.000000Z,2.83984375,2.83984375,155.0,2.83984375
2015-08-14T10:13:00.000000Z,2.841796875,2.83984375,443.0,2.83984375
2015-08-14T10:14:00.000000Z,2.841796875,2.841796875,279.0,2.841796875
2015-08-14T10:15:00.000000Z,2.841796875,2.841796875,128.0,2.841796875
2015-08-14T10:16:00.000000Z,2.841796875,2.841796875,146.0,2.841796875
2015-08-14T10:17:00.000000Z,2.841796875,2.841796875,239.0,2.841796875
2015-08-14T10:18:00.000000Z,2.841796875,2.841796875,252.0,2.841796875
2015-08-14T10:19:00.000000Z,2.83984375,2.83984375,149.0,2.83984375
2015-08-14T10:20:00.000000Z,2.83984375,2.837890625,857.0,2.83984375
2015-08-14T10:21:00.000000Z,2.837890625,2.837890625,831.0,2.837890625
