time,BNP.CADSGD - CAD/SGD_x,closeAsk,closeBid,volume
2015-06-01T09:00:00.000000Z,1.08203125,1.0830078125,1.08203125,721.0
2015-06-01T09:15:00.000000Z,1.08203125,1.0830078125,1.08203125,804.0
2015-06-01T09:30:00.000000Z,1.08203125,1.0830078125,1.08203125,621.0
2015-06-01T09:45:00.000000Z,1.08203125,1.0830078125,1.08203125,523.0
2015-06-01T10:00:00.000000Z,1.0830078125,1.0830078125,1.0830078125,734.0
2015-06-01T10:15:00.000000Z,1.0830078125,1.0830078125,1.0830078125,493.0
2015-06-01T10:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,637.0
2015-06-01T10:45:00.000000Z,1.0830078125,1.0830078125,1.0830078125,538.0
2015-06-01T11:00:00.000000Z,1.0830078125,1.0830078125,1.0830078125,618.0
2015-06-01T11:15:00.000000Z,1.083984375,1.083984375,1.0830078125,587.0
2015-06-01T11:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,778.0
2015-06-01T11:45:00.000000Z,1.083984375,1.083984375,1.0830078125,893.0
2015-06-01T12:00:00.000000Z,1.08203125,1.08203125,1.08203125,1069.0
2015-06-01T12:15:00.000000Z,1.08203125,1.0830078125,1.0810546875,799.0
2015-06-01T12:30:00.000000Z,1.08203125,1.08203125,1.08203125,1305.0
2015-06-01T12:45:00.000000Z,1.0810546875,1.0810546875,1.0810546875,812.0
2015-06-01T13:00:00.000000Z,1.0810546875,1.0810546875,1.0810546875,908.0
2015-06-01T13:15:00.000000Z,1.08203125,1.08203125,1.08203125,1058.0
2015-06-01T13:30:00.000000Z,1.08203125,1.08203125,1.08203125,1165.0
2015-06-01T13:45:00.000000Z,1.0810546875,1.08203125,1.080078125,766.0
2015-06-01T14:00:00.000000Z,1.080078125,1.080078125,1.0791015625,2568.0
2015-06-01T14:15:00.000000Z,1.0791015625,1.0791015625,1.0791015625,1527.0
2015-06-01T14:30:00.000000Z,1.080078125,1.080078125,1.0791015625,1252.0
2015-06-01T14:45:00.000000Z,1.0791015625,1.0791015625,1.0791015625,806.0
2015-06-01T15:00:00.000000Z,1.078125,1.0791015625,1.078125,1223.0
2015-06-01T15:15:00.000000Z,1.0791015625,1.0791015625,1.0791015625,763.0
2015-06-01T15:30:00.000000Z,1.080078125,1.080078125,1.0791015625,789.0
2015-06-01T15:45:00.000000Z,1.080078125,1.080078125,1.0791015625,516.0
2015-06-01T16:00:00.000000Z,1.080078125,1.080078125,1.080078125,618.0
2015-06-01T16:15:00.000000Z,1.080078125,1.080078125,1.080078125,499.0
2015-06-01T16:30:00.000000Z,1.080078125,1.0810546875,1.080078125,368.0
2015-06-01T16:45:00.000000Z,1.080078125,1.080078125,1.080078125,430.0
2015-06-01T17:00:00.000000Z,1.080078125,1.080078125,1.080078125,548.0
2015-06-01T17:15:00.000000Z,1.0810546875,1.0810546875,1.0810546875,396.0
2015-06-01T17:30:00.000000Z,1.08203125,1.08203125,1.0810546875,430.0
2015-06-01T17:45:00.000000Z,1.0810546875,1.0810546875,1.0810546875,520.0
2015-06-01T18:00:00.000000Z,1.08203125,1.08203125,1.0810546875,588.0
2015-06-01T18:15:00.000000Z,1.08203125,1.08203125,1.08203125,853.0
2015-06-01T18:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,542.0
2015-06-01T18:45:00.000000Z,1.08203125,1.0830078125,1.08203125,353.0
2015-06-01T19:00:00.000000Z,1.08203125,1.0830078125,1.08203125,462.0
2015-06-01T19:15:00.000000Z,1.0830078125,1.0830078125,1.0830078125,580.0
2015-06-01T19:30:00.000000Z,1.08203125,1.0830078125,1.08203125,400.0
2015-06-01T19:45:00.000000Z,1.08203125,1.0830078125,1.08203125,219.0
2015-06-01T20:00:00.000000Z,1.08203125,1.0830078125,1.08203125,314.0
2015-06-01T20:15:00.000000Z,1.08203125,1.0830078125,1.08203125,195.0
2015-06-01T20:30:00.000000Z,1.08203125,1.0830078125,1.08203125,391.0
2015-06-01T20:45:00.000000Z,1.083984375,1.083984375,1.0830078125,328.0
2015-06-01T21:00:00.000000Z,1.083984375,1.083984375,1.0830078125,82.0
2015-06-01T21:15:00.000000Z,1.0830078125,1.083984375,1.08203125,95.0
2015-06-01T21:30:00.000000Z,1.08203125,1.0830078125,1.08203125,107.0
2015-06-01T21:45:00.000000Z,1.08203125,1.0830078125,1.08203125,148.0
2015-06-01T22:00:00.000000Z,1.08203125,1.0830078125,1.08203125,237.0
2015-06-01T22:15:00.000000Z,1.08203125,1.0830078125,1.08203125,181.0
2015-06-01T22:30:00.000000Z,1.08203125,1.0830078125,1.08203125,462.0
2015-06-01T22:45:00.000000Z,1.08203125,1.0830078125,1.08203125,227.0
2015-06-01T23:00:00.000000Z,1.08203125,1.0830078125,1.08203125,146.0
2015-06-01T23:15:00.000000Z,1.08203125,1.0830078125,1.08203125,78.0
2015-06-01T23:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,411.0
2015-06-01T23:45:00.000000Z,1.0830078125,1.0830078125,1.0830078125,217.0
2015-06-02T00:00:00.000000Z,1.08203125,1.0830078125,1.08203125,429.0
2015-06-02T00:15:00.000000Z,1.08203125,1.08203125,1.0810546875,482.0
2015-06-02T00:30:00.000000Z,1.08203125,1.08203125,1.0810546875,368.0
2015-06-02T00:45:00.000000Z,1.08203125,1.08203125,1.08203125,442.0
2015-06-02T01:00:00.000000Z,1.08203125,1.0830078125,1.08203125,354.0
2015-06-02T01:15:00.000000Z,1.08203125,1.0830078125,1.08203125,318.0
2015-06-02T01:30:00.000000Z,1.08203125,1.0830078125,1.08203125,613.0
2015-06-02T01:45:00.000000Z,1.08203125,1.0830078125,1.08203125,460.0
2015-06-02T02:00:00.000000Z,1.08203125,1.0830078125,1.08203125,381.0
2015-06-02T02:15:00.000000Z,1.0830078125,1.0830078125,1.0830078125,888.0
2015-06-02T02:30:00.000000Z,1.08203125,1.0830078125,1.08203125,530.0
2015-06-02T02:45:00.000000Z,1.08203125,1.0830078125,1.08203125,343.0
2015-06-02T03:00:00.000000Z,1.0830078125,1.0830078125,1.0830078125,265.0
