time,BNP.USDTWD - USD/TWD_x,closeAsk,closeBid
2012-05-23T01:00:00.000000Z,29.51,29.55,29.47
2012-05-23T05:00:00.000000Z,29.55,29.59,29.51
2012-05-23T09:00:00.000000Z,29.545,29.585,29.505
2012-05-23T13:00:00.000000Z,29.61,29.65,29.57
2012-05-23T17:00:00.000000Z,29.6,29.675,29.525
2012-05-23T21:00:00.000000Z,29.6,29.675,29.525
2012-05-24T01:00:00.000000Z,29.545,29.585,29.505
2012-05-24T05:00:00.000000Z,29.575,29.615,29.535
2012-05-24T09:00:00.000000Z,29.5925,29.6325,29.5525
2012-05-24T13:00:00.000000Z,29.57,29.61,29.53
2012-05-24T17:00:00.000000Z,29.625,29.7,29.55
2012-05-25T01:00:00.000000Z,29.6425,29.6775,29.6075
2012-05-25T05:00:00.000000Z,29.6425,29.6775,29.6075
2012-05-25T09:00:00.000000Z,29.655,29.695,29.615
2012-05-25T13:00:00.000000Z,29.645000000000003,29.69,29.6
2012-05-25T17:00:00.000000Z,29.645000000000003,29.745,29.545
2012-05-27T17:00:00.000000Z,29.645000000000003,29.745,29.545
2012-05-27T21:00:00.000000Z,29.645,29.695,29.595
2012-05-28T01:00:00.000000Z,29.615,29.665,29.565
2012-05-28T05:00:00.000000Z,29.615,29.655,29.575
2012-05-28T09:00:00.000000Z,29.6,29.64,29.56
2012-05-28T13:00:00.000000Z,29.64,29.7,29.58
2012-05-28T17:00:00.000000Z,29.64,29.715,29.565
2012-05-28T21:00:00.000000Z,29.64,29.715,29.565
2012-05-29T01:00:00.000000Z,29.64,29.68,29.6
2012-05-29T05:00:00.000000Z,29.630000000000003,29.67,29.59
2012-05-29T09:00:00.000000Z,29.655,29.695,29.615
2012-05-29T13:00:00.000000Z,29.6525,29.6925,29.6125
2012-05-29T17:00:00.000000Z,29.6525,29.7275,29.5775
2012-05-29T21:00:00.000000Z,29.6525,29.7275,29.5775
2012-05-30T01:00:00.000000Z,29.7275,29.7675,29.6875
2012-05-30T05:00:00.000000Z,29.7375,29.7775,29.6975
2012-05-30T09:00:00.000000Z,29.785,29.825,29.745
2012-05-30T13:00:00.000000Z,29.845,29.885,29.805
2012-05-30T17:00:00.000000Z,29.845,29.92,29.77
2012-05-30T21:00:00.000000Z,29.845,29.92,29.77
2012-05-31T01:00:00.000000Z,29.875,29.95,29.8
