time,closeAsk,closeBid,volume,BNP.USDHKD - USD/HKD_x
2015-08-11T18:41:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-11T18:42:00.000000Z,7.7578125,7.7578125,17.0,7.7578125
2015-08-11T18:43:00.000000Z,7.7578125,7.7578125,8.0,7.7578125
2015-08-11T18:44:00.000000Z,7.7578125,7.7578125,45.0,7.7578125
2015-08-11T18:45:00.000000Z,7.7578125,7.7578125,17.0,7.7578125
2015-08-11T18:46:00.000000Z,7.7578125,7.7578125,5.0,7.7578125
2015-08-11T18:47:00.000000Z,7.7578125,7.7578125,10.0,7.7578125
2015-08-11T18:48:00.000000Z,7.7578125,7.7578125,8.0,7.7578125
2015-08-11T18:49:00.000000Z,7.7578125,7.7578125,2.0,7.7578125
2015-08-11T18:51:00.000000Z,7.7578125,7.7578125,1.0,7.7578125
2015-08-11T18:52:00.000000Z,7.7578125,7.7578125,1.0,7.7578125
2015-08-11T18:53:00.000000Z,7.7578125,7.7578125,41.0,7.7578125
2015-08-11T18:54:00.000000Z,7.76171875,7.7578125,58.0,7.7578125
2015-08-11T18:59:00.000000Z,7.76171875,7.7578125,12.0,7.7578125
2015-08-11T19:00:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-11T19:01:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-11T19:04:00.000000Z,7.76171875,7.7578125,9.0,7.7578125
2015-08-11T19:05:00.000000Z,7.76171875,7.7578125,61.0,7.7578125
2015-08-11T19:06:00.000000Z,7.76171875,7.7578125,3.0,7.7578125
2015-08-11T19:07:00.000000Z,7.76171875,7.7578125,84.0,7.7578125
2015-08-11T19:08:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-11T19:09:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-11T19:10:00.000000Z,7.76171875,7.76171875,240.0,7.76171875
2015-08-11T19:11:00.000000Z,7.765625,7.76171875,50.0,7.765625
2015-08-11T19:12:00.000000Z,7.76171875,7.76171875,37.0,7.76171875
2015-08-11T19:13:00.000000Z,7.76171875,7.76171875,16.0,7.76171875
2015-08-11T19:14:00.000000Z,7.765625,7.76171875,72.0,7.765625
2015-08-11T19:15:00.000000Z,7.765625,7.76171875,13.0,7.765625
2015-08-11T19:16:00.000000Z,7.76171875,7.76171875,92.0,7.76171875
2015-08-11T19:17:00.000000Z,7.76171875,7.76171875,32.0,7.76171875
2015-08-11T19:18:00.000000Z,7.76171875,7.76171875,5.0,7.76171875
2015-08-11T19:20:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T19:21:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T19:24:00.000000Z,7.76171875,7.76171875,20.0,7.76171875
2015-08-11T19:25:00.000000Z,7.76171875,7.76171875,38.0,7.76171875
2015-08-11T19:26:00.000000Z,7.76171875,7.76171875,14.0,7.76171875
2015-08-11T19:27:00.000000Z,7.76171875,7.76171875,29.0,7.76171875
2015-08-11T19:28:00.000000Z,7.76171875,7.76171875,25.0,7.76171875
2015-08-11T19:30:00.000000Z,7.76171875,7.76171875,27.0,7.76171875
2015-08-11T19:31:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T19:32:00.000000Z,7.76171875,7.76171875,41.0,7.76171875
2015-08-11T19:33:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T19:34:00.000000Z,7.76171875,7.76171875,8.0,7.76171875
2015-08-11T19:35:00.000000Z,7.76171875,7.76171875,56.0,7.76171875
2015-08-11T19:36:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T19:38:00.000000Z,7.76171875,7.76171875,48.0,7.76171875
2015-08-11T19:39:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T19:40:00.000000Z,7.76171875,7.76171875,63.0,7.76171875
2015-08-11T19:42:00.000000Z,7.76171875,7.76171875,17.0,7.76171875
2015-08-11T19:43:00.000000Z,7.76171875,7.76171875,33.0,7.76171875
2015-08-11T19:44:00.000000Z,7.76171875,7.76171875,24.0,7.76171875
2015-08-11T19:46:00.000000Z,7.76171875,7.76171875,24.0,7.76171875
2015-08-11T19:47:00.000000Z,7.76171875,7.76171875,30.0,7.76171875
2015-08-11T19:48:00.000000Z,7.76171875,7.76171875,32.0,7.76171875
2015-08-11T19:49:00.000000Z,7.76171875,7.76171875,39.0,7.76171875
2015-08-11T19:50:00.000000Z,7.76171875,7.76171875,58.0,7.76171875
2015-08-11T19:51:00.000000Z,7.76171875,7.76171875,29.0,7.76171875
2015-08-11T19:52:00.000000Z,7.76171875,7.76171875,20.0,7.76171875
2015-08-11T19:53:00.000000Z,7.76171875,7.76171875,8.0,7.76171875
2015-08-11T19:54:00.000000Z,7.76171875,7.76171875,20.0,7.76171875
2015-08-11T19:55:00.000000Z,7.76171875,7.76171875,23.0,7.76171875
2015-08-11T19:56:00.000000Z,7.76171875,7.76171875,55.0,7.76171875
2015-08-11T19:57:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T19:58:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T20:00:00.000000Z,7.76171875,7.76171875,88.0,7.76171875
2015-08-11T20:01:00.000000Z,7.76171875,7.76171875,15.0,7.76171875
2015-08-11T20:02:00.000000Z,7.76171875,7.76171875,12.0,7.76171875
2015-08-11T20:05:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:06:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:07:00.000000Z,7.76171875,7.76171875,42.0,7.76171875
2015-08-11T20:08:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:10:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T20:12:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T20:13:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T20:14:00.000000Z,7.76171875,7.76171875,8.0,7.76171875
2015-08-11T20:17:00.000000Z,7.76171875,7.76171875,17.0,7.76171875
2015-08-11T20:18:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:19:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:20:00.000000Z,7.76171875,7.76171875,6.0,7.76171875
2015-08-11T20:21:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:22:00.000000Z,7.76171875,7.76171875,6.0,7.76171875
2015-08-11T20:28:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:30:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T20:31:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:33:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:34:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:37:00.000000Z,7.76171875,7.76171875,26.0,7.76171875
2015-08-11T20:38:00.000000Z,7.76171875,7.76171875,6.0,7.76171875
2015-08-11T20:39:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:40:00.000000Z,7.76171875,7.76171875,8.0,7.76171875
2015-08-11T20:44:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:45:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T20:47:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T20:51:00.000000Z,7.76171875,7.76171875,7.0,7.76171875
2015-08-11T20:52:00.000000Z,7.76171875,7.76171875,7.0,7.76171875
2015-08-11T20:54:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T20:55:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T20:56:00.000000Z,7.76171875,7.76171875,5.0,7.76171875
