time,BNP.CHFHKD - CHF/HKD_x,closeAsk,closeBid,volume
2015-05-28T01:00:00.000000Z,8.171875,8.171875,8.171875,437.0
2015-05-28T01:15:00.000000Z,8.1796875,8.1796875,8.1796875,232.0
2015-05-28T01:30:00.000000Z,8.171875,8.171875,8.171875,197.0
2015-05-28T01:45:00.000000Z,8.171875,8.171875,8.171875,338.0
2015-05-28T02:00:00.000000Z,8.171875,8.1796875,8.171875,253.0
2015-05-28T02:15:00.000000Z,8.171875,8.171875,8.171875,140.0
2015-05-28T02:30:00.000000Z,8.171875,8.171875,8.171875,322.0
2015-05-28T02:45:00.000000Z,8.1640625,8.1640625,8.1640625,260.0
2015-05-28T03:00:00.000000Z,8.171875,8.171875,8.171875,314.0
2015-05-28T03:15:00.000000Z,8.171875,8.171875,8.171875,244.0
2015-05-28T03:30:00.000000Z,8.171875,8.171875,8.171875,120.0
2015-05-28T03:45:00.000000Z,8.171875,8.171875,8.171875,114.0
2015-05-28T04:00:00.000000Z,8.171875,8.171875,8.171875,116.0
2015-05-28T04:15:00.000000Z,8.171875,8.1796875,8.171875,113.0
2015-05-28T04:30:00.000000Z,8.171875,8.1796875,8.171875,99.0
2015-05-28T04:45:00.000000Z,8.1796875,8.1796875,8.1796875,109.0
2015-05-28T05:00:00.000000Z,8.171875,8.1796875,8.171875,150.0
2015-05-28T05:15:00.000000Z,8.1796875,8.1796875,8.1796875,117.0
2015-05-28T05:30:00.000000Z,8.1875,8.1875,8.1796875,189.0
2015-05-28T05:45:00.000000Z,8.1796875,8.1796875,8.1796875,142.0
2015-05-28T06:00:00.000000Z,8.171875,8.171875,8.171875,414.0
2015-05-28T06:15:00.000000Z,8.1875,8.1953125,8.1875,942.0
2015-05-28T06:30:00.000000Z,8.1875,8.1953125,8.1875,610.0
2015-05-28T06:45:00.000000Z,8.1953125,8.1953125,8.1953125,439.0
2015-05-28T07:00:00.000000Z,8.1953125,8.1953125,8.1953125,847.0
2015-05-28T07:15:00.000000Z,8.1875,8.1953125,8.1875,607.0
2015-05-28T07:30:00.000000Z,8.203125,8.203125,8.203125,657.0
2015-05-28T07:45:00.000000Z,8.203125,8.203125,8.203125,342.0
2015-05-28T08:00:00.000000Z,8.1953125,8.1953125,8.1953125,357.0
2015-05-28T08:15:00.000000Z,8.1796875,8.1796875,8.1796875,339.0
2015-05-28T08:30:00.000000Z,8.1953125,8.1953125,8.1953125,410.0
2015-05-28T08:45:00.000000Z,8.1953125,8.1953125,8.1953125,438.0
2015-05-28T09:00:00.000000Z,8.1953125,8.1953125,8.1953125,367.0
2015-05-28T09:15:00.000000Z,8.1953125,8.1953125,8.1953125,241.0
2015-05-28T09:30:00.000000Z,8.1875,8.1875,8.1875,422.0
2015-05-28T09:45:00.000000Z,8.1875,8.1953125,8.1875,338.0
2015-05-28T10:00:00.000000Z,8.1953125,8.1953125,8.1953125,360.0
2015-05-28T10:15:00.000000Z,8.1875,8.1953125,8.1875,285.0
2015-05-28T10:30:00.000000Z,8.1875,8.1875,8.1875,234.0
2015-05-28T10:45:00.000000Z,8.1875,8.1953125,8.1875,315.0
2015-05-28T11:00:00.000000Z,8.1875,8.1875,8.1796875,257.0
2015-05-28T11:15:00.000000Z,8.1640625,8.1640625,8.1640625,509.0
2015-05-28T11:30:00.000000Z,8.171875,8.171875,8.1640625,330.0
2015-05-28T11:45:00.000000Z,8.1640625,8.1640625,8.1640625,539.0
2015-05-28T12:00:00.000000Z,8.171875,8.171875,8.1640625,495.0
2015-05-28T12:15:00.000000Z,8.1640625,8.171875,8.15625,337.0
2015-05-28T12:30:00.000000Z,8.15625,8.15625,8.15625,1111.0
2015-05-28T12:45:00.000000Z,8.171875,8.171875,8.171875,547.0
2015-05-28T13:00:00.000000Z,8.1640625,8.1640625,8.1640625,324.0
2015-05-28T13:15:00.000000Z,8.171875,8.171875,8.1640625,254.0
2015-05-28T13:30:00.000000Z,8.1640625,8.1640625,8.1640625,358.0
2015-05-28T13:45:00.000000Z,8.171875,8.171875,8.1640625,375.0
2015-05-28T14:00:00.000000Z,8.1796875,8.1796875,8.1796875,1032.0
2015-05-28T14:15:00.000000Z,8.1953125,8.1953125,8.1953125,479.0
2015-05-28T14:30:00.000000Z,8.1875,8.1875,8.1796875,449.0
2015-05-28T14:45:00.000000Z,8.203125,8.203125,8.1953125,682.0
2015-05-28T15:00:00.000000Z,8.1953125,8.1953125,8.1953125,462.0
2015-05-28T15:15:00.000000Z,8.1953125,8.1953125,8.1953125,411.0
