==========
Sat Sep 19 20:15:01 EDT 2015
{'name': 'EUR/CAD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '60', 'summary': 'NEUTRAL'}
{'name': 'EUR/CAD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '300', 'summary': 'BUY'}
{'name': 'EUR/CAD', 'period': '15', 'summary': 'NEUTRAL'}
{'name': 'EUR/CAD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '30', 'summary': 'BUY'}
{'name': 'NZD/USD', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'NZD/USD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '60', 'summary': 'NEUTRAL'}
{'name': 'EUR/JPY', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'NZD/USD', 'period': '1440', 'summary': 'BUY'}
{'name': 'EUR/JPY', 'period': '604800', 'summary': 'SELL'}
{'name': 'EUR/JPY', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'EUR/JPY', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'USD/JPY', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'AUD/JPY', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'USD/JPY', 'period': '60', 'summary': 'BUY'}
{'name': 'USD/JPY', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'USD/JPY', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'USD/JPY', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'USD/CAD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'USD/CAD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'USD/CAD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'USD/CAD', 'period': '1440', 'summary': 'NEUTRAL'}
{'name': 'USD/CAD', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'USD/CAD', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'USD/JPY', 'period': '604800', 'summary': 'SELL'}
{'name': 'USD/CAD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'USD/JPY', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'USD/JPY', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'GBP/USD', 'period': '2678400', 'summary': 'SELL'}
{'name': 'GBP/USD', 'period': '1440', 'summary': 'STRONG BUY'}
