time,BNP.EURHKD - EUR/HKD_x,closeAsk,closeBid,volume
2015-03-17T14:30:00.000000Z,8.2421875,8.2421875,8.2421875,3130.0
2015-03-17T15:00:00.000000Z,8.2421875,8.2421875,8.2421875,3388.0
2015-03-17T15:30:00.000000Z,8.234375,8.234375,8.234375,3104.0
2015-03-17T16:00:00.000000Z,8.22265625,8.2265625,8.21875,4092.0
2015-03-17T16:30:00.000000Z,8.2265625,8.2265625,8.2265625,2320.0
2015-03-17T17:00:00.000000Z,8.21875,8.21875,8.21875,1396.0
2015-03-17T17:30:00.000000Z,8.2265625,8.2265625,8.2265625,1138.0
2015-03-17T18:00:00.000000Z,8.2265625,8.2265625,8.2265625,1427.0
2015-03-17T18:30:00.000000Z,8.2265625,8.2265625,8.2265625,1259.0
2015-03-17T19:00:00.000000Z,8.21875,8.21875,8.21875,1308.0
2015-03-17T19:30:00.000000Z,8.21875,8.21875,8.21875,1095.0
2015-03-17T20:00:00.000000Z,8.21875,8.21875,8.21875,495.0
2015-03-17T20:30:00.000000Z,8.2265625,8.2265625,8.2265625,479.0
2015-03-17T21:00:00.000000Z,8.2265625,8.2265625,8.2265625,537.0
2015-03-17T21:30:00.000000Z,8.2265625,8.2265625,8.2265625,1054.0
2015-03-17T22:00:00.000000Z,8.21875,8.21875,8.21875,673.0
2015-03-17T22:30:00.000000Z,8.2265625,8.2265625,8.2265625,252.0
2015-03-17T23:00:00.000000Z,8.2265625,8.2265625,8.2265625,331.0
2015-03-17T23:30:00.000000Z,8.2265625,8.2265625,8.2265625,328.0
2015-03-18T00:00:00.000000Z,8.2265625,8.2265625,8.2265625,641.0
2015-03-18T00:30:00.000000Z,8.234375,8.234375,8.234375,762.0
2015-03-18T01:00:00.000000Z,8.234375,8.234375,8.234375,1049.0
2015-03-18T01:30:00.000000Z,8.2265625,8.2265625,8.2265625,1467.0
2015-03-18T02:00:00.000000Z,8.2265625,8.2265625,8.2265625,577.0
2015-03-18T02:30:00.000000Z,8.2265625,8.2265625,8.2265625,954.0
2015-03-18T03:00:00.000000Z,8.2265625,8.2265625,8.2265625,672.0
2015-03-18T03:30:00.000000Z,8.2265625,8.2265625,8.2265625,311.0
2015-03-18T04:00:00.000000Z,8.2265625,8.2265625,8.2265625,224.0
2015-03-18T04:30:00.000000Z,8.2265625,8.2265625,8.2265625,494.0
2015-03-18T05:00:00.000000Z,8.21875,8.21875,8.21875,736.0
2015-03-18T05:30:00.000000Z,8.2109375,8.2109375,8.2109375,972.0
2015-03-18T06:00:00.000000Z,8.2109375,8.2109375,8.2109375,925.0
2015-03-18T06:30:00.000000Z,8.21875,8.21875,8.21875,1022.0
2015-03-18T07:00:00.000000Z,8.21875,8.21875,8.21875,1842.0
2015-03-18T07:30:00.000000Z,8.234375,8.234375,8.234375,3808.0
2015-03-18T08:00:00.000000Z,8.2265625,8.2265625,8.2265625,3662.0
2015-03-18T08:30:00.000000Z,8.23046875,8.234375,8.2265625,3412.0
2015-03-18T09:00:00.000000Z,8.22265625,8.2265625,8.21875,2704.0
2015-03-18T09:30:00.000000Z,8.23046875,8.234375,8.2265625,3718.0
2015-03-18T10:00:00.000000Z,8.2421875,8.2421875,8.2421875,4544.0
2015-03-18T10:30:00.000000Z,8.2421875,8.2421875,8.2421875,2680.0
2015-03-18T11:00:00.000000Z,8.234375,8.234375,8.234375,2356.0
2015-03-18T11:30:00.000000Z,8.2265625,8.2265625,8.2265625,2524.0
