time,BNP.EURHKD - EUR/HKD_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,9.54845,9.5487,9.5482,
2004-06-01T21:00:00.000000Z,9.52375,9.524,9.5235,
2004-06-02T21:00:00.000000Z,9.53275,9.5331,9.5324,
2004-06-03T21:00:00.000000Z,9.5743,9.5758,9.5728,
2004-06-05T21:00:00.000000Z,9.586,9.5875,9.5845,
2004-06-06T21:00:00.000000Z,9.60405,9.6043,9.6038,
2004-06-07T21:00:00.000000Z,9.56295,9.5632,9.5627,
2004-06-08T21:00:00.000000Z,9.39345,9.3937,9.3932,
2004-06-09T21:00:00.000000Z,9.439,9.4393,9.4387,
2004-06-10T21:00:00.000000Z,9.3581,9.3596,9.3566,
2004-06-12T21:00:00.000000Z,9.3595,9.361,9.357999999999999,
2004-06-13T21:00:00.000000Z,9.40305,9.4033,9.4028,
2004-06-14T21:00:00.000000Z,9.48425,9.4846,9.4839,
2004-06-15T21:00:00.000000Z,9.36785,9.3681,9.3676,
2004-06-16T21:00:00.000000Z,9.39835,9.3986,9.3981,
2004-06-17T21:00:00.000000Z,9.4655,9.467,9.464,
2004-06-19T21:00:00.000000Z,9.4681,9.4696,9.4666,
2004-06-20T21:00:00.000000Z,9.44725,9.4475,9.447000000000001,
2004-06-21T21:00:00.000000Z,9.44155,9.4418,9.4413,
2004-06-22T21:00:00.000000Z,9.43105,9.4313,9.4308,
2004-06-23T21:00:00.000000Z,9.4913,9.4916,9.491,
2004-06-24T21:00:00.000000Z,9.4942,9.4957,9.4927,
2004-06-26T21:00:00.000000Z,9.4903,9.4918,9.4888,
2004-06-27T21:00:00.000000Z,9.50185,9.5021,9.5016,
2004-06-28T21:00:00.000000Z,9.422899999999998,9.4232,9.4226,
2004-06-29T21:00:00.000000Z,9.51485,9.5151,9.5146,
2004-06-30T21:00:00.000000Z,9.48465,9.4849,9.4844,
2004-07-01T21:00:00.000000Z,9.6061,9.6076,9.6046,
2004-07-03T21:00:00.000000Z,9.6118,9.6133,9.6103,
2004-07-04T21:00:00.000000Z,9.58515,9.5855,9.5848,
2004-07-05T21:00:00.000000Z,9.58035,9.5806,9.5801,
2004-07-06T21:00:00.000000Z,9.65075,9.651,9.6505,
2004-07-07T21:00:00.000000Z,9.659400000000002,9.6597,9.6591,
2004-07-08T21:00:00.000000Z,9.6817,9.6832,9.6802,
2004-07-10T21:00:00.000000Z,9.6838,9.6853,9.6823,
2004-07-11T21:00:00.000000Z,9.67785,9.6781,9.6776,
2004-07-12T21:00:00.000000Z,9.61485,9.6151,9.6146,
2004-07-13T21:00:00.000000Z,9.65675,9.657,9.6565,
2004-07-14T21:00:00.000000Z,9.63605,9.6363,9.6358,
2004-07-15T21:00:00.000000Z,9.7109,9.7124,9.7094,
2004-07-17T21:00:00.000000Z,9.7039,9.7054,9.7024,
2004-07-18T21:00:00.000000Z,9.70535,9.7056,9.7051,
