time,BNP.CADJPY - CAD/JPY_x,closeAsk,closeBid,volume
2015-06-01T14:15:00.000000Z,99.1875,99.1875,99.1875,2540.0
2015-06-01T14:30:00.000000Z,99.1875,99.1875,99.1875,2056.0
2015-06-01T14:45:00.000000Z,99.25,99.3125,99.25,2076.0
2015-06-01T15:00:00.000000Z,99.25,99.25,99.25,2570.0
2015-06-01T15:15:00.000000Z,99.25,99.25,99.25,1793.0
2015-06-01T15:30:00.000000Z,99.3125,99.3125,99.3125,1588.0
2015-06-01T15:45:00.000000Z,99.375,99.375,99.3125,1229.0
2015-06-01T16:00:00.000000Z,99.4375,99.4375,99.4375,1407.0
2015-06-01T16:15:00.000000Z,99.4375,99.4375,99.4375,1355.0
2015-06-01T16:30:00.000000Z,99.5,99.5,99.5,1059.0
2015-06-01T16:45:00.000000Z,99.5,99.5,99.5,871.0
2015-06-01T17:00:00.000000Z,99.4375,99.4375,99.4375,1019.0
2015-06-01T17:15:00.000000Z,99.5,99.5,99.5,1037.0
2015-06-01T17:30:00.000000Z,99.5,99.5,99.5,874.0
2015-06-01T17:45:00.000000Z,99.5625,99.5625,99.5625,806.0
2015-06-01T18:00:00.000000Z,99.5625,99.5625,99.5625,806.0
2015-06-01T18:15:00.000000Z,99.625,99.625,99.625,997.0
2015-06-01T18:30:00.000000Z,99.75,99.75,99.6875,677.0
2015-06-01T18:45:00.000000Z,99.625,99.6875,99.625,551.0
2015-06-01T19:00:00.000000Z,99.625,99.6875,99.625,661.0
2015-06-01T19:15:00.000000Z,99.625,99.625,99.625,544.0
2015-06-01T19:30:00.000000Z,99.625,99.625,99.5625,710.0
2015-06-01T19:45:00.000000Z,99.5625,99.5625,99.5625,479.0
2015-06-01T20:00:00.000000Z,99.5625,99.5625,99.5625,512.0
2015-06-01T20:15:00.000000Z,99.625,99.625,99.625,361.0
2015-06-01T20:30:00.000000Z,99.625,99.625,99.625,522.0
2015-06-01T20:45:00.000000Z,99.625,99.6875,99.625,591.0
2015-06-01T21:00:00.000000Z,99.625,99.6875,99.625,326.0
2015-06-01T21:15:00.000000Z,99.625,99.6875,99.625,318.0
2015-06-01T21:30:00.000000Z,99.625,99.6875,99.625,229.0
