time,BNP.GBPPLN - GBP/PLN_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,6.982421875,6.98828125,6.9765625,2.0
2004-06-01T21:00:00.000000Z,6.986328125,6.9921875,6.98046875,2.0
2004-06-02T21:00:00.000000Z,6.990234375,6.99609375,6.984375,2.0
2004-06-03T21:00:00.000000Z,6.982421875,7.0078125,6.95703125,2.0
2004-06-05T21:00:00.000000Z,6.9765625,7.0,6.953125,2.0
2004-06-06T21:00:00.000000Z,6.86328125,6.87109375,6.85546875,2.0
2004-06-07T21:00:00.000000Z,6.896484375,6.90234375,6.890625,2.0
2004-06-08T21:00:00.000000Z,6.966796875,6.96875,6.96484375,2.0
2004-06-09T21:00:00.000000Z,7.00390625,7.0078125,7.0,2.0
2004-06-10T21:00:00.000000Z,6.947265625,6.97265625,6.921875,2.0
2004-06-12T21:00:00.000000Z,6.927734375,6.953125,6.90234375,2.0
2004-06-13T21:00:00.000000Z,6.837890625,6.84375,6.83203125,2.0
2004-06-14T21:00:00.000000Z,6.896484375,6.90234375,6.890625,2.0
2004-06-15T21:00:00.000000Z,6.951171875,6.95703125,6.9453125,2.0
2004-06-16T21:00:00.000000Z,6.96484375,6.96875,6.9609375,2.0
2004-06-17T21:00:00.000000Z,6.94921875,6.97265625,6.92578125,2.0
2004-06-19T21:00:00.000000Z,6.9453125,6.96875,6.921875,2.0
2004-06-20T21:00:00.000000Z,6.939453125,6.9453125,6.93359375,2.0
2004-06-21T21:00:00.000000Z,6.88671875,6.890625,6.8828125,2.0
2004-06-22T21:00:00.000000Z,6.84375,6.84765625,6.83984375,2.0
2004-06-23T21:00:00.000000Z,6.83203125,6.8359375,6.828125,2.0
2004-06-24T21:00:00.000000Z,6.849609375,6.875,6.82421875,2.0
2004-06-25T21:00:00.000000Z,6.830078125,6.85546875,6.8046875,2.0
2004-06-27T21:00:00.000000Z,6.822265625,6.82421875,6.8203125,2.0
2004-06-28T21:00:00.000000Z,6.779296875,6.78515625,6.7734375,2.0
2004-06-29T21:00:00.000000Z,6.716796875,6.71875,6.71484375,2.0
2004-06-30T21:00:00.000000Z,6.748046875,6.75,6.74609375,2.0
2004-07-01T21:00:00.000000Z,6.72265625,6.74609375,6.69921875,2.0
2004-07-03T21:00:00.000000Z,6.728515625,6.75390625,6.703125,2.0
2004-07-04T21:00:00.000000Z,6.7265625,6.734375,6.71875,2.0
2004-07-05T21:00:00.000000Z,6.767578125,6.7734375,6.76171875,2.0
2004-07-06T21:00:00.000000Z,6.796875,6.8046875,6.7890625,2.0
2004-07-07T21:00:00.000000Z,6.76171875,6.76953125,6.75390625,2.0
2004-07-08T21:00:00.000000Z,6.767578125,6.79296875,6.7421875,2.0
2004-07-10T21:00:00.000000Z,6.771484375,6.796875,6.74609375,2.0
