time,BNP.CHFZAR - CHF/ZAR_x,closeAsk,closeBid,volume
2015-05-28T01:00:00.000000Z,12.671875,12.6796875,12.6640625,1994.0
2015-05-28T01:15:00.000000Z,12.671875,12.6796875,12.6640625,2404.0
2015-05-28T01:30:00.000000Z,12.6875,12.6953125,12.671875,3804.0
2015-05-28T01:45:00.000000Z,12.6875,12.703125,12.6796875,1605.0
2015-05-28T02:00:00.000000Z,12.6953125,12.703125,12.6875,1500.0
2015-05-28T02:15:00.000000Z,12.6953125,12.703125,12.6875,1431.0
2015-05-28T02:30:00.000000Z,12.6953125,12.703125,12.6875,1294.0
2015-05-28T02:45:00.000000Z,12.6875,12.703125,12.6796875,2472.0
2015-05-28T03:00:00.000000Z,12.703125,12.71875,12.6875,2000.0
2015-05-28T03:15:00.000000Z,12.7109375,12.71875,12.703125,1968.0
2015-05-28T03:30:00.000000Z,12.703125,12.71875,12.6875,1285.0
2015-05-28T03:45:00.000000Z,12.6953125,12.703125,12.6875,2062.0
2015-05-28T04:00:00.000000Z,12.6953125,12.703125,12.6875,1068.0
2015-05-28T04:15:00.000000Z,12.703125,12.71875,12.6953125,1268.0
2015-05-28T04:30:00.000000Z,12.703125,12.7109375,12.703125,1115.0
2015-05-28T04:45:00.000000Z,12.7109375,12.71875,12.703125,1480.0
2015-05-28T05:00:00.000000Z,12.6953125,12.703125,12.6875,2092.0
2015-05-28T05:15:00.000000Z,12.703125,12.7109375,12.6875,1257.0
2015-05-28T05:30:00.000000Z,12.703125,12.71875,12.6953125,2992.0
2015-05-28T05:45:00.000000Z,12.703125,12.71875,12.6953125,1934.0
2015-05-28T06:00:00.000000Z,12.703125,12.7109375,12.6875,3192.0
2015-05-28T06:15:00.000000Z,12.7109375,12.71875,12.703125,5484.0
2015-05-28T06:30:00.000000Z,12.7109375,12.71875,12.703125,4608.0
2015-05-28T06:45:00.000000Z,12.734375,12.734375,12.7265625,4128.0
2015-05-28T07:00:00.000000Z,12.7265625,12.734375,12.71875,7348.0
2015-05-28T07:15:00.000000Z,12.71875,12.7265625,12.7109375,5612.0
2015-05-28T07:30:00.000000Z,12.734375,12.734375,12.7265625,5728.0
2015-05-28T07:45:00.000000Z,12.734375,12.734375,12.7265625,4720.0
2015-05-28T08:00:00.000000Z,12.71875,12.7265625,12.71875,3952.0
2015-05-28T08:15:00.000000Z,12.71875,12.71875,12.7109375,3600.0
2015-05-28T08:30:00.000000Z,12.734375,12.7421875,12.7265625,4456.0
2015-05-28T08:45:00.000000Z,12.734375,12.7421875,12.734375,4660.0
2015-05-28T09:00:00.000000Z,12.75,12.75,12.7421875,5216.0
2015-05-28T09:15:00.000000Z,12.7578125,12.765625,12.75,3422.0
2015-05-28T09:30:00.000000Z,12.75,12.7578125,12.75,5188.0
2015-05-28T09:45:00.000000Z,12.7578125,12.765625,12.75,3888.0
2015-05-28T10:00:00.000000Z,12.7578125,12.765625,12.75,5232.0
2015-05-28T10:15:00.000000Z,12.765625,12.765625,12.7578125,3620.0
2015-05-28T10:30:00.000000Z,12.75,12.7578125,12.75,3594.0
2015-05-28T10:45:00.000000Z,12.7734375,12.78125,12.765625,4952.0
2015-05-28T11:00:00.000000Z,12.765625,12.7734375,12.7578125,5896.0
2015-05-28T11:15:00.000000Z,12.75,12.75,12.7421875,6904.0
2015-05-28T11:30:00.000000Z,12.75,12.7578125,12.75,4408.0
2015-05-28T11:45:00.000000Z,12.734375,12.7421875,12.734375,5736.0
2015-05-28T12:00:00.000000Z,12.765625,12.765625,12.7578125,6412.0
2015-05-28T12:15:00.000000Z,12.78125,12.796875,12.7734375,4816.0
2015-05-28T12:30:00.000000Z,12.796875,12.796875,12.7890625,10688.0
2015-05-28T12:45:00.000000Z,12.828125,12.828125,12.8203125,8584.0
2015-05-28T13:00:00.000000Z,12.8125,12.8203125,12.8046875,7348.0
2015-05-28T13:15:00.000000Z,12.828125,12.8359375,12.8203125,6056.0
2015-05-28T13:30:00.000000Z,12.828125,12.8359375,12.828125,6964.0
2015-05-28T13:45:00.000000Z,12.828125,12.84375,12.8203125,7880.0
2015-05-28T14:00:00.000000Z,12.8515625,12.859375,12.84375,11176.0
2015-05-28T14:15:00.000000Z,12.859375,12.8671875,12.859375,6836.0
2015-05-28T14:30:00.000000Z,12.859375,12.859375,12.8515625,6144.0
2015-05-28T14:45:00.000000Z,12.890625,12.890625,12.8828125,5636.0
2015-05-28T15:00:00.000000Z,12.875,12.8828125,12.8671875,6344.0
2015-05-28T15:15:00.000000Z,12.875,12.8828125,12.875,5240.0
2015-05-28T15:30:00.000000Z,12.875,12.8828125,12.875,3140.0
2015-05-28T15:45:00.000000Z,12.859375,12.8671875,12.859375,5040.0
2015-05-28T16:00:00.000000Z,12.8828125,12.890625,12.875,4848.0
2015-05-28T16:15:00.000000Z,12.875,12.8828125,12.8671875,1865.0
2015-05-28T16:30:00.000000Z,12.859375,12.8671875,12.859375,2608.0
